subject_number,fs_block_order,fs_total_targets,fs_total_distractors,fs_hits,fs_falsealarms,fs_sleepiness_pre,fs_sleepiness_post,fs_sleepiness_delta,is_block_order,is_total_targets,is_total_distractors,is_hits,is_falsealarms,is_sleepiness_pre,is_sleepiness_post,is_sleepiness_delta,flow_state_scale_raw_sum,tellegen_raw_sum,vhq_raw_sum,launay_slade_raw_sum,dissociative_experiences_raw_sum,bais_v_raw_sum,bais_c_raw_sum,flow_state_scale_mean,tellegen_mean,vhq_yes_proportion,launay_slade_mean,des_mean_0_100,bais_v_mean,bais_c_mean
02242025001,1,75,74,38,41,3,3,0,2,74,75,45,43,3,3,0,22,48,6,42,590,51,65,2.4444,1.4118,0.4286,2.625,21.0714,3.6429,4.6429
02262025001,2,74,75,41,37,3,4,1,1,75,74,36,35,3,3,0,26,31,1,4,100,36,38,2.8889,0.9118,0.0714,0.25,3.5714,2.5714,2.7143
03032025001,2,75,74,33,29,3,5,2,1,75,74,40,44,2,5,3,23,29,5,24,410,14,14,2.5556,0.8529,0.3571,1.5,14.6429,1.0,1.0
03032025002,1,74,75,37,36,2,5,3,2,75,74,25,13,5,6,1,18,46,6,30,620,68,73,2.0,1.3529,0.4286,1.875,22.1429,4.8571,5.2143
03062025001,2,75,74,44,36,3,6,3,1,75,74,41,39,3,5,2,31,31,4,8,440,47,60,3.4444,0.9118,0.2857,0.5,15.7143,3.3571,4.2857
03062025002,2,74,75,20,13,2,3,1,1,75,74,25,27,2,2,0,26,73,9,49,1380,60,65,2.8889,2.1471,0.6429,3.0625,49.2857,4.2857,4.6429
03102025001,1,75,74,42,34,2,3,1,2,74,75,26,29,3,3,0,31,58,5,43,1370,98,98,3.4444,1.7059,0.3571,2.6875,48.9286,7.0,7.0
03102025002,2,75,74,41,35,3,4,1,1,74,75,37,28,2,3,1,30,57,7,32,300,77,93,3.3333,1.6765,0.5,2.0,10.7143,5.5,6.6429
03132025001,2,74,75,33,37,3,4,1,1,74,75,38,37,3,4,1,25,52,6,42,1520,40,40,2.7778,1.5294,0.4286,2.625,54.2857,2.8571,2.8571
03132026002,2,75,74,33,34,4,4,0,1,75,74,25,27,3,5,2,31,71,6,46,1530,65,59,3.4444,2.0882,0.4286,2.875,54.6429,4.6429,4.2143
03172026001,2,75,74,29,26,5,6,1,1,74,75,28,26,5,5,0,28,73,6,38,450,79,87,3.1111,2.1471,0.4286,2.375,16.0714,5.6429,6.2143
03192026001,2,74,75,46,41,4,6,2,1,74,75,36,37,4,5,1,30,51,8,45,650,90,89,3.3333,1.5,0.5714,2.8125,23.2143,6.4286,6.3571
03202026001,2,74,75,37,31,3,3,0,1,74,75,37,37,4,3,-1,29,40,5,29,1480,53,56,3.2222,1.1765,0.3571,1.8125,52.8571,3.7857,4.0
03202026002,2,74,75,39,30,4,3,-1,1,75,74,30,35,2,6,4,27,54,5,36,780,70,74,3.0,1.5882,0.3571,2.25,27.8571,5.0,5.2857
04142026001,1,75,74,31,27,2,4,2,2,74,75,25,22,3,3,0,33,46,4,16,780,72,54,3.6667,1.3529,0.2857,1.0,27.8571,5.1429,3.8571
04142026002,1,75,74,40,34,2,2,0,2,74,75,38,30,2,3,1,28,71,7,51,1060,75,81,3.1111,2.0882,0.5,3.1875,37.8571,5.3571,5.7857
