subject_number,fs_block_order,fs_total_targets,fs_total_distractors,fs_hits,fs_falsealarms,fs_sleepiness_pre,fs_sleepiness_post,fs_sleepiness_delta,is_block_order,is_total_targets,is_total_distractors,is_hits,is_falsealarms,is_sleepiness_pre,is_sleepiness_post,is_sleepiness_delta,flow_state_scale_raw_sum,tellegen_raw_sum,vhq_raw_sum,launay_slade_raw_sum,dissociative_experiences_raw_sum,bais_v_raw_sum,bais_c_raw_sum,flow_state_scale_mean,tellegen_mean,vhq_yes_proportion,launay_slade_mean,des_mean_0_100,bais_v_mean,bais_c_mean
03292026001,2,75,74,38,46,3,3,0,1,74,75,37,34,3,3,0,30,59,4,35,560,42,66,3.3333,1.7353,0.2857,2.1875,20.0,3.0,4.7143
04032026001,1,75,74,33,37,4,6,2,2,74,75,28,29,5,4,-1,27,28,3,24,430,22,22,3.0,0.8235,0.2143,1.5,15.3571,1.5714,1.5714
04042026001,2,75,74,39,33,3,3,0,1,74,75,32,38,3,3,0,27,68,7,43,1490,87,84,3.0,2.0,0.5,2.6875,53.2143,6.2143,6.0
04042026002,2,75,74,38,30,3,5,2,1,74,75,36,34,3,4,1,27,43,3,39,1000,67,84,3.0,1.2647,0.2143,2.4375,35.7143,4.7857,6.0
04042026003,1,74,75,38,44,3,3,0,2,75,74,34,45,3,3,0,24,41,6,36,290,79,78,2.6667,1.2059,0.4286,2.25,10.3571,5.6429,5.5714
04062026001,1,74,75,33,35,3,4,1,2,75,74,40,36,2,3,1,29,74,7,39,900,77,82,3.2222,2.1765,0.5,2.4375,32.1429,5.5,5.8571
04182026001,2,75,74,32,28,4,6,2,1,75,74,33,43,3,6,3,23,31,2,22,420,46,70,2.5556,0.9118,0.1429,1.375,15.0,3.2857,5.0
04182026002,2,75,74,35,32,1,1,0,1,74,75,35,42,1,2,1,31,64,6,36,200,61,44,3.4444,1.8824,0.4286,2.25,7.1429,4.3571,3.1429
04192026001,1,75,74,48,36,3,3,0,2,75,74,47,44,3,3,0,29,53,6,38,420,68,74,3.2222,1.5588,0.4286,2.375,15.0,4.8571,5.2857
04192026002,2,75,74,40,44,2,2,0,1,75,74,48,40,3,3,0,25,46,0,14,330,54,66,2.7778,1.3529,0.0,0.875,11.7857,3.8571,4.7143
