Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,205127483849900,0,0.0
key_press:space_intro,205131298816300,3814.966,3.814966
screen_presented:Q1,205131307326200,8.510,0.008510
option_selected:Q1_option1,205139675750100,8368.424,8.368424
submit_clicked:Q1,205143223989000,3548.239,3.548239
screen_presented:Q2,205143224101800,0.113,0.000113
option_selected:Q2_option0,205146886731900,3662.630,3.662630
submit_clicked:Q2,205148049965100,1163.233,1.163233
screen_presented:Q3,205148050113300,0.148,0.000148
option_selected:Q3_option3,205155093567700,7043.454,7.043454
submit_clicked:Q3,205156687168400,1593.601,1.593601
screen_presented:Q4,205156687277400,0.109,0.000109
option_selected:Q4_option0,205168932003100,12244.726,12.244726
submit_clicked:Q4,205169996340800,1064.338,1.064338
screen_presented:Q5,205169996450200,0.109,0.000109
option_selected:Q5_option0,205172437776800,2441.327,2.441327
submit_clicked:Q5,205173480738100,1042.961,1.042961
screen_presented:Q6,205173480845600,0.107,0.000107
option_selected:Q6_option0,205175048383400,1567.538,1.567538
submit_clicked:Q6,205175995367200,946.984,0.946984
screen_presented:Q7,205175995488900,0.122,0.000122
option_selected:Q7_option0,205177527098200,1531.609,1.531609
submit_clicked:Q7,205178506412600,979.314,0.979314
screen_presented:Q8,205178506519500,0.107,0.000107
option_selected:Q8_option0,205179906907800,1400.388,1.400388
submit_clicked:Q8,205180927202200,1020.294,1.020294
screen_presented:Q9,205180927306100,0.104,0.000104
option_selected:Q9_option0,205182459785200,1532.479,1.532479
submit_clicked:Q9,205183405072900,945.288,0.945288
screen_presented:Q10,205183405173000,0.100,0.000100
option_selected:Q10_option0,205184921646600,1516.474,1.516474
submit_clicked:Q10,205185902195500,980.549,0.980549
screen_presented:Q11,205185902302100,0.107,0.000107
option_selected:Q11_option0,205188138216200,2235.914,2.235914
submit_clicked:Q11,205190805171500,2666.955,2.666955
screen_presented:Q12,205190805296200,0.125,0.000125
option_selected:Q12_option0,205192379534100,1574.238,1.574238
submit_clicked:Q12,205194546541000,2167.007,2.167007
screen_presented:Q13,205194546648600,0.108,0.000108
option_selected:Q13_option0,205197314129900,2767.481,2.767481
submit_clicked:Q13,205198220895300,906.765,0.906765
screen_presented:Q14,205198221001300,0.106,0.000106
option_selected:Q14_option0,205201130659000,2909.658,2.909658
submit_clicked:Q14,205202239051200,1108.392,1.108392
screen_presented:Q15,205202239161800,0.111,0.000111
option_selected:Q15_option0,205205098090800,2858.929,2.858929
submit_clicked:Q15,205206135867500,1037.777,1.037777
screen_presented:Q16,205206135990300,0.123,0.000123
option_selected:Q16_option0,205208128652800,1992.662,1.992663
submit_clicked:Q16,205209320462900,1191.810,1.191810
