Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,641496700583600,0,0.0
key_press:space_intro,641500401631700,3701.048,3.701048
screen_presented:Q1,641500417359400,15.728,0.015728
option_selected:Q1_option2,641503375593200,2958.234,2.958234
submit_clicked:Q1,641505089528600,1713.935,1.713935
screen_presented:Q2,641505089677700,0.149,0.000149
option_selected:Q2_option1,641506967965000,1878.287,1.878287
submit_clicked:Q2,641507695662900,727.698,0.727698
screen_presented:Q3,641507695797700,0.135,0.000135
option_selected:Q3_option2,641511048304300,3352.507,3.352507
submit_clicked:Q3,641512096365700,1048.061,1.048061
screen_presented:Q4,641512096522100,0.156,0.000156
option_selected:Q4_option3,641516494008400,4397.486,4.397486
submit_clicked:Q4,641517344758100,850.750,0.850750
screen_presented:Q5,641517344881400,0.123,0.000123
option_selected:Q5_option1,641520967134500,3622.253,3.622253
submit_clicked:Q5,641521679134400,712.000,0.712000
screen_presented:Q6,641521679242500,0.108,0.000108
option_selected:Q6_option2,641523128722800,1449.480,1.449480
submit_clicked:Q6,641523774072200,645.349,0.645349
screen_presented:Q7,641523774208600,0.136,0.000136
option_selected:Q7_option3,641525879531300,2105.323,2.105323
submit_clicked:Q7,641527073321100,1193.790,1.193790
screen_presented:Q8,641527073434500,0.113,0.000113
option_selected:Q8_option0,641530294659400,3221.225,3.221225
submit_clicked:Q8,641531215353300,920.694,0.920694
screen_presented:Q9,641531215477300,0.124,0.000124
option_selected:Q9_option0,641533382830600,2167.353,2.167353
submit_clicked:Q9,641534223098200,840.268,0.840268
screen_presented:Q10,641534223206300,0.108,0.000108
option_selected:Q10_option1,641537881356400,3658.150,3.658150
submit_clicked:Q10,641538943669300,1062.313,1.062313
screen_presented:Q11,641538943889800,0.221,0.000220
option_selected:Q11_option0,641542222028100,3278.138,3.278138
submit_clicked:Q11,641543222346000,1000.318,1.000318
screen_presented:Q12,641543222500000,0.154,0.000154
option_selected:Q12_option1,641548111862800,4889.363,4.889363
submit_clicked:Q12,641549135611600,1023.749,1.023749
screen_presented:Q13,641549135767300,0.156,0.000156
option_selected:Q13_option2,641553591298900,4455.532,4.455532
submit_clicked:Q13,641554367575900,776.277,0.776277
screen_presented:Q14,641554367695100,0.119,0.000119
option_selected:Q14_option2,641557505350800,3137.656,3.137656
submit_clicked:Q14,641558150236000,644.885,0.644885
screen_presented:Q15,641558150348800,0.113,0.000113
option_selected:Q15_option1,641560729824800,2579.476,2.579476
submit_clicked:Q15,641561417376100,687.551,0.687551
screen_presented:Q16,641561417493800,0.118,0.000118
option_selected:Q16_option0,641567792780200,6375.286,6.375286
submit_clicked:Q16,641568826089600,1033.309,1.033309
screen_presented:Q17,641568826226500,0.137,0.000137
option_selected:Q17_option1,641571007075000,2180.849,2.180849
submit_clicked:Q17,641571711404800,704.330,0.704330
screen_presented:Q18,641571711517000,0.112,0.000112
option_selected:Q18_option2,641576255937600,4544.421,4.544421
submit_clicked:Q18,641577247530300,991.593,0.991593
screen_presented:Q19,641577247648600,0.118,0.000118
option_selected:Q19_option3,641579720068200,2472.420,2.472420
submit_clicked:Q19,641580408064700,687.996,0.687997
screen_presented:Q20,641580408225400,0.161,0.000161
option_selected:Q20_option1,641583120547000,2712.322,2.712322
submit_clicked:Q20,641583905415900,784.869,0.784869
screen_presented:Q21,641583905564400,0.148,0.000149
option_selected:Q21_option0,641587294549100,3388.985,3.388985
submit_clicked:Q21,641588145072200,850.523,0.850523
screen_presented:Q22,641588145226400,0.154,0.000154
option_selected:Q22_option1,641591190774000,3045.548,3.045548
submit_clicked:Q22,641591942971700,752.198,0.752198
screen_presented:Q23,641591943125900,0.154,0.000154
option_selected:Q23_option2,641598086930100,6143.804,6.143804
option_selected:Q23_option3,641598639214500,552.284,0.552284
submit_clicked:Q23,641599375645100,736.431,0.736431
screen_presented:Q24,641599375805900,0.161,0.000161
option_selected:Q24_option3,641602054819900,2679.014,2.679014
option_selected:Q24_option2,641603088202600,1033.383,1.033383
option_selected:Q24_option1,641603497383300,409.181,0.409181
submit_clicked:Q24,641604206287600,708.904,0.708904
screen_presented:Q25,641604206402200,0.115,0.000115
option_selected:Q25_option2,641606241648300,2035.246,2.035246
submit_clicked:Q25,641606871698000,630.050,0.630050
screen_presented:Q26,641606871809000,0.111,0.000111
option_selected:Q26_option3,641611792446000,4920.637,4.920637
option_selected:Q26_option2,641612607388400,814.942,0.814942
submit_clicked:Q26,641613496284400,888.896,0.888896
screen_presented:Q27,641613496397500,0.113,0.000113
option_selected:Q27_option2,641616799568900,3303.171,3.303171
option_selected:Q27_option1,641617281041500,481.473,0.481473
submit_clicked:Q27,641618217515400,936.474,0.936474
screen_presented:Q28,641618217675000,0.160,0.000160
option_selected:Q28_option0,641621256181400,3038.506,3.038506
option_selected:Q28_option2,641623022818000,1766.637,1.766637
submit_clicked:Q28,641624045991300,1023.173,1.023173
screen_presented:Q29,641624046141100,0.150,0.000150
option_selected:Q29_option1,641628930011400,4883.870,4.883870
submit_clicked:Q29,641629777052400,847.041,0.847041
screen_presented:Q30,641629777164300,0.112,0.000112
option_selected:Q30_option2,641631992656300,2215.492,2.215492
submit_clicked:Q30,641632839564300,846.908,0.846908
screen_presented:Q31,641632839695600,0.131,0.000131
option_selected:Q31_option2,641635720335000,2880.639,2.880639
option_selected:Q31_option1,641637317829900,1597.495,1.597495
option_selected:Q31_option0,641638713884500,1396.055,1.396055
submit_clicked:Q31,641639816061000,1102.177,1.102176
screen_presented:Q32,641639816190300,0.129,0.000129
option_selected:Q32_option1,641642990666800,3174.477,3.174476
submit_clicked:Q32,641643850579700,859.913,0.859913
screen_presented:Q33,641643850739400,0.160,0.000160
option_selected:Q33_option0,641646111967200,2261.228,2.261228
submit_clicked:Q33,641646968387100,856.420,0.856420
screen_presented:Q34,641646968523400,0.136,0.000136
option_selected:Q34_option2,641648575799900,1607.276,1.607276
submit_clicked:Q34,641649496274100,920.474,0.920474
