Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,124775006991000,0,0.0
key_press:space_intro,124795864275200,20857.284,20.857284
screen_presented:Q1,124795874504500,10.229,0.010229
option_selected:Q1_option4,124816383372500,20508.868,20.508868
submit_clicked:Q1,124817260090200,876.718,0.876718
screen_presented:Q2,124817260239600,0.149,0.000149
option_selected:Q2_option2,124833725694200,16465.455,16.465455
submit_clicked:Q2,124839627591000,5901.897,5.901897
screen_presented:Q3,124839627766200,0.175,0.000175
option_selected:Q3_option6,124847688163200,8060.397,8.060397
submit_clicked:Q3,124848436911700,748.749,0.748749
screen_presented:Q4,124848437033100,0.121,0.000121
option_selected:Q4_option4,124854909535400,6472.502,6.472502
submit_clicked:Q4,124855623244500,713.709,0.713709
screen_presented:Q5,124855623363800,0.119,0.000119
option_selected:Q5_option4,124865349915900,9726.552,9.726552
option_selected:Q5_option3,124866661316600,1311.401,1.311401
submit_clicked:Q5,124867281249700,619.933,0.619933
screen_presented:Q6,124867281374300,0.125,0.000125
option_selected:Q6_option4,124874223784300,6942.410,6.942410
option_selected:Q6_option4,124874425518000,201.734,0.201734
submit_clicked:Q6,124875214976600,789.459,0.789459
screen_presented:Q7,124875215101300,0.125,0.000125
option_selected:Q7_option3,124884891014600,9675.913,9.675913
submit_clicked:Q7,124885621271300,730.257,0.730257
screen_presented:Q8,124885621387800,0.117,0.000116
option_selected:Q8_option4,124896255606500,10634.219,10.634219
submit_clicked:Q8,124897059723800,804.117,0.804117
screen_presented:Q9,124897059847600,0.124,0.000124
option_selected:Q9_option6,124904145139100,7085.292,7.085292
submit_clicked:Q9,124904717298700,572.160,0.572160
screen_presented:Q10,124904717534600,0.236,0.000236
option_selected:Q10_option2,124911970856900,7253.322,7.253322
submit_clicked:Q10,124912918672000,947.815,0.947815
screen_presented:Q11,124912918791600,0.120,0.000120
option_selected:Q11_option4,124921934458500,9015.667,9.015667
submit_clicked:Q11,124922846587000,912.129,0.912129
screen_presented:Q12,124922846706300,0.119,0.000119
option_selected:Q12_option4,124927473421000,4626.715,4.626715
submit_clicked:Q12,124928153527500,680.106,0.680106
screen_presented:Q13,124928153689800,0.162,0.000162
option_selected:Q13_option2,124937728212200,9574.522,9.574522
submit_clicked:Q13,124938413034400,684.822,0.684822
screen_presented:Q14,124938413177000,0.143,0.000143
option_selected:Q14_option3,124945622214200,7209.037,7.209037
submit_clicked:Q14,124946349612800,727.399,0.727399
