Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,476637216647600,0,0.0
key_press:space_intro,476642597349300,5380.702,5.380702
screen_presented:Q1,476642605711800,8.363,0.008363
option_selected:Q1_option5,476647719137000,5113.425,5.113425
option_selected:Q1_option4,476651109482700,3390.346,3.390346
submit_clicked:Q1,476651707754400,598.272,0.598272
screen_presented:Q2,476651707899400,0.145,0.000145
option_selected:Q2_option4,476657494075100,5786.176,5.786176
submit_clicked:Q2,476658981665500,1487.590,1.487590
screen_presented:Q3,476658981799800,0.134,0.000134
option_selected:Q3_option5,476663338918200,4357.118,4.357118
submit_clicked:Q3,476664296062200,957.144,0.957144
screen_presented:Q4,476664296227700,0.166,0.000166
option_selected:Q4_option5,476667310802600,3014.575,3.014575
submit_clicked:Q4,476668267026400,956.224,0.956224
screen_presented:Q5,476668267190300,0.164,0.000164
option_selected:Q5_option5,476672336659100,4069.469,4.069469
submit_clicked:Q5,476672987590000,650.931,0.650931
screen_presented:Q6,476672987760800,0.171,0.000171
option_selected:Q6_option4,476676463080600,3475.320,3.475320
submit_clicked:Q6,476677939115700,1476.035,1.476035
screen_presented:Q7,476677939231200,0.116,0.000116
option_selected:Q7_option5,476684711926200,6772.695,6.772695
submit_clicked:Q7,476685631919500,919.993,0.919993
screen_presented:Q8,476685632035400,0.116,0.000116
option_selected:Q8_option4,476695704452600,10072.417,10.072417
submit_clicked:Q8,476696742868900,1038.416,1.038416
screen_presented:Q9,476696743020000,0.151,0.000151
option_selected:Q9_option5,476699804332800,3061.313,3.061313
submit_clicked:Q9,476700844389600,1040.057,1.040057
screen_presented:Q10,476700844524900,0.135,0.000135
option_selected:Q10_option5,476706279416800,5434.892,5.434892
submit_clicked:Q10,476707644136700,1364.720,1.364720
screen_presented:Q11,476707644257300,0.121,0.000121
option_selected:Q11_option5,476712322998100,4678.741,4.678741
submit_clicked:Q11,476714613629000,2290.631,2.290631
screen_presented:Q12,476714613748700,0.120,0.000120
option_selected:Q12_option5,476719897540400,5283.792,5.283792
submit_clicked:Q12,476721237137900,1339.598,1.339597
screen_presented:Q13,476721237256100,0.118,0.000118
option_selected:Q13_option3,476726995305900,5758.050,5.758050
submit_clicked:Q13,476727695332600,700.027,0.700027
screen_presented:Q14,476727695454200,0.122,0.000122
option_selected:Q14_option4,476733907652100,6212.198,6.212198
submit_clicked:Q14,476734837021300,929.369,0.929369
