Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,475918197069800,0,0.0
key_press:space_intro,475925728986700,7531.917,7.531917
screen_presented:Q1,475925736277600,7.291,0.007291
option_selected:Q1_option2,475936659868600,10923.591,10.923591
submit_clicked:Q1,475938129268700,1469.400,1.469400
screen_presented:Q2,475938129513300,0.245,0.000245
option_selected:Q2_option2,475947727619700,9598.106,9.598106
submit_clicked:Q2,475949219530100,1491.910,1.491910
screen_presented:Q3,475949219647800,0.118,0.000118
option_selected:Q3_option3,475953782197000,4562.549,4.562549
submit_clicked:Q3,475954839933700,1057.737,1.057737
screen_presented:Q4,475954840051000,0.117,0.000117
option_selected:Q4_option4,475958487896000,3647.845,3.647845
submit_clicked:Q4,475959878146800,1390.251,1.390251
screen_presented:Q5,475959878282700,0.136,0.000136
option_selected:Q5_option2,475964973536600,5095.254,5.095254
option_selected:Q5_option1,475966949967600,1976.431,1.976431
submit_clicked:Q5,475968973457000,2023.489,2.023489
screen_presented:Q6,475968973605300,0.148,0.000148
option_selected:Q6_option3,475972397486800,3423.881,3.423881
submit_clicked:Q6,475973648037900,1250.551,1.250551
screen_presented:Q7,475973648171300,0.133,0.000133
option_selected:Q7_option3,475978868809200,5220.638,5.220638
submit_clicked:Q7,475979652393100,783.584,0.783584
screen_presented:Q8,475979652506000,0.113,0.000113
option_selected:Q8_option3,475984550128400,4897.622,4.897622
submit_clicked:Q8,475988046875000,3496.747,3.496747
screen_presented:Q9,475988046990000,0.115,0.000115
option_selected:Q9_option0,475990323820300,2276.830,2.276830
submit_clicked:Q9,475994811105800,4487.285,4.487285
