Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,568176008268000,0,0.0
key_press:space_intro,568182091499300,6083.231,6.083231
screen_presented:Q1,568182110055600,18.556,0.018556
option_selected:Q1_option0,568188110128400,6000.073,6.000073
submit_clicked:Q1,568189182182700,1072.054,1.072054
screen_presented:Q2,568189182329100,0.146,0.000146
option_selected:Q2_option3,568195132268500,5949.939,5.949939
submit_clicked:Q2,568195693028900,560.760,0.560760
screen_presented:Q3,568195693156300,0.127,0.000127
option_selected:Q3_option1,568199277404100,3584.248,3.584248
submit_clicked:Q3,568199929468700,652.065,0.652065
screen_presented:Q4,568199929584500,0.116,0.000116
option_selected:Q4_option0,568203579678600,3650.094,3.650094
submit_clicked:Q4,568204692107600,1112.429,1.112429
screen_presented:Q5,568204692236200,0.129,0.000129
option_selected:Q5_option3,568208468390100,3776.154,3.776154
submit_clicked:Q5,568209860284300,1391.894,1.391894
screen_presented:Q6,568209860482600,0.198,0.000198
option_selected:Q6_option0,568215144870500,5284.388,5.284388
submit_clicked:Q6,568215745223000,600.352,0.600352
screen_presented:Q7,568215745344900,0.122,0.000122
option_selected:Q7_option0,568220466734700,4721.390,4.721390
submit_clicked:Q7,568221342366800,875.632,0.875632
screen_presented:Q8,568221342478200,0.111,0.000111
option_selected:Q8_option0,568224216763500,2874.285,2.874285
submit_clicked:Q8,568224897912000,681.149,0.681149
screen_presented:Q9,568224898024600,0.113,0.000113
option_selected:Q9_option0,568228361303300,3463.279,3.463279
submit_clicked:Q9,568228927971900,566.669,0.566669
screen_presented:Q10,568228928099000,0.127,0.000127
option_selected:Q10_option0,568232053076700,3124.978,3.124978
submit_clicked:Q10,568232718824100,665.747,0.665747
screen_presented:Q11,568232718965700,0.142,0.000142
option_selected:Q11_option0,568236344304700,3625.339,3.625339
submit_clicked:Q11,568237318417800,974.113,0.974113
screen_presented:Q12,568237318547800,0.130,0.000130
option_selected:Q12_option3,568241442221500,4123.674,4.123674
submit_clicked:Q12,568242227663800,785.442,0.785442
screen_presented:Q13,568242227804900,0.141,0.000141
option_selected:Q13_option2,568245334905600,3107.101,3.107101
option_selected:Q13_option0,568246452930900,1118.025,1.118025
submit_clicked:Q13,568247666091800,1213.161,1.213161
screen_presented:Q14,568247666207000,0.115,0.000115
option_selected:Q14_option5,568254761661500,7095.454,7.095454
submit_clicked:Q14,568255377787500,616.126,0.616126
screen_presented:Q15,568255377901800,0.114,0.000114
option_selected:Q15_option5,568259288672400,3910.771,3.910771
option_selected:Q15_option4,568259710097700,421.425,0.421425
submit_clicked:Q15,568260426535000,716.437,0.716437
screen_presented:Q16,568260426651400,0.116,0.000116
option_selected:Q16_option2,568263413610000,2986.959,2.986959
option_selected:Q16_option1,568263722835600,309.226,0.309226
submit_clicked:Q16,568264688098000,965.262,0.965262
screen_presented:Q17,568264688240600,0.143,0.000143
option_selected:Q17_option7,568268186750300,3498.510,3.498510
submit_clicked:Q17,568269169000400,982.250,0.982250
screen_presented:Q18,568269169127000,0.127,0.000127
option_selected:Q18_option4,568273282476300,4113.349,4.113349
submit_clicked:Q18,568273934295200,651.819,0.651819
screen_presented:Q19,568273934436800,0.142,0.000142
option_selected:Q19_option4,568276436891800,2502.455,2.502455
submit_clicked:Q19,568277361046000,924.154,0.924154
screen_presented:Q20,568277361163700,0.118,0.000118
option_selected:Q20_option4,568280716208600,3355.045,3.355045
submit_clicked:Q20,568281557064600,840.856,0.840856
screen_presented:Q21,568281557175400,0.111,0.000111
option_selected:Q21_option1,568284499014100,2941.839,2.941839
submit_clicked:Q21,568285223970100,724.956,0.724956
screen_presented:Q22,568285224110400,0.140,0.000140
option_selected:Q22_option0,568288582797900,3358.688,3.358687
submit_clicked:Q22,568289362681400,779.884,0.779883
screen_presented:Q23,568289362897000,0.216,0.000216
option_selected:Q23_option0,568294038894100,4675.997,4.675997
submit_clicked:Q23,568294650701000,611.807,0.611807
screen_presented:Q24,568294650823900,0.123,0.000123
option_selected:Q24_option3,568306698856700,12048.033,12.048033
submit_clicked:Q24,568307382423200,683.567,0.683566
screen_presented:Q25,568307382562200,0.139,0.000139
option_selected:Q25_option0,568312343946000,4961.384,4.961384
submit_clicked:Q25,568313274591600,930.646,0.930646
screen_presented:Q26,568313274708100,0.117,0.000116
option_selected:Q26_option1,568318108397100,4833.689,4.833689
submit_clicked:Q26,568318738983500,630.586,0.630586
screen_presented:Q27,568318739099700,0.116,0.000116
option_selected:Q27_option0,568322190084800,3450.985,3.450985
option_selected:Q27_option1,568322757245900,567.161,0.567161
submit_clicked:Q27,568323380268000,623.022,0.623022
screen_presented:Q28,568323380383400,0.115,0.000115
option_selected:Q28_option0,568326253030500,2872.647,2.872647
submit_clicked:Q28,568326876488800,623.458,0.623458
