Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,811684734830600,0,0.0
button_click:actual_audio,811687081489200,2346.659,2.346659
button_click:target_0,811689238705200,2157.216,2.157216
button_click:target_1,811691635432500,2396.727,2.396727
button_click:target_2,811693767015300,2131.583,2.131583
button_click:actual_audio,811696771728700,3004.713,3.004713
button_click:distractor_0,811698991350400,2219.622,2.219622
button_click:distractor_1,811701187362000,2196.012,2.196012
button_click:distractor_2,811703621976600,2434.615,2.434615
button_click:continue,811705732536600,2110.560,2.110560
