Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,813002598477100,0,0.0
key_press:space_intro,813004541618600,1943.141,1.943142
screen_presented:Q1,813004553361900,11.743,0.011743
option_selected:Q1_option0,813013650439200,9097.077,9.097077
submit_clicked:Q1,813017611442300,3961.003,3.961003
screen_presented:Q2,813017611575300,0.133,0.000133
option_selected:Q2_option1,813021850200300,4238.625,4.238625
submit_clicked:Q2,813023851142300,2000.942,2.000942
screen_presented:Q3,813023851267600,0.125,0.000125
option_selected:Q3_option1,813030795361100,6944.093,6.944094
submit_clicked:Q3,813032084110400,1288.749,1.288749
screen_presented:Q4,813032084237600,0.127,0.000127
option_selected:Q4_option0,813042889365300,10805.128,10.805128
submit_clicked:Q4,813043641922400,752.557,0.752557
screen_presented:Q5,813043642057800,0.135,0.000135
option_selected:Q5_option0,813048153337700,4511.280,4.511280
submit_clicked:Q5,813050187053000,2033.715,2.033715
screen_presented:Q6,813050187170400,0.117,0.000117
option_selected:Q6_option1,813057251079600,7063.909,7.063909
submit_clicked:Q6,813057994482200,743.403,0.743403
screen_presented:Q7,813057994597500,0.115,0.000115
option_selected:Q7_option1,813062851527400,4856.930,4.856930
option_selected:Q7_option1,813063130686100,279.159,0.279159
submit_clicked:Q7,813063970867800,840.182,0.840182
screen_presented:Q8,813063970983800,0.116,0.000116
option_selected:Q8_option1,813070089412700,6118.429,6.118429
submit_clicked:Q8,813071187687800,1098.275,1.098275
screen_presented:Q9,813071187847500,0.160,0.000160
option_selected:Q9_option1,813081833707300,10645.860,10.645860
submit_clicked:Q9,813083091866300,1258.159,1.258159
screen_presented:Q10,813083092075700,0.209,0.000209
option_selected:Q10_option0,813087122656800,4030.581,4.030581
submit_clicked:Q10,813088049798100,927.141,0.927141
screen_presented:Q11,813088049920400,0.122,0.000122
option_selected:Q11_option0,813090361035300,2311.115,2.311115
submit_clicked:Q11,813091073258400,712.223,0.712223
screen_presented:Q12,813091073374600,0.116,0.000116
option_selected:Q12_option0,813093817339200,2743.965,2.743965
option_selected:Q12_option1,813098179893100,4362.554,4.362554
submit_clicked:Q12,813099825519100,1645.626,1.645626
screen_presented:Q13,813099825637600,0.118,0.000118
option_selected:Q13_option1,813106987345700,7161.708,7.161708
submit_clicked:Q13,813108129398800,1142.053,1.142053
screen_presented:Q14,813108129529900,0.131,0.000131
option_selected:Q14_option1,813114744942000,6615.412,6.615412
submit_clicked:Q14,813115882679800,1137.738,1.137738
