Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,2985879541526400,0,0.0
button_click:actual_audio,2985882520939700,2979.413,2.979413
button_click:target_0,2985883952329600,1431.390,1.431390
button_click:target_1,2985885909970200,1957.641,1.957641
button_click:target_2,2985889025961200,3115.991,3.115991
button_click:actual_audio,2985891742492600,2716.531,2.716531
button_click:distractor_0,2985892914680400,1172.188,1.172188
button_click:distractor_1,2985893949927200,1035.247,1.035247
button_click:distractor_2,2985894908355400,958.428,0.958428
button_click:target_0,2985897455879700,2547.524,2.547524
button_click:target_1,2985899387009900,1931.130,1.931130
button_click:target_2,2985900636217600,1249.208,1.249208
button_click:continue,2985902570101200,1933.884,1.933884
