Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,94520252427400,0,0.0
key_press:space_intro,94526364856900,6112.430,6.112430
screen_presented:Q1,94526392535400,27.678,0.027679
option_selected:Q1_option0,94533741554000,7349.019,7.349019
submit_clicked:Q1,94534715245800,973.692,0.973692
screen_presented:Q2,94534715483800,0.238,0.000238
option_selected:Q2_option1,94538068639200,3353.155,3.353155
submit_clicked:Q2,94539083365800,1014.727,1.014727
screen_presented:Q3,94539083607900,0.242,0.000242
option_selected:Q3_option1,94544785361600,5701.754,5.701754
submit_clicked:Q3,94546306336600,1520.975,1.520975
screen_presented:Q4,94546306589200,0.253,0.000253
option_selected:Q4_option1,94549057154800,2750.566,2.750566
submit_clicked:Q4,94549834841800,777.687,0.777687
screen_presented:Q5,94549835082600,0.241,0.000241
option_selected:Q5_option1,94553338459200,3503.377,3.503377
submit_clicked:Q5,94554145655100,807.196,0.807196
screen_presented:Q6,94554145894000,0.239,0.000239
option_selected:Q6_option1,94560045417600,5899.524,5.899524
submit_clicked:Q6,94561313472500,1268.055,1.268055
screen_presented:Q7,94561313713500,0.241,0.000241
option_selected:Q7_option1,94564961574500,3647.861,3.647861
submit_clicked:Q7,94565745789000,784.215,0.784215
screen_presented:Q8,94565746040300,0.251,0.000251
option_selected:Q8_option1,94572265171700,6519.131,6.519131
submit_clicked:Q8,94573596216800,1331.045,1.331045
screen_presented:Q9,94573596468000,0.251,0.000251
option_selected:Q9_option1,94580690395500,7093.927,7.093928
submit_clicked:Q9,94581591204400,900.809,0.900809
screen_presented:Q10,94581591449000,0.245,0.000245
option_selected:Q10_option0,94584444675700,2853.227,2.853227
submit_clicked:Q10,94585465647200,1020.971,1.020971
screen_presented:Q11,94585465886700,0.239,0.000239
option_selected:Q11_option0,94586962833300,1496.947,1.496947
submit_clicked:Q11,94587884141500,921.308,0.921308
screen_presented:Q12,94587884397300,0.256,0.000256
option_selected:Q12_option1,94590148690400,2264.293,2.264293
submit_clicked:Q12,94591580143900,1431.454,1.431453
screen_presented:Q13,94591580392500,0.249,0.000249
option_selected:Q13_option1,94600279570200,8699.178,8.699178
submit_clicked:Q13,94601187161000,907.591,0.907591
screen_presented:Q14,94601187416100,0.255,0.000255
option_selected:Q14_option1,94606106073400,4918.657,4.918657
submit_clicked:Q14,94606908033000,801.960,0.801960
