Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,160471110814700,0,0.0
button_click:actual_audio,160492108257400,20997.443,20.997443
button_click:target_0,160494809496900,2701.240,2.701239
button_click:target_1,160496947709400,2138.213,2.138212
button_click:target_2,160498456646100,1508.937,1.508937
button_click:actual_audio,160500092148000,1635.502,1.635502
button_click:distractor_0,160501349448000,1257.300,1.257300
button_click:distractor_1,160503045201700,1695.754,1.695754
button_click:distractor_2,160504554079900,1508.878,1.508878
button_click:actual_audio,160506626497100,2072.417,2.072417
button_click:distractor_0,160508511320900,1884.824,1.884824
button_click:target_0,160509769044100,1257.723,1.257723
button_click:target_1,160511024143100,1255.099,1.255099
button_click:target_2,160512094445300,1070.302,1.070302
button_click:distractor_1,160513038253800,943.808,0.943809
button_click:distractor_2,160514987135300,1948.881,1.948881
button_click:distractor_0,160516118202800,1131.068,1.131067
button_click:target_0,160517501132000,1382.929,1.382929
button_click:actual_audio,160519134792300,1633.660,1.633660
button_click:target_1,160520264264500,1129.472,1.129472
button_click:target_1,160521833721700,1569.457,1.569457
button_click:distractor_1,160524094685100,2260.963,2.260963
button_click:distractor_1,160525350024700,1255.340,1.255340
button_click:distractor_1,160526605497100,1255.472,1.255472
button_click:target_1,160527422794800,817.298,0.817298
button_click:target_1,160529184167100,1761.372,1.761372
button_click:actual_audio,160530505100600,1320.934,1.320933
button_click:actual_audio,160534339317300,3834.217,3.834217
button_click:target_2,160535218877400,879.560,0.879560
button_click:actual_audio,160537103316000,1884.439,1.884439
button_click:distractor_2,160538360892500,1257.576,1.257577
button_click:continue,160540497109100,2136.217,2.136217
