Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,164616586889900,0,0.0
key_press:space_intro,164627514434300,10927.544,10.927544
screen_presented:Q1,164627536913700,22.479,0.022479
option_selected:Q1_option6,164639910809700,12373.896,12.373896
submit_clicked:Q1,164640952073900,1041.264,1.041264
screen_presented:Q2,164640952319100,0.245,0.000245
option_selected:Q2_option3,164648964070200,8011.751,8.011751
submit_clicked:Q2,164653187677300,4223.607,4.223607
screen_presented:Q3,164653187925200,0.248,0.000248
option_selected:Q3_option6,164656781612900,3593.688,3.593688
submit_clicked:Q3,164660150284800,3368.672,3.368672
screen_presented:Q4,164660150538200,0.253,0.000253
option_selected:Q4_option4,164668186394400,8035.856,8.035856
submit_clicked:Q4,164669759624400,1573.230,1.573230
screen_presented:Q5,164669759867700,0.243,0.000243
option_selected:Q5_option6,164675512171900,5752.304,5.752304
submit_clicked:Q5,164677523437000,2011.265,2.011265
screen_presented:Q6,164677523699500,0.263,0.000262
option_selected:Q6_option6,164680571857000,3048.157,3.048157
submit_clicked:Q6,164681254298800,682.442,0.682442
screen_presented:Q7,164681254546800,0.248,0.000248
option_selected:Q7_option0,164684887944800,3633.398,3.633398
option_selected:Q7_option2,164687547989300,2660.044,2.660045
submit_clicked:Q7,164688542581600,994.592,0.994592
screen_presented:Q8,164688542842000,0.260,0.000260
option_selected:Q8_option6,164694107798700,5564.957,5.564957
submit_clicked:Q8,164696096460500,1988.662,1.988662
screen_presented:Q9,164696096705900,0.245,0.000245
option_selected:Q9_option6,164700209964700,4113.259,4.113259
submit_clicked:Q9,164700970601000,760.636,0.760636
screen_presented:Q10,164700970849400,0.248,0.000248
option_selected:Q10_option3,164707817991700,6847.142,6.847142
submit_clicked:Q10,164709925921300,2107.930,2.107930
screen_presented:Q11,164709926167500,0.246,0.000246
option_selected:Q11_option6,164715738325800,5812.158,5.812158
submit_clicked:Q11,164718234763500,2496.438,2.496438
screen_presented:Q12,164718235010100,0.247,0.000247
option_selected:Q12_option6,164724837201300,6602.191,6.602191
submit_clicked:Q12,164725591395800,754.194,0.754194
screen_presented:Q13,164725591635000,0.239,0.000239
option_selected:Q13_option3,164731410064300,5818.429,5.818429
option_selected:Q13_option4,164737670436400,6260.372,6.260372
submit_clicked:Q13,164738874176700,1203.740,1.203740
screen_presented:Q14,164738874431200,0.255,0.000255
option_selected:Q14_option6,164744687572600,5813.141,5.813141
submit_clicked:Q14,164746182653100,1495.081,1.495081
