Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,164349552304400,0,0.0
key_press:space_intro,164354265887000,4713.583,4.713583
screen_presented:Q1,164354312703100,46.816,0.046816
option_selected:Q1_option9,164357629198200,3316.495,3.316495
option_selected:Q1_option8,164358400601000,771.403,0.771403
option_selected:Q1_option9,164361290154000,2889.553,2.889553
option_selected:Q1_option10,164361670404800,380.251,0.380251
option_selected:Q1_option9,164365175718800,3505.314,3.505314
submit_clicked:Q1,164365778400400,602.682,0.602682
screen_presented:Q2,164365778652500,0.252,0.000252
option_selected:Q2_option9,164368013367400,2234.715,2.234715
submit_clicked:Q2,164371033107500,3019.740,3.019740
screen_presented:Q3,164371033364300,0.257,0.000257
option_selected:Q3_option9,164372901666200,1868.302,1.868302
submit_clicked:Q3,164373563968600,662.302,0.662302
screen_presented:Q4,164373564209400,0.241,0.000241
option_selected:Q4_option0,164376778525600,3214.316,3.214316
submit_clicked:Q4,164378317750800,1539.225,1.539225
screen_presented:Q5,164378318002100,0.251,0.000251
option_selected:Q5_option0,164380850141500,2532.139,2.532139
submit_clicked:Q5,164381505462400,655.321,0.655321
screen_presented:Q6,164381505706200,0.244,0.000244
option_selected:Q6_option0,164385814202100,4308.496,4.308496
submit_clicked:Q6,164390969439700,5155.238,5.155238
screen_presented:Q7,164390969691500,0.252,0.000252
option_selected:Q7_option0,164393321557100,2351.866,2.351866
submit_clicked:Q7,164394005691700,684.135,0.684135
screen_presented:Q8,164394005954600,0.263,0.000263
option_selected:Q8_option0,164397210661100,3204.706,3.204706
submit_clicked:Q8,164397856106100,645.445,0.645445
screen_presented:Q9,164397856360200,0.254,0.000254
option_selected:Q9_option10,164400044939300,2188.579,2.188579
submit_clicked:Q9,164400758703800,713.764,0.713765
screen_presented:Q10,164400758952100,0.248,0.000248
option_selected:Q10_option9,164402931120900,2172.169,2.172169
submit_clicked:Q10,164403648472300,717.351,0.717351
screen_presented:Q11,164403648731400,0.259,0.000259
option_selected:Q11_option0,164407735738800,4087.007,4.087007
submit_clicked:Q11,164409504363700,1768.625,1.768625
screen_presented:Q12,164409504628900,0.265,0.000265
option_selected:Q12_option1,164412290211300,2785.582,2.785582
option_selected:Q12_option0,164412668884900,378.674,0.378674
option_selected:Q12_option1,164413175152300,506.267,0.506267
option_selected:Q12_option2,164414537250500,1362.098,1.362098
submit_clicked:Q12,164415204965600,667.715,0.667715
screen_presented:Q13,164415205210000,0.244,0.000244
option_selected:Q13_option8,164417496903000,2291.693,2.291693
submit_clicked:Q13,164419213895300,1716.992,1.716992
screen_presented:Q14,164419214155600,0.260,0.000260
option_selected:Q14_option5,164421933079600,2718.924,2.718924
submit_clicked:Q14,164422566971400,633.892,0.633892
screen_presented:Q15,164422567218000,0.247,0.000247
option_selected:Q15_option9,164425419873300,2852.655,2.852655
submit_clicked:Q15,164426170544300,750.671,0.750671
screen_presented:Q16,164426170800600,0.256,0.000256
option_selected:Q16_option5,164430186996000,4016.195,4.016195
option_selected:Q16_option3,164431108702700,921.707,0.921707
submit_clicked:Q16,164431742640100,633.937,0.633937
screen_presented:Q17,164431742882700,0.243,0.000243
option_selected:Q17_option4,164433727893900,1985.011,1.985011
option_selected:Q17_option5,164435145940600,1418.047,1.418047
option_selected:Q17_option7,164436864365200,1718.425,1.718425
option_selected:Q17_option8,164437231348500,366.983,0.366983
submit_clicked:Q17,164438699437300,1468.089,1.468089
screen_presented:Q18,164438699684500,0.247,0.000247
option_selected:Q18_option10,164442052743800,3353.059,3.353059
option_selected:Q18_option9,164442386482100,333.738,0.333738
submit_clicked:Q18,164444321678900,1935.197,1.935197
screen_presented:Q19,164444321926800,0.248,0.000248
option_selected:Q19_option8,164446583028300,2261.102,2.261102
option_selected:Q19_option6,164448173682100,1590.654,1.590654
submit_clicked:Q19,164448912233500,738.551,0.738551
screen_presented:Q20,164448912475400,0.242,0.000242
option_selected:Q20_option10,164451114010800,2201.535,2.201535
submit_clicked:Q20,164454386230700,3272.220,3.272220
screen_presented:Q21,164454386481100,0.250,0.000250
option_selected:Q21_option4,164457810743300,3424.262,3.424262
submit_clicked:Q21,164458842318700,1031.575,1.031575
screen_presented:Q22,164458842563500,0.245,0.000245
option_selected:Q22_option6,164462856533100,4013.970,4.013970
submit_clicked:Q22,164463724016700,867.484,0.867484
screen_presented:Q23,164463724263700,0.247,0.000247
option_selected:Q23_option9,164466726954300,3002.691,3.002691
submit_clicked:Q23,164467511102500,784.148,0.784148
screen_presented:Q24,164467511342400,0.240,0.000240
option_selected:Q24_option9,164472449283500,4937.941,4.937941
submit_clicked:Q24,164473133216600,683.933,0.683933
screen_presented:Q25,164473133454900,0.238,0.000238
option_selected:Q25_option9,164476090107600,2956.653,2.956653
option_selected:Q25_option10,164476931058300,840.951,0.840951
submit_clicked:Q25,164477420981800,489.923,0.489924
screen_presented:Q26,164477421235600,0.254,0.000254
option_selected:Q26_option0,164479435668100,2014.432,2.014432
submit_clicked:Q26,164480318078300,882.410,0.882410
screen_presented:Q27,164480318326500,0.248,0.000248
option_selected:Q27_option0,164482058860700,1740.534,1.740534
submit_clicked:Q27,164482859574900,800.714,0.800714
screen_presented:Q28,164482859819200,0.244,0.000244
option_selected:Q28_option5,164485512104700,2652.285,2.652286
submit_clicked:Q28,164486304132200,792.028,0.792027
