Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,178237718465200,0,0.0
key_press:space_intro,178245095080000,7376.615,7.376615
screen_presented:Q1,178245105505400,10.425,0.010425
option_selected:Q1_option3,178249614919400,4509.414,4.509414
submit_clicked:Q1,178250782866200,1167.947,1.167947
screen_presented:Q2,178250783111000,0.245,0.000245
option_selected:Q2_option3,178255154685600,4371.575,4.371575
option_selected:Q2_option1,178257321938300,2167.253,2.167253
submit_clicked:Q2,178258919295000,1597.357,1.597357
screen_presented:Q3,178258919555200,0.260,0.000260
option_selected:Q3_option1,178261575285700,2655.731,2.655731
submit_clicked:Q3,178263158476000,1583.190,1.583190
screen_presented:Q4,178263158728400,0.252,0.000252
option_selected:Q4_option0,178267086384700,3927.656,3.927656
submit_clicked:Q4,178268739744500,1653.360,1.653360
screen_presented:Q5,178268739989200,0.245,0.000245
option_selected:Q5_option3,178270797658000,2057.669,2.057669
submit_clicked:Q5,178271842570900,1044.913,1.044913
screen_presented:Q6,178271842832700,0.262,0.000262
option_selected:Q6_option2,178275301922900,3459.090,3.459090
submit_clicked:Q6,178276513973000,1212.050,1.212050
screen_presented:Q7,178276514227100,0.254,0.000254
option_selected:Q7_option1,178279276849500,2762.622,2.762622
submit_clicked:Q7,178281564371200,2287.522,2.287522
screen_presented:Q8,178281564631000,0.260,0.000260
option_selected:Q8_option3,178285572838400,4008.207,4.008207
submit_clicked:Q8,178287076612700,1503.774,1.503774
screen_presented:Q9,178287076865100,0.252,0.000252
option_selected:Q9_option2,178289052358100,1975.493,1.975493
option_selected:Q9_option1,178292222551400,3170.193,3.170193
submit_clicked:Q9,178293190084300,967.533,0.967533
