Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,351895331191900,0,0.0
button_click:actual_audio,351930943698600,35612.507,35.612507
button_click:target_0,351934168003800,3224.305,3.224305
button_click:target_1,351937326097800,3158.094,3.158094
button_click:target_2,351940146345100,2820.247,2.820247
button_click:actual_audio,351943303679400,3157.334,3.157334
button_click:distractor_0,351946392530000,3088.851,3.088851
button_click:distractor_1,351949482544200,3090.014,3.090014
button_click:distractor_2,351952440495700,2957.952,2.957952
button_click:target_0,351955460501400,3020.006,3.020006
button_click:target_1,351958080831300,2620.330,2.620330
button_click:target_2,351960901793100,2820.962,2.820962
button_click:distractor_0,351963587521300,2685.728,2.685728
button_click:target_0,351966007000200,2419.479,2.419479
button_click:distractor_0,351968693231600,2686.231,2.686231
button_click:target_1,351971653748300,2960.517,2.960517
button_click:distractor_1,351974140398400,2486.650,2.486650
button_click:target_2,351976894952600,2754.554,2.754554
button_click:distractor_2,351979450654400,2555.702,2.555702
button_click:target_0,351981870634500,2419.980,2.419980
button_click:distractor_2,351984356922700,2486.288,2.486288
button_click:target_1,351987312735200,2955.812,2.955812
button_click:distractor_1,351989595721200,2282.986,2.282986
button_click:target_1,351992083414700,2487.693,2.487693
button_click:distractor_1,351994435115500,2351.701,2.351701
button_click:continue,351997860580900,3425.465,3.425465
