Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,354601947985500,0,0.0
key_press:space_intro,354610178283500,8230.298,8.230298
screen_presented:Q1,354610214524600,36.241,0.036241
option_selected:Q1_option2,354615566459600,5351.935,5.351935
submit_clicked:Q1,354619493266100,3926.807,3.926807
screen_presented:Q2,354619493504500,0.238,0.000238
option_selected:Q2_option3,354623319447400,3825.943,3.825943
submit_clicked:Q2,354624146043100,826.596,0.826596
screen_presented:Q3,354624146293600,0.251,0.000251
option_selected:Q3_option1,354631322612700,7176.319,7.176319
submit_clicked:Q3,354632238565800,915.953,0.915953
screen_presented:Q4,354632238818000,0.252,0.000252
option_selected:Q4_option2,354639253024000,7014.206,7.014206
submit_clicked:Q4,354640245747600,992.724,0.992724
screen_presented:Q5,354640245984700,0.237,0.000237
option_selected:Q5_option2,354646792639500,6546.655,6.546655
submit_clicked:Q5,354647642158100,849.519,0.849519
screen_presented:Q6,354647642398200,0.240,0.000240
option_selected:Q6_option2,354650127596800,2485.199,2.485199
submit_clicked:Q6,354650931279600,803.683,0.803683
screen_presented:Q7,354650931535500,0.256,0.000256
option_selected:Q7_option3,354655944326200,5012.791,5.012791
submit_clicked:Q7,354657304141600,1359.815,1.359815
screen_presented:Q8,354657304382700,0.241,0.000241
option_selected:Q8_option3,354662316898700,5012.516,5.012516
submit_clicked:Q8,354663351246500,1034.348,1.034348
screen_presented:Q9,354663351495600,0.249,0.000249
option_selected:Q9_option2,354667505389900,4153.894,4.153894
submit_clicked:Q9,354668314948500,809.559,0.809559
screen_presented:Q10,354668315183400,0.235,0.000235
option_selected:Q10_option2,354675455290400,7140.107,7.140107
submit_clicked:Q10,354677173737300,1718.447,1.718447
screen_presented:Q11,354677173987800,0.251,0.000251
option_selected:Q11_option1,354682257258800,5083.271,5.083271
submit_clicked:Q11,354683640049200,1382.790,1.382790
screen_presented:Q12,354683640290600,0.241,0.000241
option_selected:Q12_option2,354686983267200,3342.977,3.342977
submit_clicked:Q12,354688351300000,1368.033,1.368033
screen_presented:Q13,354688351544600,0.245,0.000245
option_selected:Q13_option3,354694565366300,6213.822,6.213822
submit_clicked:Q13,354695725191800,1159.825,1.159825
screen_presented:Q14,354695725440900,0.249,0.000249
option_selected:Q14_option2,354702456832200,6731.391,6.731391
submit_clicked:Q14,354703449481100,992.649,0.992649
screen_presented:Q15,354703449723800,0.243,0.000243
option_selected:Q15_option1,354707744708400,4294.985,4.294985
submit_clicked:Q15,354712758829700,5014.121,5.014121
screen_presented:Q16,354712759082600,0.253,0.000253
option_selected:Q16_option3,354716553894200,3794.812,3.794812
submit_clicked:Q16,354717546591600,992.697,0.992697
screen_presented:Q17,354717546844600,0.253,0.000253
option_selected:Q17_option2,354721333768000,3786.923,3.786923
submit_clicked:Q17,354722642994500,1309.226,1.309227
screen_presented:Q18,354722643217700,0.223,0.000223
option_selected:Q18_option3,354728132220800,5489.003,5.489003
submit_clicked:Q18,354729975483700,1843.263,1.843263
screen_presented:Q19,354729975741600,0.258,0.000258
option_selected:Q19_option2,354733645877900,3670.136,3.670136
submit_clicked:Q19,354734963766800,1317.889,1.317889
screen_presented:Q20,354734964028100,0.261,0.000261
option_selected:Q20_option3,354738990919100,4026.891,4.026891
submit_clicked:Q20,354739899430800,908.512,0.908512
screen_presented:Q21,354739899679100,0.248,0.000248
option_selected:Q21_option2,354745432437300,5532.758,5.532758
submit_clicked:Q21,354746158095300,725.658,0.725658
screen_presented:Q22,354746158346100,0.251,0.000251
option_selected:Q22_option3,354749040492500,2882.146,2.882146
option_selected:Q22_option2,354749688021600,647.529,0.647529
option_selected:Q22_option3,354751478826500,1790.805,1.790805
submit_clicked:Q22,354752511771700,1032.945,1.032945
screen_presented:Q23,354752511996700,0.225,0.000225
option_selected:Q23_option3,354759596035200,7084.038,7.084039
submit_clicked:Q23,354760422141400,826.106,0.826106
screen_presented:Q24,354760422390400,0.249,0.000249
option_selected:Q24_option3,354764367192800,3944.802,3.944802
submit_clicked:Q24,354765326896100,959.703,0.959703
screen_presented:Q25,354765327137900,0.242,0.000242
option_selected:Q25_option2,354769664524000,4337.386,4.337386
option_selected:Q25_option1,354770946810600,1282.287,1.282287
submit_clicked:Q25,354772775981300,1829.171,1.829171
screen_presented:Q26,354772776229700,0.248,0.000248
option_selected:Q26_option3,354775720430700,2944.201,2.944201
submit_clicked:Q26,354776762774400,1042.344,1.042344
screen_presented:Q27,354776763016900,0.242,0.000243
option_selected:Q27_option2,354782525901400,5762.885,5.762885
submit_clicked:Q27,354784078618100,1552.717,1.552717
screen_presented:Q28,354784078849900,0.232,0.000232
option_selected:Q28_option3,354788289764600,4210.915,4.210915
submit_clicked:Q28,354789258200000,968.435,0.968435
screen_presented:Q29,354789258444700,0.245,0.000245
option_selected:Q29_option3,354795381069700,6122.625,6.122625
submit_clicked:Q29,354796474129700,1093.060,1.093060
screen_presented:Q30,354796474389200,0.260,0.000260
option_selected:Q30_option1,354802196452700,5722.064,5.722063
submit_clicked:Q30,354803188466900,992.014,0.992014
screen_presented:Q31,354803188713500,0.247,0.000247
option_selected:Q31_option0,354807902024000,4713.310,4.713311
submit_clicked:Q31,354808836309800,934.286,0.934286
screen_presented:Q32,354808836524800,0.215,0.000215
option_selected:Q32_option2,354812881433700,4044.909,4.044909
submit_clicked:Q32,354813832421800,950.988,0.950988
screen_presented:Q33,354813832671300,0.249,0.000249
option_selected:Q33_option1,354818336482800,4503.811,4.503812
submit_clicked:Q33,354819249222400,912.740,0.912740
