Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,13938487261800,0,0.0
key_press:space_intro,13945430864800,6943.603,6.943603
screen_presented:Q1,13945450207500,19.343,0.019343
option_selected:Q1_option2,13951103243200,5653.036,5.653036
submit_clicked:Q1,13952059129800,955.887,0.955887
screen_presented:Q2,13952059363400,0.234,0.000234
option_selected:Q2_option2,13960308950900,8249.587,8.249588
submit_clicked:Q2,13961364676700,1055.726,1.055726
screen_presented:Q3,13961364888900,0.212,0.000212
option_selected:Q3_option4,13966430230700,5065.342,5.065342
submit_clicked:Q3,13967186193200,755.962,0.755962
screen_presented:Q4,13967186440800,0.248,0.000248
option_selected:Q4_option3,13973475734800,6289.294,6.289294
submit_clicked:Q4,13974418692500,942.958,0.942958
screen_presented:Q5,13974418965700,0.273,0.000273
option_selected:Q5_option1,13976605956600,2186.991,2.186991
submit_clicked:Q5,13977740341800,1134.385,1.134385
screen_presented:Q6,13977740585300,0.243,0.000244
option_selected:Q6_option0,13980648678800,2908.093,2.908094
submit_clicked:Q6,13982978889500,2330.211,2.330211
screen_presented:Q7,13982979138200,0.249,0.000249
option_selected:Q7_option0,13986005025100,3025.887,3.025887
submit_clicked:Q7,13986916953300,911.928,0.911928
screen_presented:Q8,13986917203700,0.250,0.000250
option_selected:Q8_option0,13991459346700,4542.143,4.542143
submit_clicked:Q8,13992237860400,778.514,0.778514
screen_presented:Q9,13992238112600,0.252,0.000252
option_selected:Q9_option1,13998382780400,6144.668,6.144668
submit_clicked:Q9,13999539093300,1156.313,1.156313
screen_presented:Q10,13999539345100,0.252,0.000252
option_selected:Q10_option1,14003900381700,4361.037,4.361037
submit_clicked:Q10,14004880485600,980.104,0.980104
screen_presented:Q11,14004880726700,0.241,0.000241
option_selected:Q11_option0,14010035803900,5155.077,5.155077
submit_clicked:Q11,14012759046600,2723.243,2.723243
screen_presented:Q12,14012759304400,0.258,0.000258
option_selected:Q12_option3,14015520948600,2761.644,2.761644
submit_clicked:Q12,14016304865700,783.917,0.783917
screen_presented:Q13,14016305120800,0.255,0.000255
option_selected:Q13_option0,14020260280400,3955.160,3.955160
submit_clicked:Q13,14022139529400,1879.249,1.879249
screen_presented:Q14,14022139768500,0.239,0.000239
option_selected:Q14_option2,14025412489800,3272.721,3.272721
submit_clicked:Q14,14026573463400,1160.974,1.160974
screen_presented:Q15,14026573720300,0.257,0.000257
option_selected:Q15_option3,14031556397300,4982.677,4.982677
submit_clicked:Q15,14032499585000,943.188,0.943188
screen_presented:Q16,14032499825500,0.240,0.000240
option_selected:Q16_option0,14035152199100,2652.374,2.652374
submit_clicked:Q16,14036799772800,1647.574,1.647574
