Subject Number,Block Scheme,Stimulus Number,Stimulus Type,Subject Response,Play Count,Trial Start Timestamp,Play Button Clicked Timestamp,Audio Start Timestamp,Audio End Timestamp,Subject Response Timestamp
04182026002,full_sentence,2216495,target,distractor,1,20660609258700,20663260628700,20663260629400,20665150629400,20666274508600
04182026002,full_sentence,2184351,distractor,target,1,20668280047800,20670462730400,20670462731500,20672352731500,20672864664800
04182026002,full_sentence,552066,distractor,distractor,1,20674869924800,20676595599500,20676595600500,20678485600500,20679120616100
04182026002,full_sentence,270720,target,distractor,1,20681142083700,20682023499600,20682023500400,20683913500400,20685115470500
04182026002,full_sentence,972144,distractor,target,1,20687120247600,20687523565800,20687523566500,20689413566500,20689803148600
04182026002,full_sentence,490292,distractor,distractor,1,20691807982000,20693011641000,20693011641800,20694901641800,20695325183600
04182026002,full_sentence,2474088,target,distractor,1,20697329889600,20698211313100,20698211313800,20700101313800,20701125286600
04182026002,full_sentence,137369,target,target,1,20703130900600,20703856027100,20703856027800,20705746027800,20706235841900
04182026002,full_sentence,351826,distractor,target,1,20708240566200,20708845634600,20708845635300,20710735635300,20711963866400
04182026002,full_sentence,1789042,distractor,distractor,1,20713968623100,20714561608900,20714561609500,20716451609500,20716974359800
04182026002,full_sentence,1950306,target,distractor,1,20718979918700,20719637794200,20719637795000,20721527795000,20721929470900
04182026002,full_sentence,2209737,target,target,1,20723935002100,20725521460400,20725521461000,20727411461000,20727979661700
04182026002,full_sentence,2675662,target,target,1,20729984832700,20731710798600,20731710799200,20733600799200,20736549198200
04182026002,full_sentence,1755600,distractor,distractor,1,20738554208600,20739602474000,20739602474700,20741492474700,20742171078000
04182026002,full_sentence,390337,distractor,target,1,20744175845300,20745047519100,20745047519800,20746937519800,20747415851200
04182026002,full_sentence,2097875,distractor,distractor,1,20762762665100,20764243784700,20764243785600,20766133785600,20766763003600
04182026002,full_sentence,2354618,target,distractor,1,20768767875700,20769392998700,20769392999400,20771282999400,20771738890700
04182026002,full_sentence,2514716,distractor,target,1,20773744082400,20775070061200,20775070062000,20776960062000,20777416561300
04182026002,full_sentence,1708892,distractor,distractor,1,20779423266600,20780258404100,20780258404800,20782148404800,20783585660500
04182026002,full_sentence,996037,target,distractor,1,20785590481700,20786114236900,20786114237500,20788004237500,20788438861100
04182026002,full_sentence,1286055,distractor,distractor,1,20790444063700,20791525477200,20791525478200,20793415478200,20794305920600
04182026002,full_sentence,920816,distractor,target,1,20796311200600,20797002880500,20797002881000,20798892881000,20799249325600
04182026002,full_sentence,499550,distractor,target,1,20801254183000,20801490668700,20801490669400,20803380669400,20803770831100
04182026002,full_sentence,930786,distractor,target,1,20805775671200,20806601681200,20806601681800,20808491681800,20809186867400
04182026002,full_sentence,690453,distractor,distractor,1,20811191625100,20811806299100,20811806299800,20813696299800,20814208513600
04182026002,full_sentence,1673452,distractor,distractor,1,20816214209900,20818473829400,20818473830100,20820363830100,20820848235200
04182026002,full_sentence,422402,target,target,1,20822852970900,20824107321400,20824107322200,20825997322200,20826587367100
04182026002,full_sentence,854858,target,distractor,1,20828592196900,20830174061400,20830174062100,20832064062100,20832531718900
04182026002,full_sentence,1154913,target,distractor,1,20834536414200,20835195665500,20835195666100,20837085666100,20838343148900
04182026002,full_sentence,514473,target,target,1,20840348859400,20841452139100,20841452139800,20843342139800,20843731765200
04182026002,full_sentence,1038202,target,target,1,20859516027100,20860448089400,20860448090200,20862338090200,20862851085600
04182026002,full_sentence,2098961,distractor,distractor,1,20864857091800,20865169574100,20865169574800,20867059574800,20867560698000
04182026002,full_sentence,724605,target,target,1,20869565388400,20870036080700,20870036081300,20871926081300,20872693379300
04182026002,full_sentence,1361028,target,distractor,1,20874699210500,20874867889300,20874867889900,20876757889900,20877236848200
04182026002,full_sentence,2578028,distractor,distractor,1,20879241604700,20879667030000,20879667030800,20881557030800,20882447735200
04182026002,full_sentence,1989589,target,target,1,20884452537300,20885455986300,20885455987100,20887345987100,20887713772900
04182026002,full_sentence,1204336,target,target,1,20889718471900,20890310960400,20890310961100,20892200961100,20893069562400
