Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,22103573352600,0,0.0
key_press:space_intro,22108437729400,4864.377,4.864377
screen_presented:Q1,22108455874000,18.145,0.018145
option_selected:Q1_option5,22116037922100,7582.048,7.582048
submit_clicked:Q1,22117489317500,1451.395,1.451395
screen_presented:Q2,22117489574100,0.257,0.000257
option_selected:Q2_option4,22124579194700,7089.621,7.089621
submit_clicked:Q2,22126390410200,1811.216,1.811216
screen_presented:Q3,22126390669100,0.259,0.000259
option_selected:Q3_option6,22134999279700,8608.611,8.608611
submit_clicked:Q3,22135988497100,989.217,0.989217
screen_presented:Q4,22135988747000,0.250,0.000250
option_selected:Q4_option1,22140604451100,4615.704,4.615704
submit_clicked:Q4,22141555499000,951.048,0.951048
screen_presented:Q5,22141555757800,0.259,0.000259
option_selected:Q5_option5,22151031773400,9476.016,9.476016
submit_clicked:Q5,22152203203900,1171.430,1.171431
screen_presented:Q6,22152203454200,0.250,0.000250
option_selected:Q6_option4,22167534894500,15331.440,15.331440
submit_clicked:Q6,22168499088300,964.194,0.964194
screen_presented:Q7,22168499323600,0.235,0.000235
option_selected:Q7_option3,22179359138400,10859.815,10.859815
submit_clicked:Q7,22180059535600,700.397,0.700397
screen_presented:Q8,22180059787500,0.252,0.000252
option_selected:Q8_option0,22183597230700,3537.443,3.537443
option_selected:Q8_option0,22183708736300,111.506,0.111506
submit_clicked:Q8,22184871434600,1162.698,1.162698
screen_presented:Q9,22184871671700,0.237,0.000237
option_selected:Q9_option5,22190257202900,5385.531,5.385531
submit_clicked:Q9,22191339839000,1082.636,1.082636
screen_presented:Q10,22191340083000,0.244,0.000244
option_selected:Q10_option5,22205672196500,14332.113,14.332114
submit_clicked:Q10,22206523214000,851.018,0.851017
screen_presented:Q11,22206523463700,0.250,0.000250
option_selected:Q11_option0,22209579067500,3055.604,3.055604
submit_clicked:Q11,22211094183000,1515.116,1.515116
screen_presented:Q12,22211094426800,0.244,0.000244
option_selected:Q12_option0,22213634157400,2539.731,2.539731
submit_clicked:Q12,22214347560900,713.404,0.713403
screen_presented:Q13,22214347818200,0.257,0.000257
option_selected:Q13_option4,22220811687500,6463.869,6.463869
submit_clicked:Q13,22221762206800,950.519,0.950519
screen_presented:Q14,22221762452000,0.245,0.000245
option_selected:Q14_option5,22228644743600,6882.292,6.882292
submit_clicked:Q14,22233369203700,4724.460,4.724460
