group,metric,label,n,null,mean,ci_lo,ci_hi,wilcoxon_W,wilcoxon_p,t,t_p,cohens_d
UChicago,d_prime,d'  (SDT sensitivity),10,0.0,0.020881686259612665,-0.1064819675230599,0.15334810710823593,25.0,0.845703125,0.29771743946324936,0.7726767885444743,0.09414652078571654
UChicago,accuracy,accuracy,10,0.5,0.5040268456375838,0.47919463087248315,0.5302013422818792,25.5,0.869140625,0.29242210729714224,0.7765931935913009,0.09247198972451139
UChicago,cos_ci_true,"cos(CI_subject, CI_true)",10,0.0,-0.0020361756934992687,-0.05853752736906416,0.055548890038943644,27.0,1.0,-0.06613024341194003,0.948719840773446,-0.02091221914030751
UChicago,cos_w_true,"cos(w_subject, w_true), 32-band",10,0.0,0.01360863401237728,-0.1313752759984122,0.16649429947694938,27.0,1.0,0.16938071923413145,0.8692431414447075,0.05356288644973465
UChicago,beta_truetarget,beta_truetarget (per-subject logit),10,0.0,0.04210830071849516,-0.1591830417964731,0.247438503641928,25.0,0.845703125,0.3836275760449453,0.7101597635083706,0.12131369135514766
Oberlin,d_prime,d'  (SDT sensitivity),16,0.0,0.1372878077332474,0.06928193845202503,0.20034537969875357,10.0,0.001312255859375,3.9633019924175135,0.0012492134835145072,0.9908254981043784
Oberlin,accuracy,accuracy,16,0.5,0.526006711409396,0.513003355704698,0.537751677852349,12.0,0.0036790969792832363,3.943369347689589,0.0013009724860204702,0.9858423369223971
Oberlin,cos_ci_true,"cos(CI_subject, CI_true)",16,0.0,0.056378374927357255,0.02944950638257627,0.08291975414335198,10.0,0.001312255859375,3.9988008095219527,0.0011621480433178658,0.9997002023804882
Oberlin,cos_w_true,"cos(w_subject, w_true), 32-band",16,0.0,0.10905919051910175,-0.004484059022254323,0.22423277938098737,36.0,0.104583740234375,1.8060732273868394,0.09100997134190968,0.45151830684670985
Oberlin,beta_truetarget,beta_truetarget (per-subject logit),16,0.0,0.23229178509918624,0.11810108005368784,0.33963470383518474,13.0,0.002685546875,3.9665603131114704,0.0012409533819793877,0.9916400782778676
Unified,d_prime,d'  (SDT sensitivity),26,0.0,0.09251622255108019,0.02336731252161454,0.158994838386752,79.0,0.012952595949172974,2.6141448627923536,0.014935011253238132,0.5126759871821748
Unified,accuracy,accuracy,26,0.5,0.517552916881776,0.5041300980898297,0.5304594734124936,83.0,0.018540908979811588,2.5633562379500487,0.016766113178820805,0.5027155183691188
Unified,cos_ci_true,"cos(CI_subject, CI_true)",26,0.0,0.033911240073181664,0.0037041280688831614,0.06277339601085995,88.0,0.025350749492645264,2.2029201549476696,0.037038737383291616,0.43202818680634647
Unified,cos_w_true,"cos(w_subject, w_true), 32-band",26,0.0,0.07234743801651541,-0.01923449176445451,0.16576240220467595,126.0,0.21726065874099731,1.4999753831843172,0.14614480811775077,0.29416937495252493
Unified,beta_truetarget,beta_truetarget (per-subject logit),26,0.0,0.1591442911066127,0.04742307594627651,0.26705725033503663,82.0,0.016333162784576416,2.780082943395067,0.010173640317791626,0.5452191222222273
