block,group,quest,n,rho,p
full_sentence,UChicago,BAIS_V,10,0.36474332620803873,0.3000669694646655
full_sentence,Oberlin,BAIS_V,16,0.26667398292568195,0.3180843928319185
full_sentence,Unified,BAIS_V,26,0.2778853623395072,0.16928463485046538
full_sentence,UChicago,BAIS_C,10,0.4801245692267382,0.16018738745058644
full_sentence,Oberlin,BAIS_C,16,0.35508573801883775,0.17714239563383516
full_sentence,Unified,BAIS_C,26,0.31127800082642076,0.1216471598885854
full_sentence,UChicago,VHQ,10,0.16410635060515816,0.6505298670520521
full_sentence,Oberlin,VHQ,16,-0.10927167294163062,0.6870650851567972
full_sentence,Unified,VHQ,26,0.1305925069433153,0.5248568460658067
full_sentence,UChicago,TAS,10,0.13981827504641486,0.7000568732769904
full_sentence,Oberlin,TAS,16,0.06909429717655942,0.7992937776114125
full_sentence,Unified,TAS,26,0.06022052280672141,0.7701115539800257
full_sentence,UChicago,LSHS,10,0.5198801068060223,0.12349282943390759
full_sentence,Oberlin,LSHS,16,-0.017791352218062852,0.9478577892975846
full_sentence,Unified,LSHS,26,0.16239550018426732,0.4280018307289859
full_sentence,UChicago,DES,10,0.28658536585365857,0.4220953256772337
full_sentence,Oberlin,DES,16,0.0051891443969349985,0.9847830454647143
full_sentence,Unified,DES,26,0.22336992653050447,0.27269209723636106
full_sentence,UChicago,FSS,10,0.037039859874359614,0.9190863769765081
full_sentence,Oberlin,FSS,16,0.372301747934302,0.15558853797034516
full_sentence,Unified,FSS,26,0.2773748503016954,0.17010185990088497
full_sentence,UChicago,SSS_mean,10,0.159427381927952,0.6599823836930611
full_sentence,Oberlin,SSS_mean,16,-0.2509313781077195,0.3485398196317592
full_sentence,Unified,SSS_mean,26,-0.036664445121708474,0.8588662404174818
imagined_sentence,UChicago,BAIS_V,10,-0.2195162759948775,0.5422860061663481
imagined_sentence,Oberlin,BAIS_V,16,0.19216812992326004,0.4758408289734456
imagined_sentence,Unified,BAIS_V,26,0.0552792640257495,0.7885359231659331
imagined_sentence,UChicago,BAIS_C,10,-0.03680981595092025,0.9195875425168086
imagined_sentence,Oberlin,BAIS_C,16,0.1856527157691748,0.4912046454531908
imagined_sentence,Unified,BAIS_C,26,0.17874398556710003,0.38230295146340504
imagined_sentence,UChicago,VHQ,10,-0.16771480431117933,0.6432704544867722
imagined_sentence,Oberlin,VHQ,16,0.17565598596912008,0.5152282409964634
imagined_sentence,Unified,VHQ,26,0.029204288653582215,0.8873806756129905
imagined_sentence,UChicago,TAS,10,0.3536651113250804,0.3160781991074149
imagined_sentence,Oberlin,TAS,16,-0.005189041741771055,0.9847833464643783
imagined_sentence,Unified,TAS,26,0.15073940623245644,0.4623167589191
imagined_sentence,UChicago,LSHS,10,-0.055214723926380375,0.8795853429248777
imagined_sentence,Oberlin,LSHS,16,-0.13609601474712413,0.6152638906918916
imagined_sentence,Unified,LSHS,26,-0.09262783039818374,0.6526729191856885
imagined_sentence,UChicago,DES,10,0.327218655460261,0.3560522229611138
imagined_sentence,Oberlin,DES,16,-0.26479550695364373,0.32163444636291866
imagined_sentence,Unified,DES,26,0.02368706027333029,0.9085589147593143
imagined_sentence,UChicago,FSS,10,0.3467641832326489,0.3262728219383974
imagined_sentence,Oberlin,FSS,16,-0.04903417533432393,0.8568905302695756
imagined_sentence,Unified,FSS,26,0.09040731192405606,0.6605035316159176
imagined_sentence,UChicago,SSS_mean,10,-0.24150530541295348,0.5014564173085733
imagined_sentence,Oberlin,SSS_mean,16,-0.06092124814264488,0.8226600911098713
imagined_sentence,Unified,SSS_mean,26,-0.11214696493967456,0.5854499261946522
