n_sub,power,mean_diff
5,0.0,0.01573959731543623
6,0.022,0.015474832214765089
7,0.0575,0.014889741131351858
8,0.0785,0.015502097315436229
9,0.076,0.015395227442207298
10,0.083,0.015875503355704687
11,0.0835,0.015689749847467953
12,0.0725,0.014980704697986565
13,0.0745,0.015132421270005152
14,0.0785,0.014796021093000947
15,0.0785,0.014924384787472026
16,0.09,0.01535843120805368
17,0.085,0.015155941571259365
18,0.0815,0.0150997390007457
19,0.0725,0.014981455316142695
20,0.07,0.015211409395973142
21,0.067,0.015328219878555437
22,0.057,0.015199359365466738
23,0.044,0.015377006127808566
24,0.0185,0.01513758389261744
25,0.0,0.01528496644295301
26,0.0,0.015229736706246758
