n_sub,power,mean_of_means,sd_of_means
5,0.0,0.526106711409396,0.010058880638868723
6,0.1965,0.525851230425056,0.008391410493589524
7,0.3955,0.5259616490891658,0.007500674757454642
8,0.57,0.5260457214765101,0.0065408127035407986
9,0.729,0.5260365398956003,0.005848947772608997
10,0.8245,0.5260221476510067,0.005068513429340482
11,0.907,0.525997254423429,0.004399040804126163
12,1.0,0.5261208053691275,0.0038242423620601746
13,1.0,0.5261610738255033,0.0031974478589425737
14,1.0,0.5258918983700864,0.0024179381449063544
15,1.0,0.5259771812080537,0.001703209692947325
16,1.0,0.526006711409396,5.975071610448003e-17
