n_total,n_a,n_b,power,mean_diff,sd_diff
10,6,4,0.0735,0.02266694630872482,0.018435386088218913
11,7,4,0.092,0.02122111697027804,0.01851990621272787
12,7,5,0.088,0.021892713326941513,0.015380368669614576
13,8,5,0.1125,0.022554530201342283,0.015493362319789492
14,9,5,0.096,0.0214730797912006,0.014666142598685004
15,9,6,0.0905,0.022252982848620446,0.012455216039744449
16,10,6,0.1045,0.02209753914988816,0.012475607167909823
17,10,7,0.0935,0.022041035474592553,0.010333459932852042
18,11,7,0.095,0.0219113570992766,0.010106823725527982
19,12,7,0.0925,0.02172639022051778,0.009599165381452768
20,12,8,0.0705,0.021682186800894867,0.007760819570069361
21,13,8,0.0885,0.022175109705730525,0.007588119408850261
22,14,8,0.0875,0.022228607382550364,0.007204045638046058
23,14,9,0.0685,0.021977948226270392,0.00532086586597963
24,15,9,0.0755,0.022013571961222972,0.004991888602577577
25,15,10,0.0,0.02191722595078304,0.001698514417504387
26,16,10,0.0,0.02197986577181213,7.515390813485243e-17
