Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,205209322851400,0,0.0
key_press:space_intro,205220737213100,11414.362,11.414362
screen_presented:Q1,205220754994400,17.781,0.017781
option_selected:Q1_option0,205229315290300,8560.296,8.560296
submit_clicked:Q1,205230998492900,1683.203,1.683203
screen_presented:Q2,205230998597200,0.104,0.000104
option_selected:Q2_option0,205234623554900,3624.958,3.624958
option_selected:Q2_option1,205235571567800,948.013,0.948013
option_selected:Q2_option0,205238901232900,3329.665,3.329665
option_selected:Q2_option1,205241138789700,2237.557,2.237557
submit_clicked:Q2,205242592621100,1453.831,1.453831
screen_presented:Q3,205242592715400,0.094,0.000094
option_selected:Q3_option0,205247171320800,4578.605,4.578605
submit_clicked:Q3,205248093880400,922.560,0.922560
screen_presented:Q4,205248093982400,0.102,0.000102
option_selected:Q4_option0,205252106995700,4013.013,4.013013
submit_clicked:Q4,205253310398500,1203.403,1.203403
screen_presented:Q5,205253310499500,0.101,0.000101
option_selected:Q5_option0,205258849128200,5538.629,5.538629
submit_clicked:Q5,205259913270500,1064.142,1.064142
screen_presented:Q6,205259913376000,0.105,0.000106
option_selected:Q6_option0,205264890933800,4977.558,4.977558
submit_clicked:Q6,205265819723600,928.790,0.928790
screen_presented:Q7,205265819863900,0.140,0.000140
option_selected:Q7_option0,205269054500300,3234.636,3.234636
submit_clicked:Q7,205270664612400,1610.112,1.610112
screen_presented:Q8,205270664710700,0.098,0.000098
option_selected:Q8_option0,205272923531800,2258.821,2.258821
submit_clicked:Q8,205274492179400,1568.648,1.568648
screen_presented:Q9,205274492276100,0.097,0.000097
option_selected:Q9_option0,205276789688200,2297.412,2.297412
submit_clicked:Q9,205279070998700,2281.311,2.281311
screen_presented:Q10,205279071099500,0.101,0.000101
option_selected:Q10_option0,205282077256300,3006.157,3.006157
option_selected:Q10_option1,205285011508700,2934.252,2.934252
submit_clicked:Q10,205286237094100,1225.585,1.225585
screen_presented:Q11,205286237191300,0.097,0.000097
option_selected:Q11_option1,205292268672500,6031.481,6.031481
submit_clicked:Q11,205293215691000,947.019,0.947018
screen_presented:Q12,205293215800000,0.109,0.000109
option_selected:Q12_option0,205304670528200,11454.728,11.454728
submit_clicked:Q12,205305632394700,961.866,0.961866
screen_presented:Q13,205305632499500,0.105,0.000105
option_selected:Q13_option0,205308285014800,2652.515,2.652515
submit_clicked:Q13,205309191361300,906.346,0.906347
screen_presented:Q14,205309191469800,0.108,0.000108
option_selected:Q14_option0,205313812234200,4620.764,4.620764
submit_clicked:Q14,205314943888700,1131.655,1.131655
screen_presented:Q15,205314943991600,0.103,0.000103
option_selected:Q15_option0,205320561042300,5617.051,5.617051
option_selected:Q15_option1,205321898636300,1337.594,1.337594
submit_clicked:Q15,205324597355500,2698.719,2.698719
screen_presented:Q16,205324597461600,0.106,0.000106
option_selected:Q16_option0,205331766472300,7169.011,7.169011
submit_clicked:Q16,205333149362700,1382.890,1.382890
screen_presented:Q17,205333149501400,0.139,0.000139
option_selected:Q17_option0,205337524785200,4375.284,4.375284
option_selected:Q17_option1,205341918464900,4393.680,4.393680
submit_clicked:Q17,205342695618900,777.154,0.777154
screen_presented:Q18,205342695725100,0.106,0.000106
option_selected:Q18_option0,205345490499900,2794.775,2.794775
submit_clicked:Q18,205346544594500,1054.095,1.054095
screen_presented:Q19,205346544702100,0.108,0.000108
option_selected:Q19_option0,205348970407200,2425.705,2.425705
option_selected:Q19_option2,205353099049800,4128.643,4.128643
submit_clicked:Q19,205354483948000,1384.898,1.384898
screen_presented:Q20,205354484054700,0.107,0.000107
option_selected:Q20_option1,205358574746400,4090.692,4.090692
submit_clicked:Q20,205359305385600,730.639,0.730639
screen_presented:Q21,205359305484500,0.099,0.000099
option_selected:Q21_option1,205362679395200,3373.911,3.373911
submit_clicked:Q21,205365920284100,3240.889,3.240889
screen_presented:Q22,205365920384500,0.100,0.000100
option_selected:Q22_option0,205372793080500,6872.696,6.872696
submit_clicked:Q22,205373778636300,985.556,0.985556
screen_presented:Q23,205373778758800,0.122,0.000122
option_selected:Q23_option0,205379324128100,5545.369,5.545369
option_selected:Q23_option3,205383658472700,4334.345,4.334345
option_selected:Q23_option1,205385606621500,1948.149,1.948149
option_selected:Q23_option0,205387289883700,1683.262,1.683262
submit_clicked:Q23,205388238689900,948.806,0.948806
screen_presented:Q24,205388238802000,0.112,0.000112
option_selected:Q24_option1,205395278817300,7040.015,7.040015
submit_clicked:Q24,205396262902300,984.085,0.984085
screen_presented:Q25,205396263002000,0.100,0.000100
option_selected:Q25_option0,205398941214700,2678.213,2.678213
submit_clicked:Q25,205401798106600,2856.892,2.856892
screen_presented:Q26,205401798205000,0.098,0.000098
option_selected:Q26_option0,205406168679800,4370.475,4.370475
submit_clicked:Q26,205407202903800,1034.224,1.034224
screen_presented:Q27,205407203007300,0.103,0.000103
option_selected:Q27_option0,205409726703100,2523.696,2.523696
submit_clicked:Q27,205410670727100,944.024,0.944024
screen_presented:Q28,205410670827400,0.100,0.000100
option_selected:Q28_option0,205412724061500,2053.234,2.053234
submit_clicked:Q28,205414137918100,1413.857,1.413857
