Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,469787830945500,0,0.0
button_click:actual_audio,469789548721800,1717.776,1.717776
button_click:target_0,469792408826600,2860.105,2.860105
button_click:target_1,469794275560500,1866.734,1.866734
button_click:target_2,469795800646400,1525.086,1.525086
button_click:actual_audio,469797231474100,1430.828,1.430828
button_click:distractor_0,469798787423900,1555.950,1.555950
button_click:distractor_1,469800013981500,1226.558,1.226558
button_click:distractor_2,469801105768400,1091.787,1.091787
button_click:target_0,469802242138100,1136.370,1.136370
button_click:target_1,469803256535600,1014.398,1.014398
button_click:target_2,469804155567500,899.032,0.899032
button_click:target_0,469805049180300,893.613,0.893613
button_click:target_1,469805968842400,919.662,0.919662
button_click:target_1,469806859652000,890.810,0.890810
button_click:target_0,469807707706300,848.054,0.848054
button_click:target_0,469808556256200,848.550,0.848550
button_click:target_1,469809522737700,966.481,0.966481
button_click:target_0,469810438567300,915.830,0.915830
button_click:target_0,469811352861500,914.294,0.914294
button_click:target_0,469812205896000,853.034,0.853035
button_click:target_0,469813014399200,808.503,0.808503
button_click:target_0,469813916208700,901.809,0.901810
button_click:target_0,469814792411300,876.203,0.876203
button_click:target_0,469817330818200,2538.407,2.538407
button_click:target_1,469818151787300,820.969,0.820969
button_click:target_0,469818950875700,799.088,0.799088
button_click:distractor_0,469821441588000,2490.712,2.490712
button_click:distractor_0,469822381584300,939.996,0.939996
button_click:distractor_0,469823202381200,820.797,0.820797
button_click:distractor_0,469823976737800,774.357,0.774357
button_click:distractor_0,469824795338200,818.600,0.818600
button_click:target_0,469825852680600,1057.342,1.057342
button_click:target_0,469826888200700,1035.520,1.035520
button_click:target_0,469827965586600,1077.386,1.077386
button_click:distractor_0,469834339287600,6373.701,6.373701
button_click:distractor_0,469835301420000,962.132,0.962132
button_click:distractor_0,469836329999500,1028.580,1.028579
button_click:distractor_0,469837310629900,980.630,0.980630
button_click:target_0,469838505234400,1194.604,1.194605
button_click:target_0,469839489020200,983.786,0.983786
button_click:target_0,469840497767200,1008.747,1.008747
button_click:target_1,469841506663800,1008.897,1.008897
button_click:target_1,469842627621600,1120.958,1.120958
button_click:target_1,469843517337500,889.716,0.889716
button_click:target_1,469844451307600,933.970,0.933970
button_click:target_1,469845527055100,1075.747,1.075748
button_click:target_1,469846624846000,1097.791,1.097791
button_click:target_0,469847811137200,1186.291,1.186291
button_click:target_2,469849825297300,2014.160,2.014160
button_click:target_2,469850876647100,1051.350,1.051350
button_click:target_2,469851929724400,1053.077,1.053077
button_click:target_2,469852886587600,956.863,0.956863
button_click:target_2,469853936991200,1050.404,1.050404
button_click:target_1,469856136457700,2199.466,2.199467
button_click:distractor_1,469857793035500,1656.578,1.656578
button_click:distractor_1,469858753277400,960.242,0.960242
button_click:continue,469861506449300,2753.172,2.753172
