Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,471021806307200,0,0.0
key_press:space_intro,471024303896800,2497.590,2.497590
screen_presented:Q1,471024312373900,8.477,0.008477
option_selected:Q1_option4,471030521746800,6209.373,6.209373
submit_clicked:Q1,471031212977600,691.231,0.691231
screen_presented:Q2,471031213097100,0.119,0.000120
option_selected:Q2_option3,471034792933500,3579.836,3.579836
submit_clicked:Q2,471035445734800,652.801,0.652801
screen_presented:Q3,471035445863100,0.128,0.000128
option_selected:Q3_option3,471044303812400,8857.949,8.857949
submit_clicked:Q3,471045037734200,733.922,0.733922
screen_presented:Q4,471045037883600,0.149,0.000149
option_selected:Q4_option2,471050305818700,5267.935,5.267935
submit_clicked:Q4,471050821417700,515.599,0.515599
screen_presented:Q5,471050821554900,0.137,0.000137
option_selected:Q5_option3,471056568947900,5747.393,5.747393
option_selected:Q5_option4,471058063849600,1494.902,1.494902
submit_clicked:Q5,471058883767600,819.918,0.819918
screen_presented:Q6,471058883887700,0.120,0.000120
option_selected:Q6_option2,471061945331400,3061.444,3.061444
submit_clicked:Q6,471062805991300,860.660,0.860660
screen_presented:Q7,471062806110500,0.119,0.000119
option_selected:Q7_option2,471065209399200,2403.289,2.403289
submit_clicked:Q7,471065974256700,764.857,0.764857
screen_presented:Q8,471065974394900,0.138,0.000138
option_selected:Q8_option2,471069088604600,3114.210,3.114210
submit_clicked:Q8,471069876566500,787.962,0.787962
screen_presented:Q9,471069876685800,0.119,0.000119
option_selected:Q9_option0,471074704815600,4828.130,4.828130
submit_clicked:Q9,471076023418800,1318.603,1.318603
screen_presented:Q10,471076023570400,0.152,0.000152
option_selected:Q10_option2,471079912955600,3889.385,3.889385
submit_clicked:Q10,471080623260300,710.305,0.710305
screen_presented:Q11,471080623403700,0.143,0.000143
option_selected:Q11_option2,471087256434500,6633.031,6.633031
submit_clicked:Q11,471088751447300,1495.013,1.495013
screen_presented:Q12,471088751583600,0.136,0.000136
option_selected:Q12_option3,471095664905700,6913.322,6.913322
submit_clicked:Q12,471096472973500,808.068,0.808068
screen_presented:Q13,471096473110200,0.137,0.000137
option_selected:Q13_option2,471100390780700,3917.671,3.917670
submit_clicked:Q13,471101070643200,679.862,0.679863
screen_presented:Q14,471101070808500,0.165,0.000165
option_selected:Q14_option4,471105531994600,4461.186,4.461186
submit_clicked:Q14,471106172455200,640.461,0.640461
screen_presented:Q15,471106172629900,0.175,0.000175
option_selected:Q15_option4,471112852212400,6679.583,6.679583
submit_clicked:Q15,471113573875600,721.663,0.721663
screen_presented:Q16,471113574020600,0.145,0.000145
option_selected:Q16_option4,471119360255600,5786.235,5.786235
submit_clicked:Q16,471120006901900,646.646,0.646646
