Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,475994813211500,0,0.0
key_press:space_intro,475999328350500,4515.139,4.515139
screen_presented:Q1,475999344037200,15.687,0.015687
option_selected:Q1_option2,476011109685800,11765.649,11.765649
submit_clicked:Q1,476012116826900,1007.141,1.007141
screen_presented:Q2,476012116981600,0.155,0.000155
option_selected:Q2_option3,476014331470200,2214.489,2.214489
submit_clicked:Q2,476015590427300,1258.957,1.258957
screen_presented:Q3,476015590595700,0.168,0.000168
option_selected:Q3_option2,476021990723300,6400.128,6.400128
submit_clicked:Q3,476023748108400,1757.385,1.757385
screen_presented:Q4,476023748224700,0.116,0.000116
option_selected:Q4_option2,476028453323500,4705.099,4.705099
submit_clicked:Q4,476029660515300,1207.192,1.207192
screen_presented:Q5,476029660654800,0.140,0.000140
option_selected:Q5_option1,476038750208800,9089.554,9.089554
submit_clicked:Q5,476040507323700,1757.115,1.757115
screen_presented:Q6,476040507439700,0.116,0.000116
option_selected:Q6_option3,476042494551000,1987.111,1.987111
submit_clicked:Q6,476043341587900,847.037,0.847037
screen_presented:Q7,476043341703600,0.116,0.000116
option_selected:Q7_option2,476047381790400,4040.087,4.040087
option_selected:Q7_option1,476048924439600,1542.649,1.542649
submit_clicked:Q7,476051406193200,2481.754,2.481754
screen_presented:Q8,476051406325600,0.132,0.000132
option_selected:Q8_option1,476057125122500,5718.797,5.718797
submit_clicked:Q8,476057917300700,792.178,0.792178
screen_presented:Q9,476057917422500,0.122,0.000122
option_selected:Q9_option0,476063213433100,5296.011,5.296011
submit_clicked:Q9,476064299781000,1086.348,1.086348
screen_presented:Q10,476064299923100,0.142,0.000142
option_selected:Q10_option2,476067812010100,3512.087,3.512087
submit_clicked:Q10,476068965397400,1153.387,1.153387
screen_presented:Q11,476068965536900,0.140,0.000140
option_selected:Q11_option1,476072598958800,3633.422,3.633422
submit_clicked:Q11,476073588994700,990.036,0.990036
screen_presented:Q12,476073589110600,0.116,0.000116
option_selected:Q12_option2,476079613620100,6024.510,6.024509
submit_clicked:Q12,476080502507900,888.888,0.888888
screen_presented:Q13,476080502727200,0.219,0.000219
option_selected:Q13_option1,476084605646200,4102.919,4.102919
submit_clicked:Q13,476085725133800,1119.488,1.119488
screen_presented:Q14,476085725252700,0.119,0.000119
option_selected:Q14_option0,476091999230500,6273.978,6.273978
submit_clicked:Q14,476093796568600,1797.338,1.797338
screen_presented:Q15,476093796711300,0.143,0.000143
option_selected:Q15_option3,476096294332600,2497.621,2.497621
submit_clicked:Q15,476097324968000,1030.635,1.030635
screen_presented:Q16,476097325120100,0.152,0.000152
option_selected:Q16_option3,476100836938800,3511.819,3.511819
submit_clicked:Q16,476101588109100,751.170,0.751170
screen_presented:Q17,476101588220000,0.111,0.000111
option_selected:Q17_option3,476103852852400,2264.632,2.264632
submit_clicked:Q17,476105012279600,1159.427,1.159427
screen_presented:Q18,476105012527300,0.248,0.000248
option_selected:Q18_option0,476115470758300,10458.231,10.458231
option_selected:Q18_option1,476116587829900,1117.072,1.117072
submit_clicked:Q18,476123484421400,6896.592,6.896592
screen_presented:Q19,476123484542100,0.121,0.000121
option_selected:Q19_option1,476126765674800,3281.133,3.281133
submit_clicked:Q19,476127818890200,1053.215,1.053215
screen_presented:Q20,476127819012600,0.122,0.000122
option_selected:Q20_option1,476132539838800,4720.826,4.720826
submit_clicked:Q20,476133366762300,826.923,0.826924
screen_presented:Q21,476133366883700,0.121,0.000121
option_selected:Q21_option1,476142222043800,8855.160,8.855160
option_selected:Q21_option2,476143172560600,950.517,0.950517
option_selected:Q21_option1,476144395385700,1222.825,1.222825
option_selected:Q21_option2,476145974922300,1579.537,1.579537
option_selected:Q21_option1,476146474862900,499.941,0.499941
submit_clicked:Q21,476147787951700,1313.089,1.313089
screen_presented:Q22,476147788073200,0.121,0.000121
option_selected:Q22_option1,476152701420500,4913.347,4.913347
option_selected:Q22_option0,476153885898900,1184.478,1.184478
option_selected:Q22_option1,476155374582000,1488.683,1.488683
submit_clicked:Q22,476156342760100,968.178,0.968178
screen_presented:Q23,476156342890600,0.131,0.000131
option_selected:Q23_option3,476159190719000,2847.828,2.847828
submit_clicked:Q23,476160093183500,902.465,0.902465
screen_presented:Q24,476160093321000,0.138,0.000138
option_selected:Q24_option3,476162238434200,2145.113,2.145113
submit_clicked:Q24,476163020778600,782.344,0.782344
screen_presented:Q25,476163020913200,0.135,0.000135
option_selected:Q25_option3,476165422263500,2401.350,2.401350
submit_clicked:Q25,476166956532500,1534.269,1.534269
screen_presented:Q26,476166956647900,0.115,0.000115
option_selected:Q26_option2,476170923361500,3966.714,3.966714
submit_clicked:Q26,476171915638900,992.277,0.992277
screen_presented:Q27,476171915772200,0.133,0.000133
option_selected:Q27_option3,476175925610300,4009.838,4.009838
option_selected:Q27_option2,476177596573600,1670.963,1.670963
submit_clicked:Q27,476178398932300,802.359,0.802359
screen_presented:Q28,476178399069300,0.137,0.000137
option_selected:Q28_option1,476180940836900,2541.768,2.541768
submit_clicked:Q28,476182053902400,1113.065,1.113066
screen_presented:Q29,476182054058000,0.156,0.000156
option_selected:Q29_option2,476185428764800,3374.707,3.374707
submit_clicked:Q29,476186796795800,1368.031,1.368031
screen_presented:Q30,476186796916800,0.121,0.000121
option_selected:Q30_option1,476189807064000,3010.147,3.010147
submit_clicked:Q30,476190846736300,1039.672,1.039672
screen_presented:Q31,476190846868600,0.132,0.000132
option_selected:Q31_option0,476195798432400,4951.564,4.951564
submit_clicked:Q31,476196939466300,1141.034,1.141034
screen_presented:Q32,476196939595500,0.129,0.000129
option_selected:Q32_option2,476203926252600,6986.657,6.986657
option_selected:Q32_option1,476205253743100,1327.491,1.327490
submit_clicked:Q32,476206062167000,808.424,0.808424
screen_presented:Q33,476206062289000,0.122,0.000122
option_selected:Q33_option1,476209702124500,3639.836,3.639835
submit_clicked:Q33,476210516089400,813.965,0.813965
screen_presented:Q34,476210516205300,0.116,0.000116
option_selected:Q34_option3,476211730744700,1214.539,1.214539
submit_clicked:Q34,476212373794400,643.050,0.643050
