Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,566764465056800,0,0.0
button_click:actual_audio,566769821979300,5356.922,5.356922
button_click:target_0,566772044521600,2222.542,2.222542
button_click:target_1,566775249647200,3205.126,3.205126
button_click:target_2,566778457074900,3207.428,3.207428
button_click:actual_audio,566782576242000,4119.167,4.119167
button_click:distractor_0,566785402516000,2826.274,2.826274
button_click:distractor_1,566788212688200,2810.172,2.810172
button_click:distractor_2,566790909445800,2696.758,2.696758
button_click:target_1,566793116028300,2206.582,2.206583
button_click:target_0,566796630566000,3514.538,3.514538
button_click:distractor_2,566800246191400,3615.625,3.615625
button_click:continue,566803615218500,3369.027,3.369027
