Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,2987770010128900,0,0.0
key_press:space_intro,2987772978536600,2968.408,2.968408
screen_presented:Q1,2987772988519500,9.983,0.009983
option_selected:Q1_option3,2987798056356500,25067.837,25.067837
submit_clicked:Q1,2987798789252200,732.896,0.732896
screen_presented:Q2,2987798789380800,0.129,0.000129
option_selected:Q2_option5,2987807788627800,8999.247,8.999247
submit_clicked:Q2,2987808894600600,1105.973,1.105973
screen_presented:Q3,2987808894759900,0.159,0.000159
option_selected:Q3_option2,2987818341409400,9446.649,9.446649
submit_clicked:Q3,2987819670906300,1329.497,1.329497
screen_presented:Q4,2987819671028300,0.122,0.000122
option_selected:Q4_option5,2987825788906200,6117.878,6.117878
submit_clicked:Q4,2987826438722200,649.816,0.649816
screen_presented:Q5,2987826438837800,0.116,0.000116
option_selected:Q5_option5,2987831282011300,4843.173,4.843173
submit_clicked:Q5,2987832165970700,883.959,0.883959
screen_presented:Q6,2987832166078700,0.108,0.000108
option_selected:Q6_option6,2987839597232200,7431.154,7.431153
option_selected:Q6_option6,2987839880342200,283.110,0.283110
submit_clicked:Q6,2987841053927800,1173.586,1.173586
screen_presented:Q7,2987841054043700,0.116,0.000116
option_selected:Q7_option4,2987846225354000,5171.310,5.171310
submit_clicked:Q7,2987847105433200,880.079,0.880079
screen_presented:Q8,2987847105552900,0.120,0.000120
option_selected:Q8_option6,2987852833753400,5728.200,5.728200
submit_clicked:Q8,2987853750257900,916.505,0.916505
screen_presented:Q9,2987853750410900,0.153,0.000153
option_selected:Q9_option6,2987858353193200,4602.782,4.602782
submit_clicked:Q9,2987859120933400,767.740,0.767740
screen_presented:Q10,2987859121045900,0.113,0.000112
option_selected:Q10_option3,2987866386055900,7265.010,7.265010
submit_clicked:Q10,2987868266060600,1880.005,1.880005
screen_presented:Q11,2987868266180100,0.119,0.000120
option_selected:Q11_option6,2987873300412600,5034.233,5.034232
submit_clicked:Q11,2987873966320300,665.908,0.665908
screen_presented:Q12,2987873966438100,0.118,0.000118
option_selected:Q12_option5,2987878878623500,4912.185,4.912185
submit_clicked:Q12,2987879821024600,942.401,0.942401
screen_presented:Q13,2987879821150700,0.126,0.000126
option_selected:Q13_option6,2987884614678400,4793.528,4.793528
submit_clicked:Q13,2987886281831700,1667.153,1.667153
screen_presented:Q14,2987886282014700,0.183,0.000183
option_selected:Q14_option5,2987896361046800,10079.032,10.079032
submit_clicked:Q14,2987897432145300,1071.099,1.071098
