Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,2987622248077000,0,0.0
key_press:space_intro,2987634558166400,12310.089,12.310089
screen_presented:Q1,2987634567000300,8.834,0.008834
option_selected:Q1_option4,2987654984726400,20417.726,20.417726
submit_clicked:Q1,2987656756886800,1772.160,1.772160
screen_presented:Q2,2987656757002000,0.115,0.000115
option_selected:Q2_option5,2987662010315700,5253.314,5.253314
submit_clicked:Q2,2987663296926800,1286.611,1.286611
screen_presented:Q3,2987663297049300,0.122,0.000122
option_selected:Q3_option5,2987666386361100,3089.312,3.089312
submit_clicked:Q3,2987667813813700,1427.453,1.427453
screen_presented:Q4,2987667813955300,0.142,0.000142
option_selected:Q4_option4,2987671280623000,3466.668,3.466668
submit_clicked:Q4,2987671986019900,705.397,0.705397
screen_presented:Q5,2987671986257500,0.238,0.000238
option_selected:Q5_option5,2987677100268800,5114.011,5.114011
option_selected:Q5_option5,2987677394438900,294.170,0.294170
submit_clicked:Q5,2987679072361100,1677.922,1.677922
screen_presented:Q6,2987679072486600,0.126,0.000125
option_selected:Q6_option5,2987685031836000,5959.349,5.959349
submit_clicked:Q6,2987687007920800,1976.085,1.976085
screen_presented:Q7,2987687008051000,0.130,0.000130
option_selected:Q7_option4,2987696232535900,9224.485,9.224485
submit_clicked:Q7,2987697142267300,909.731,0.909731
screen_presented:Q8,2987697142392000,0.125,0.000125
option_selected:Q8_option3,2987702552520400,5410.128,5.410128
option_selected:Q8_option2,2987705453294200,2900.774,2.900774
submit_clicked:Q8,2987706454328900,1001.035,1.001035
screen_presented:Q9,2987706454452900,0.124,0.000124
option_selected:Q9_option5,2987711797614300,5343.161,5.343161
submit_clicked:Q9,2987712886941900,1089.328,1.089328
screen_presented:Q10,2987712887089200,0.147,0.000147
option_selected:Q10_option6,2987721391591700,8504.503,8.504502
submit_clicked:Q10,2987722660038800,1268.447,1.268447
screen_presented:Q11,2987722660163600,0.125,0.000125
option_selected:Q11_option3,2987733228942800,10568.779,10.568779
option_selected:Q11_option3,2987733565252800,336.310,0.336310
submit_clicked:Q11,2987734880346700,1315.094,1.315094
screen_presented:Q12,2987734880467800,0.121,0.000121
option_selected:Q12_option3,2987739641415700,4760.948,4.760948
option_selected:Q12_option4,2987741527077300,1885.662,1.885662
submit_clicked:Q12,2987742479079700,952.002,0.952002
screen_presented:Q13,2987742479238600,0.159,0.000159
option_selected:Q13_option4,2987749943918200,7464.680,7.464680
submit_clicked:Q13,2987754596557200,4652.639,4.652639
screen_presented:Q14,2987754596688400,0.131,0.000131
option_selected:Q14_option5,2987769308973500,14712.285,14.712285
submit_clicked:Q14,2987770007693400,698.720,0.698720
