Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,2986866733482600,0,0.0
key_press:space_intro,2986871842118100,5108.636,5.108636
screen_presented:Q1,2986871847738200,5.620,0.005620
option_selected:Q1_option4,2986877422482400,5574.744,5.574744
submit_clicked:Q1,2986878662390600,1239.908,1.239908
screen_presented:Q2,2986878662548300,0.158,0.000158
option_selected:Q2_option1,2986887324823800,8662.275,8.662275
submit_clicked:Q2,2986888815781700,1490.958,1.490958
screen_presented:Q3,2986888815897500,0.116,0.000116
option_selected:Q3_option2,2986895597265000,6781.368,6.781367
submit_clicked:Q3,2986897000147900,1402.883,1.402883
screen_presented:Q4,2986897000277000,0.129,0.000129
option_selected:Q4_option0,2986901329568300,4329.291,4.329291
submit_clicked:Q4,2986903005923700,1676.355,1.676355
screen_presented:Q5,2986903006040300,0.117,0.000117
option_selected:Q5_option3,2986908221921000,5215.881,5.215881
submit_clicked:Q5,2986909717448700,1495.528,1.495528
screen_presented:Q6,2986909717563400,0.115,0.000115
option_selected:Q6_option1,2986913078959300,3361.396,3.361396
submit_clicked:Q6,2986915468544500,2389.585,2.389585
screen_presented:Q7,2986915468664000,0.119,0.000120
option_selected:Q7_option4,2986920912030500,5443.367,5.443366
submit_clicked:Q7,2986922601119200,1689.089,1.689089
screen_presented:Q8,2986922601249700,0.131,0.000131
option_selected:Q8_option4,2986926044916300,3443.667,3.443667
submit_clicked:Q8,2986926876420900,831.505,0.831505
screen_presented:Q9,2986926876555000,0.134,0.000134
option_selected:Q9_option0,2986929725562800,2849.008,2.849008
submit_clicked:Q9,2986932072773400,2347.211,2.347211
