Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,2987174905294300,0,0.0
key_press:space_intro,2987179202427800,4297.133,4.297134
screen_presented:Q1,2987179214025100,11.597,0.011597
option_selected:Q1_option0,2987186918292700,7704.268,7.704268
submit_clicked:Q1,2987188365054000,1446.761,1.446761
screen_presented:Q2,2987188365210100,0.156,0.000156
option_selected:Q2_option0,2987193413877000,5048.667,5.048667
submit_clicked:Q2,2987194868601000,1454.724,1.454724
screen_presented:Q3,2987194868748500,0.147,0.000148
option_selected:Q3_option1,2987203197910600,8329.162,8.329162
submit_clicked:Q3,2987204261977100,1064.066,1.064067
screen_presented:Q4,2987204262178300,0.201,0.000201
option_selected:Q4_option0,2987208733236400,4471.058,4.471058
submit_clicked:Q4,2987210325807300,1592.571,1.592571
screen_presented:Q5,2987210325966600,0.159,0.000159
option_selected:Q5_option0,2987215156689300,4830.723,4.830723
submit_clicked:Q5,2987216421953000,1265.264,1.265264
screen_presented:Q6,2987216422075100,0.122,0.000122
option_selected:Q6_option1,2987221564631700,5142.557,5.142557
submit_clicked:Q6,2987222885329600,1320.698,1.320698
screen_presented:Q7,2987222885459100,0.130,0.000130
option_selected:Q7_option1,2987227596979100,4711.520,4.711520
submit_clicked:Q7,2987228847581400,1250.602,1.250602
screen_presented:Q8,2987228847759000,0.178,0.000178
option_selected:Q8_option1,2987239054455700,10206.697,10.206697
submit_clicked:Q8,2987242125458600,3071.003,3.071003
screen_presented:Q9,2987242125638700,0.180,0.000180
option_selected:Q9_option1,2987253630010800,11504.372,11.504372
option_selected:Q9_option0,2987257286271300,3656.260,3.656261
submit_clicked:Q9,2987258485302900,1199.032,1.199032
screen_presented:Q10,2987258485433000,0.130,0.000130
option_selected:Q10_option1,2987261204995200,2719.562,2.719562
option_selected:Q10_option0,2987263077902700,1872.908,1.872907
option_selected:Q10_option0,2987263308776200,230.874,0.230874
submit_clicked:Q10,2987264134532300,825.756,0.825756
screen_presented:Q11,2987264134653500,0.121,0.000121
option_selected:Q11_option0,2987266044836400,1910.183,1.910183
submit_clicked:Q11,2987268061543500,2016.707,2.016707
screen_presented:Q12,2987268061665100,0.122,0.000122
option_selected:Q12_option1,2987271580662300,3518.997,3.518997
submit_clicked:Q12,2987273150273200,1569.611,1.569611
screen_presented:Q13,2987273150414600,0.141,0.000141
option_selected:Q13_option1,2987283102113400,9951.699,9.951699
submit_clicked:Q13,2987285165184300,2063.071,2.063071
screen_presented:Q14,2987285165370000,0.186,0.000186
option_selected:Q14_option1,2987290516387700,5351.018,5.351018
submit_clicked:Q14,2987293468878400,2952.491,2.952491
