Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,2947377120293400,0,0.0
key_press:space_intro,2947379544527600,2424.234,2.424234
screen_presented:Q1,2947379562622600,18.095,0.018095
option_selected:Q1_option0,2947387958805400,8396.183,8.396183
submit_clicked:Q1,2947388997273800,1038.468,1.038468
screen_presented:Q2,2947388997526200,0.252,0.000252
option_selected:Q2_option0,2947394369809600,5372.283,5.372283
submit_clicked:Q2,2947396033512600,1663.703,1.663703
screen_presented:Q3,2947396033749200,0.237,0.000237
option_selected:Q3_option6,2947401680629200,5646.880,5.646880
option_selected:Q3_option3,2947405621762500,3941.133,3.941133
submit_clicked:Q3,2947406547325300,925.563,0.925563
screen_presented:Q4,2947406547573800,0.248,0.000249
option_selected:Q4_option3,2947410426460600,3878.887,3.878887
submit_clicked:Q4,2947411317609300,891.149,0.891149
screen_presented:Q5,2947411317857200,0.248,0.000248
option_selected:Q5_option0,2947415597949600,4280.092,4.280092
submit_clicked:Q5,2947417299696000,1701.746,1.701746
screen_presented:Q6,2947417299954800,0.259,0.000259
option_selected:Q6_option3,2947424257010200,6957.055,6.957055
submit_clicked:Q6,2947425570292900,1313.283,1.313283
screen_presented:Q7,2947425570549600,0.257,0.000257
option_selected:Q7_option1,2947431131089200,5560.540,5.560540
submit_clicked:Q7,2947431955323900,824.235,0.824235
screen_presented:Q8,2947431955570100,0.246,0.000246
option_selected:Q8_option3,2947435112943200,3157.373,3.157373
submit_clicked:Q8,2947436252029000,1139.086,1.139086
screen_presented:Q9,2947436252288500,0.260,0.000260
option_selected:Q9_option5,2947439369297700,3117.009,3.117009
submit_clicked:Q9,2947440778220700,1408.923,1.408923
screen_presented:Q10,2947440778468000,0.247,0.000247
option_selected:Q10_option1,2947444232023800,3453.556,3.453556
option_selected:Q10_option3,2947446616487200,2384.463,2.384463
submit_clicked:Q10,2947447730298400,1113.811,1.113811
screen_presented:Q11,2947447730550200,0.252,0.000252
option_selected:Q11_option0,2947453076284900,5345.735,5.345735
submit_clicked:Q11,2947454252960200,1176.675,1.176675
screen_presented:Q12,2947454253219300,0.259,0.000259
option_selected:Q12_option3,2947458736029100,4482.810,4.482810
submit_clicked:Q12,2947459812567800,1076.539,1.076539
screen_presented:Q13,2947459812825700,0.258,0.000258
option_selected:Q13_option3,2947463385241200,3572.416,3.572415
option_selected:Q13_option2,2947464045577000,660.336,0.660336
submit_clicked:Q13,2947464826167200,780.590,0.780590
screen_presented:Q14,2947464826409400,0.242,0.000242
option_selected:Q14_option2,2947467790913600,2964.504,2.964504
submit_clicked:Q14,2947469091215100,1300.302,1.300301
