Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,94606910021100,0,0.0
key_press:space_intro,94613209446600,6299.426,6.299425
screen_presented:Q1,94613228745300,19.299,0.019299
option_selected:Q1_option3,94620427581700,7198.836,7.198836
submit_clicked:Q1,94621217329200,789.747,0.789748
screen_presented:Q2,94621217563300,0.234,0.000234
option_selected:Q2_option1,94629675548300,8457.985,8.457985
submit_clicked:Q2,94631377253900,1701.706,1.701706
screen_presented:Q3,94631377503100,0.249,0.000249
option_selected:Q3_option3,94636479046100,5101.543,5.101543
submit_clicked:Q3,94637244325300,765.279,0.765279
screen_presented:Q4,94637244588000,0.263,0.000263
option_selected:Q4_option0,94642291585100,5046.997,5.046997
option_selected:Q4_option1,94643145234500,853.649,0.853649
submit_clicked:Q4,94644259538400,1114.304,1.114304
screen_presented:Q5,94644259792900,0.255,0.000255
option_selected:Q5_option2,94648138217900,3878.425,3.878425
submit_clicked:Q5,94648861058700,722.841,0.722841
screen_presented:Q6,94648861312700,0.254,0.000254
option_selected:Q6_option0,94651415170200,2553.858,2.553857
submit_clicked:Q6,94652459716200,1044.546,1.044546
screen_presented:Q7,94652459926000,0.210,0.000210
option_selected:Q7_option1,94655119252500,2659.327,2.659327
submit_clicked:Q7,94655769662900,650.410,0.650410
screen_presented:Q8,94655769922900,0.260,0.000260
option_selected:Q8_option4,94657908838200,2138.915,2.138915
submit_clicked:Q8,94659054468000,1145.630,1.145630
screen_presented:Q9,94659054726800,0.259,0.000259
option_selected:Q9_option0,94660884042600,1829.316,1.829316
option_selected:Q9_option4,94662785798800,1901.756,1.901756
submit_clicked:Q9,94664087174300,1301.376,1.301376
screen_presented:Q10,94664087459100,0.285,0.000285
option_selected:Q10_option0,94667683362400,3595.903,3.595903
submit_clicked:Q10,94668554270800,870.908,0.870908
screen_presented:Q11,94668554526900,0.256,0.000256
option_selected:Q11_option0,94677999863300,9445.336,9.445336
option_selected:Q11_option1,94681376376500,3376.513,3.376513
submit_clicked:Q11,94682387592600,1011.216,1.011216
screen_presented:Q12,94682387853600,0.261,0.000261
option_selected:Q12_option1,94686274229500,3886.376,3.886376
submit_clicked:Q12,94688500088300,2225.859,2.225859
screen_presented:Q13,94688500310200,0.222,0.000222
option_selected:Q13_option0,94690496520800,1996.211,1.996211
submit_clicked:Q13,94691664293000,1167.772,1.167772
screen_presented:Q14,94691664543800,0.251,0.000251
option_selected:Q14_option3,94694261784800,2597.241,2.597241
submit_clicked:Q14,94695090706400,828.922,0.828922
screen_presented:Q15,94695090964700,0.258,0.000258
option_selected:Q15_option0,94699595039400,4504.075,4.504075
submit_clicked:Q15,94701108427900,1513.389,1.513389
screen_presented:Q16,94701108690500,0.263,0.000263
option_selected:Q16_option0,94703571400900,2462.710,2.462710
submit_clicked:Q16,94704353183000,781.782,0.781782
