Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,171016127550700,0,0.0
key_press:space_intro,171033720975100,17593.424,17.593424
screen_presented:Q1,171033743681500,22.706,0.022706
option_selected:Q1_option3,171044390494700,10646.813,10.646813
submit_clicked:Q1,171045076055400,685.561,0.685561
screen_presented:Q2,171045076317400,0.262,0.000262
option_selected:Q2_option4,171053979111800,8902.794,8.902794
submit_clicked:Q2,171054735384400,756.273,0.756273
screen_presented:Q3,171054735628300,0.244,0.000244
option_selected:Q3_option6,171064679942800,9944.315,9.944315
submit_clicked:Q3,171065446339600,766.397,0.766397
screen_presented:Q4,171065446601900,0.262,0.000262
option_selected:Q4_option5,171071012656200,5566.054,5.566054
submit_clicked:Q4,171072421025400,1408.369,1.408369
screen_presented:Q5,171072421275500,0.250,0.000250
option_selected:Q5_option4,171083992943500,11571.668,11.571668
submit_clicked:Q5,171084718380100,725.437,0.725437
screen_presented:Q6,171084718633400,0.253,0.000253
option_selected:Q6_option6,171090411421900,5692.788,5.692788
submit_clicked:Q6,171091192553600,781.132,0.781132
screen_presented:Q7,171091192804100,0.251,0.000251
option_selected:Q7_option6,171099259016700,8066.213,8.066213
submit_clicked:Q7,171100000326700,741.310,0.741310
screen_presented:Q8,171100000595900,0.269,0.000269
option_selected:Q8_option3,171110589641900,10589.046,10.589046
submit_clicked:Q8,171111446563700,856.922,0.856922
screen_presented:Q9,171111446816800,0.253,0.000253
option_selected:Q9_option6,171116209261600,4762.445,4.762445
submit_clicked:Q9,171117236292100,1027.031,1.027030
screen_presented:Q10,171117236539300,0.247,0.000247
option_selected:Q10_option6,171124233528300,6996.989,6.996989
submit_clicked:Q10,171125063668900,830.141,0.830141
screen_presented:Q11,171125063918700,0.250,0.000250
option_selected:Q11_option6,171133614433600,8550.515,8.550515
submit_clicked:Q11,171134295504100,681.071,0.681071
screen_presented:Q12,171134295753000,0.249,0.000249
option_selected:Q12_option4,171139749667000,5453.914,5.453914
submit_clicked:Q12,171140325865200,576.198,0.576198
screen_presented:Q13,171140326119800,0.255,0.000255
option_selected:Q13_option5,171146646141400,6320.022,6.320022
submit_clicked:Q13,171147442935600,796.794,0.796794
screen_presented:Q14,171147443185700,0.250,0.000250
option_selected:Q14_option6,171151664130100,4220.944,4.220944
submit_clicked:Q14,171152380059700,715.930,0.715930
