Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,170628325796200,0,0.0
key_press:space_intro,170638686546500,10360.750,10.360750
screen_presented:Q1,170638733164800,46.618,0.046618
option_selected:Q1_option1,170647768218600,9035.054,9.035054
submit_clicked:Q1,170649178154800,1409.936,1.409936
screen_presented:Q2,170649178390700,0.236,0.000236
option_selected:Q2_option9,170654187644300,5009.254,5.009254
submit_clicked:Q2,170659822507800,5634.864,5.634863
screen_presented:Q3,170659822748500,0.241,0.000241
option_selected:Q3_option1,170665152605100,5329.857,5.329857
submit_clicked:Q3,170666265147100,1112.542,1.112542
screen_presented:Q4,170666265381900,0.235,0.000235
option_selected:Q4_option0,170670061053200,3795.671,3.795671
submit_clicked:Q4,170671015706700,954.654,0.954654
screen_presented:Q5,170671015951500,0.245,0.000245
option_selected:Q5_option8,170675097844800,4081.893,4.081893
option_selected:Q5_option6,170676915455600,1817.611,1.817611
option_selected:Q5_option4,170677826807600,911.352,0.911352
submit_clicked:Q5,170678404075800,577.268,0.577268
screen_presented:Q6,170678404314100,0.238,0.000238
option_selected:Q6_option1,170703739226700,25334.913,25.334913
submit_clicked:Q6,170704568990300,829.764,0.829764
screen_presented:Q7,170704569225000,0.235,0.000235
option_selected:Q7_option0,170710746779900,6177.555,6.177555
submit_clicked:Q7,170712540041000,1793.261,1.793261
screen_presented:Q8,170712540272900,0.232,0.000232
option_selected:Q8_option7,170718859008700,6318.736,6.318736
submit_clicked:Q8,170719844431500,985.423,0.985423
screen_presented:Q9,170719844669500,0.238,0.000238
option_selected:Q9_option8,170723655123600,3810.454,3.810454
submit_clicked:Q9,170724445841600,790.718,0.790718
screen_presented:Q10,170724446120900,0.279,0.000279
option_selected:Q10_option3,170729856975800,5410.855,5.410855
option_selected:Q10_option2,170731338721900,1481.746,1.481746
submit_clicked:Q10,170732035016900,696.295,0.696295
screen_presented:Q11,170732035263800,0.247,0.000247
option_selected:Q11_option2,170736581867800,4546.604,4.546604
submit_clicked:Q11,170737893544000,1311.676,1.311676
screen_presented:Q12,170737893792600,0.249,0.000249
option_selected:Q12_option0,170741319947500,3426.155,3.426155
submit_clicked:Q12,170742065223200,745.276,0.745276
screen_presented:Q13,170742065477000,0.254,0.000254
option_selected:Q13_option4,170746153049600,4087.573,4.087573
submit_clicked:Q13,170746804454900,651.405,0.651405
screen_presented:Q14,170746804699800,0.245,0.000245
option_selected:Q14_option5,170751741812300,4937.113,4.937112
submit_clicked:Q14,170752365701200,623.889,0.623889
screen_presented:Q15,170752365935800,0.235,0.000235
option_selected:Q15_option8,170757044322300,4678.386,4.678387
option_selected:Q15_option6,170758901364600,1857.042,1.857042
option_selected:Q15_option3,170760236302200,1334.938,1.334938
submit_clicked:Q15,170761823538100,1587.236,1.587236
screen_presented:Q16,170761823774700,0.237,0.000237
option_selected:Q16_option0,170766225196200,4401.422,4.401421
submit_clicked:Q16,170766969024900,743.829,0.743829
screen_presented:Q17,170766969252700,0.228,0.000228
option_selected:Q17_option3,170770973809500,4004.557,4.004557
option_selected:Q17_option2,170773241894800,2268.085,2.268085
submit_clicked:Q17,170774119794800,877.900,0.877900
screen_presented:Q18,170774120028300,0.234,0.000234
option_selected:Q18_option4,170779574503000,5454.475,5.454475
submit_clicked:Q18,170780255600800,681.098,0.681098
screen_presented:Q19,170780255851300,0.251,0.000251
option_selected:Q19_option6,170784569582800,4313.731,4.313732
submit_clicked:Q19,170785616459000,1046.876,1.046876
screen_presented:Q20,170785616700200,0.241,0.000241
option_selected:Q20_option4,170789815028200,4198.328,4.198328
submit_clicked:Q20,170790463323000,648.295,0.648295
screen_presented:Q21,170790463574100,0.251,0.000251
option_selected:Q21_option6,170795007068700,4543.495,4.543495
submit_clicked:Q21,170796282562700,1275.494,1.275494
screen_presented:Q22,170796282794900,0.232,0.000232
option_selected:Q22_option9,170800882947900,4600.153,4.600153
option_selected:Q22_option7,170801825607400,942.659,0.942659
submit_clicked:Q22,170802673987800,848.380,0.848380
screen_presented:Q23,170802674240300,0.253,0.000253
option_selected:Q23_option3,170810515880200,7841.640,7.841640
option_selected:Q23_option2,170811779989900,1264.110,1.264110
submit_clicked:Q23,170812933377400,1153.388,1.153388
screen_presented:Q24,170812933608300,0.231,0.000231
option_selected:Q24_option9,170817674524100,4740.916,4.740916
submit_clicked:Q24,170818619463600,944.939,0.944940
screen_presented:Q25,170818619705400,0.242,0.000242
option_selected:Q25_option7,170822711043600,4091.338,4.091338
submit_clicked:Q25,170823622618900,911.575,0.911575
screen_presented:Q26,170823622848900,0.230,0.000230
option_selected:Q26_option4,170830989106100,7366.257,7.366257
submit_clicked:Q26,170831630970500,641.864,0.641864
screen_presented:Q27,170831631212400,0.242,0.000242
option_selected:Q27_option2,170837503635900,5872.423,5.872424
option_selected:Q27_option1,170837960324000,456.688,0.456688
submit_clicked:Q27,170838844495800,884.172,0.884172
screen_presented:Q28,170838844742000,0.246,0.000246
option_selected:Q28_option1,170842945121500,4100.380,4.100379
submit_clicked:Q28,170843722124600,777.003,0.777003
