Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,175147490272800,0,0.0
button_click:actual_audio,175171901057300,24410.785,24.410784
button_click:target_0,175174826408400,2925.351,2.925351
button_click:target_1,175178884481900,4058.073,4.058073
button_click:target_2,175181941691600,3057.210,3.057210
button_click:actual_audio,175186721890000,4780.198,4.780198
button_click:distractor_0,175190369612600,3647.723,3.647723
button_click:distractor_1,175194222731100,3853.119,3.853118
button_click:distractor_2,175197215416800,2992.686,2.992686
button_click:actual_audio,175200138074600,2922.658,2.922658
button_click:target_0,175202596572300,2458.498,2.458498
button_click:target_1,175205985697800,3389.126,3.389126
button_click:target_1,175209571888000,3586.190,3.586190
button_click:distractor_1,175212031361300,2459.473,2.459473
button_click:continue,175214890294700,2858.933,2.858933
