Subject Number,Block Scheme,Stimulus Number,Stimulus Type,Subject Response,Play Count,Trial Start Timestamp,Play Button Clicked Timestamp,Audio Start Timestamp,Audio End Timestamp,Subject Response Timestamp
04062026001,full_sentence,1377011,target,target,1,352077926942500,352080428170800,352080428171700,352082318171700,352085911976400
04062026001,full_sentence,351794,distractor,distractor,1,352087917540700,352090304690500,352090304691100,352092194691100,352092384282400
04062026001,full_sentence,710781,target,distractor,1,352094389951400,352094992406700,352094992407300,352096882407300,352097428409600
04062026001,full_sentence,930786,distractor,target,1,352099434467900,352100436405100,352100436405700,352102326405700,352102806194700
04062026001,full_sentence,1286055,distractor,target,1,352104811935800,352105291872700,352105291873400,352107181873400,352108161513100
04062026001,full_sentence,552066,distractor,distractor,1,352110167262700,352110691657900,352110691658800,352112581658800,352113571627900
04062026001,full_sentence,2490211,target,distractor,1,352115577464500,352116057766200,352116057766800,352117947766800,352118793789000
04062026001,full_sentence,1841210,target,distractor,1,352120799893000,352121123736600,352121123737500,352123013737500,352123770690200
04062026001,full_sentence,1976046,target,distractor,1,352125776400900,352126189716400,352126189717000,352128079717000,352128514246700
04062026001,full_sentence,1556070,target,distractor,1,352130519997300,352130944348200,352130944348800,352132834348800,352133547202600
04062026001,full_sentence,1708892,distractor,target,1,352135552940200,352135988380500,352135988381000,352137878381000,352138234953400
04062026001,full_sentence,1617401,distractor,target,1,352140240650200,352140698629500,352140698630000,352142588630000,352144135634300
04062026001,full_sentence,2501681,target,distractor,1,352146141013400,352146531812400,352146531813100,352148421813100,352149923944400
04062026001,full_sentence,588063,distractor,distractor,1,352151929840400,352152309738400,352152309739100,352154199739100,352154578971500
04062026001,full_sentence,469558,target,target,1,352156584507900,352156931767300,352156931768000,352158821768000,352159066518000
04062026001,full_sentence,772560,distractor,target,1,352175015338600,352175827599500,352175827600200,352177717600200,352178107301100
04062026001,full_sentence,2514923,target,target,1,352180113176700,352180593038800,352180593039700,352182483039700,352182717487600
04062026001,full_sentence,2690790,target,distractor,1,352184723296700,352185036121700,352185036122300,352186926122300,352187605401900
04062026001,full_sentence,1067883,distractor,target,1,352189611617900,352189946850300,352189946850900,352191836850900,352191859735800
04062026001,full_sentence,847501,distractor,target,1,352193865431700,352194289781300,352194289781900,352196179781900,352196658805200
04062026001,full_sentence,1881701,target,distractor,1,352198664542100,352199044441600,352199044442300,352200934442300,352201157732800
04062026001,full_sentence,1558811,target,target,1,352203163356200,352203477107100,352203477107700,352205367107700,352205867819400
04062026001,full_sentence,2363886,target,target,1,352207873546700,352208220849400,352208220850100,352210110850100,352210978864100
04062026001,full_sentence,1248677,distractor,distractor,1,352212985115700,352213331252500,352213331253400,352215221253400,352215544268300
04062026001,full_sentence,854858,target,target,1,352217549987700,352217907347800,352217907348500,352219797348500,352220220985000
04062026001,full_sentence,2456914,distractor,distractor,1,352222226675500,352222573890000,352222573890700,352224463890700,352224808551000
04062026001,full_sentence,2675662,target,distractor,1,352226814332700,352227138645400,352227138646100,352229028646100,352230108207200
04062026001,full_sentence,1832684,distractor,target,1,352232114123000,352232571674600,352232571675200,352234461675200,352234885569400
04062026001,full_sentence,2455086,target,target,1,352236891196900,352237671355900,352237671356500,352239561356500,352239862213100
04062026001,full_sentence,1055025,target,target,1,352241867934600,352242203493800,352242203494500,352244093494500,352244828328800
04062026001,full_sentence,2380621,distractor,target,1,352256333226800,352257168981100,352257168981800,352259058981800,352259548527300
04062026001,full_sentence,578254,target,target,1,352261554064900,352261967278700,352261967279300,352263857279300,352264325180800
04062026001,full_sentence,2262329,distractor,target,1,352266330800700,352266644306400,352266644307100,352268534307100,352269113136100
04062026001,full_sentence,1673452,distractor,target,1,352271118924400,352271443842900,352271443843700,352273333843700,352273790131600
04062026001,full_sentence,390337,distractor,target,1,352275795885700,352276175383400,352276175384000,352278065384000,352279879186300
04062026001,full_sentence,656999,target,distractor,1,352281884963000,352282254021900,352282254022600,352284144022600,352284522583400
04062026001,full_sentence,1797030,distractor,distractor,1,352286528337100,352286908340000,352286908341000,352288798341000,352289221846500
04062026001,full_sentence,1285990,distractor,distractor,1,352291227631700,352291930317500,352291930318200,352293820318200,352294009829000
04062026001,full_sentence,690453,distractor,distractor,1,352296015474300,352296406500400,352296406501000,352298296501000,352299165295400
04062026001,full_sentence,393679,target,distractor,1,352301170980300,352301506144900,352301506145600,352303396145600,352303908442000
04062026001,full_sentence,1619569,target,distractor,1,352305914660100,352306328198100,352306328198700,352308218198700,352308685267200
04062026001,full_sentence,2594432,distractor,target,1,352310690968600,352311059606900,352311059607800,352312949607800,352313251415000
04062026001,full_sentence,2578028,distractor,target,1,352315256838300,352315591966200,352315591966800,352317481966800,352317961001000
04062026001,full_sentence,1893147,distractor,distractor,1,352319966694800,352320469507300,352320469507900,352322359507900,352322571166100
04062026001,full_sentence,490292,distractor,distractor,1,352324576819500,352324912415800,352324912416400,352326802416400,352327236768500
04062026001,full_sentence,2241916,target,distractor,1,352338769202500,352339472720200,352339472720900,352341362720900,352342084588800
04062026001,full_sentence,1325540,target,distractor,1,352344090328400,352344414613100,352344414614100,352346304614100,352346761497900
04062026001,full_sentence,1604178,target,distractor,1,352348767233700,352349135707200,352349135707800,352351025707800,352351316013400
04062026001,full_sentence,1303598,target,distractor,1,352353321704300,352353668268100,352353668268700,352355558268700,352356048301400
04062026001,full_sentence,137369,target,target,1,352358054008600,352358389325400,352358389326100,352360279326100,352361426218700
04062026001,full_sentence,2487625,target,distractor,1,352363431989000,352363722463100,352363722463700,352365612463700,352366569753900
04062026001,full_sentence,1372543,distractor,distractor,1,352368575401500,352368888678500,352368888679100,352370778679100,352371424500800
04062026001,full_sentence,2065486,target,target,1,352373430936300,352373777634800,352373777635500,352375667635500,352376212426400
04062026001,full_sentence,2654756,target,target,1,352378218193400,352378564905800,352378564906400,352380454906400,352381356422000
04062026001,full_sentence,972144,distractor,distractor,1,352383362139900,352383664679700,352383664680300,352385554680300,352386311283800
04062026001,full_sentence,436049,target,target,1,352388317822000,352388730303600,352388730304300,352390620304300,352390965888400
04062026001,full_sentence,2557564,distractor,distractor,1,352392971548100,352393307041400,352393307042000,352395197042000,352395509602100
04062026001,full_sentence,793673,target,distractor,1,352397515389300,352397828760300,352397828761000,352399718761000,352400286137800
04062026001,full_sentence,1995467,distractor,distractor,1,352402291779100,352402649973000,352402649973600,352404539973600,352404973903800
04062026001,full_sentence,1921945,distractor,distractor,1,352406979674200,352407248790700,352407248791400,352409138791400,352409484244400
04062026001,full_sentence,1560586,distractor,distractor,1,352419992921200,352421484993600,352421484994300,352423374994300,352423920341200
04062026001,full_sentence,503104,distractor,distractor,1,352425926991700,352426373512700,352426373513400,352428263513400,352428663856500
04062026001,full_sentence,1455560,distractor,target,1,352430669560200,352431072512100,352431072512700,352432962512700,352433401637800
04062026001,full_sentence,1784932,target,distractor,1,352435407878100,352435731601500,352435731602100,352437621602100,352438056356900
04062026001,full_sentence,135747,target,target,1,352440062884500,352440364311800,352440364312500,352442254312500,352442799927300
04062026001,full_sentence,1361457,target,distractor,1,352444805631900,352445085498900,352445085499500,352446975499500,352447165572600
04062026001,full_sentence,2649655,target,distractor,1,352449171142000,352449495448600,352449495449400,352451385449400,352451619553500
04062026001,full_sentence,177749,target,distractor,1,352453626246600,352454005573100,352454005573800,352455895573800,352456619204900
04062026001,full_sentence,2416540,distractor,distractor,1,352458624928700,352458949057900,352458949058500,352460839058500,352461507173300
04062026001,full_sentence,1845027,distractor,target,1,352463512852100,352463859910300,352463859910900,352465749910900,352468108768400
04062026001,full_sentence,2118128,distractor,distractor,1,352470115013900,352470493700000,352470493700700,352472383700700,352473029492000
04062026001,full_sentence,144254,distractor,target,1,352475035924900,352475337411200,352475337411900,352477227411900,352478006363500
