Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,354821878887000,0,0.0
key_press:space_intro,354828855830200,6976.943,6.976943
screen_presented:Q1,354828883929900,28.100,0.028100
option_selected:Q1_option0,354833377092700,4493.163,4.493163
submit_clicked:Q1,354834442486000,1065.393,1.065393
screen_presented:Q2,354834442750000,0.264,0.000264
option_selected:Q2_option1,354838440331500,3997.581,3.997581
submit_clicked:Q2,354839825882300,1385.551,1.385551
screen_presented:Q3,354839826130200,0.248,0.000248
option_selected:Q3_option0,354851098251000,11272.121,11.272121
submit_clicked:Q3,354852769349300,1671.098,1.671098
screen_presented:Q4,354852769613900,0.265,0.000265
option_selected:Q4_option1,354857713515300,4943.901,4.943901
submit_clicked:Q4,354858890118700,1176.603,1.176603
screen_presented:Q5,354858890387100,0.268,0.000268
option_selected:Q5_option0,354865498588300,6608.201,6.608201
submit_clicked:Q5,354866831445500,1332.857,1.332857
screen_presented:Q6,354866831713100,0.268,0.000268
option_selected:Q6_option1,354873616534200,6784.821,6.784821
submit_clicked:Q6,354875512621600,1896.087,1.896087
screen_presented:Q7,354875512879500,0.258,0.000258
option_selected:Q7_option1,354880233117800,4720.238,4.720238
submit_clicked:Q7,354881288737200,1055.619,1.055619
screen_presented:Q8,354881289003400,0.266,0.000266
option_selected:Q8_option1,354891526668300,10237.665,10.237665
submit_clicked:Q8,354892468342900,941.675,0.941675
screen_presented:Q9,354892468627600,0.285,0.000285
option_selected:Q9_option0,354902657765800,10189.138,10.189138
submit_clicked:Q9,354903569521900,911.756,0.911756
screen_presented:Q10,354903569790300,0.268,0.000268
option_selected:Q10_option0,354906375971100,2806.181,2.806181
submit_clicked:Q10,354907463716900,1087.746,1.087746
screen_presented:Q11,354907463986800,0.270,0.000270
option_selected:Q11_option0,354908912342800,1448.356,1.448356
submit_clicked:Q11,354909872951400,960.609,0.960609
screen_presented:Q12,354909873199400,0.248,0.000248
option_selected:Q12_option0,354914321077000,4447.878,4.447878
submit_clicked:Q12,354915216540500,895.463,0.895463
screen_presented:Q13,354915216808200,0.268,0.000268
option_selected:Q13_option1,354926792049300,11575.241,11.575241
submit_clicked:Q13,354927636130700,844.081,0.844081
screen_presented:Q14,354927636390900,0.260,0.000260
option_selected:Q14_option1,354933830874400,6194.484,6.194483
submit_clicked:Q14,354935043457000,1212.583,1.212583
