Subject Number,Block Scheme,Stimulus Number,Stimulus Type,Subject Response,Play Count,Trial Start Timestamp,Play Button Clicked Timestamp,Audio Start Timestamp,Audio End Timestamp,Subject Response Timestamp
04182026001,imagined_sentence,214879,target,target,1,11020669841600,11027215835500,11027215836300,11027885836300,11031196230700
04182026001,imagined_sentence,1106952,target,distractor,1,11033201157500,11035259447500,11035259448100,11035929448100,11037005875500
04182026001,imagined_sentence,2455734,distractor,distractor,1,11039010475400,11041048339100,11041048339700,11041718339700,11045311037800
04182026001,imagined_sentence,279298,target,target,1,11047317101400,11050611778400,11050611779000,11051281779000,11051986129100
04182026001,imagined_sentence,2241357,target,distractor,1,11053990430300,11055829329400,11055829330100,11056499330100,11057654839200
04182026001,imagined_sentence,2519736,distractor,distractor,1,11059659415500,11061793031000,11061793031600,11062463031600,11062972989900
04182026001,imagined_sentence,780158,target,target,1,11064978048400,11066660392800,11066660393600,11067330393600,11067781993000
04182026001,imagined_sentence,1386370,distractor,distractor,1,11069786614000,11071443437600,11071443438400,11072113438400,11072598228500
04182026001,imagined_sentence,1152436,target,distractor,1,11074602757800,11075911167400,11075911168100,11076581168100,11076860659600
04182026001,imagined_sentence,1182143,target,distractor,1,11078865197600,11080153636500,11080153637100,11080823637100,11081252247300
04182026001,imagined_sentence,770646,distractor,target,1,11083256707700,11084488839800,11084488840300,11085158840300,11085475766700
04182026001,imagined_sentence,2540015,distractor,target,1,11087480246800,11088956964100,11088956964700,11089626964700,11089980390200
04182026001,imagined_sentence,776327,target,distractor,1,11091984919000,11093214032600,11093214033200,11093884033200,11094317118700
04182026001,imagined_sentence,138781,target,target,1,11096321590000,11097497953600,11097497954300,11098167954300,11098686109300
04182026001,imagined_sentence,1702273,target,distractor,1,11100690555700,11102411563200,11102411563800,11103081563800,11103525646800
04182026001,imagined_sentence,2522869,target,distractor,1,11115288183200,11117275403200,11117275403900,11117945403900,11118374517200
04182026001,imagined_sentence,1535124,target,target,1,11120379014300,11121715968600,11121715969200,11122385969200,11122768939900
04182026001,imagined_sentence,832705,distractor,target,1,11124773501400,11126276250600,11126276251400,11126946251400,11128211203900
04182026001,imagined_sentence,2115323,distractor,distractor,1,11130215508300,11133530621300,11133530621900,11134200621900,11134915959300
04182026001,imagined_sentence,1693893,target,distractor,1,11136922827200,11138698068100,11138698068700,11139368068700,11140748613700
04182026001,imagined_sentence,785460,target,target,1,11142753300700,11144100222300,11144100223000,11144770223000,11145355899200
04182026001,imagined_sentence,1568904,distractor,distractor,1,11147360293700,11148852567400,11148852568100,11149522568100,11149865889300
04182026001,imagined_sentence,1929764,target,distractor,1,11151870151200,11153719730100,11153719731100,11154389731100,11156901797200
04182026001,imagined_sentence,435296,target,distractor,1,11158906268000,11160315372700,11160315373400,11160985373400,11161986578100
04182026001,imagined_sentence,476253,distractor,target,1,11163991095200,11165348435800,11165348436400,11166018436400,11166678667800
04182026001,imagined_sentence,2608377,distractor,target,1,11168683116100,11170002182500,11170002183300,11170672183300,11172409784400
04182026001,imagined_sentence,616206,target,distractor,1,11174414249500,11175803597000,11175803597500,11176473597500,11177466171300
04182026001,imagined_sentence,1883593,target,distractor,1,11179470598500,11180812985300,11180812986100,11181482986100,11182210659600
04182026001,imagined_sentence,2066255,target,distractor,1,11184215163800,11185663638400,11185663639000,11186333639000,11187458685600
04182026001,imagined_sentence,2375287,target,target,1,11189462998700,11190822731800,11190822732900,11191492732900,11191938989900
04182026001,imagined_sentence,2081813,distractor,distractor,1,11203671814000,11204834645800,11204834646300,11205504646300,11206194727900
04182026001,imagined_sentence,1916328,target,target,1,11208199374000,11209487751300,11209487751800,11210157751800,11210458664700
04182026001,imagined_sentence,754888,target,target,1,11212462944600,11213682381700,11213682382100,11214352382100,11216558996500
04182026001,imagined_sentence,1102783,distractor,distractor,1,11218564284300,11219822922300,11219822922900,11220492922900,11221870034700
04182026001,imagined_sentence,955718,target,distractor,1,11223874298900,11225315880200,11225315880800,11225985880800,11227092971000
04182026001,imagined_sentence,1023966,distractor,distractor,1,11229097935400,11230494952200,11230494952900,11231164952900,11231829816200
04182026001,imagined_sentence,1806338,target,target,1,11233834173400,11235657358800,11235657359400,11236327359400,11237196353500
04182026001,imagined_sentence,813995,distractor,distractor,1,11239200656600,11241142659700,11241142660300,11241812660300,11243797908400
04182026001,imagined_sentence,1416385,distractor,distractor,1,11245802343800,11247478307000,11247478308000,11248148308000,11248993175900
04182026001,imagined_sentence,1823357,distractor,distractor,1,11250998177600,11253778386200,11253778386900,11254448386900,11254700008200
04182026001,imagined_sentence,592916,target,distractor,1,11256706259100,11257972020000,11257972021100,11258642021100,11259044709200
04182026001,imagined_sentence,150539,target,distractor,1,11261049347700,11262382583200,11262382583800,11263052583800,11264128079000
