Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,10800445017300,0,0.0
button_click:actual_audio,10856113265900,55668.249,55.668249
button_click:target_0,10858122924000,2009.658,2.009658
button_click:target_1,10859759125100,1636.201,1.636201
button_click:target_2,10861706490500,1947.365,1.947365
button_click:actual_audio,10864095565100,2389.075,2.389075
button_click:distractor_0,10866108824400,2013.259,2.013259
button_click:distractor_1,10867429349500,1320.525,1.320525
button_click:distractor_2,10869813688800,2384.339,2.384339
button_click:actual_audio,10871635590200,1821.901,1.821901
button_click:target_0,10872641159400,1005.569,1.005569
button_click:target_1,10873773096400,1131.937,1.131937
button_click:distractor_0,10874965938800,1192.842,1.192842
button_click:target_0,10875908882100,942.943,0.942943
button_click:distractor_1,10877668825100,1759.943,1.759943
button_click:target_1,10878612618600,943.793,0.943793
button_click:target_2,10879745068000,1132.449,1.132449
button_click:distractor_2,10880689565300,944.497,0.944497
button_click:target_2,10882008587600,1319.022,1.319022
button_click:actual_audio,10884082133000,2073.545,2.073545
button_click:target_1,10885214136700,1132.004,1.132004
button_click:target_2,10886722692800,1508.556,1.508556
button_click:distractor_2,10887728240500,1005.548,1.005548
button_click:target_2,10889551933900,1823.693,1.823693
button_click:distractor_1,10891438764500,1886.831,1.886831
button_click:target_2,10893263945200,1825.181,1.825181
button_click:target_1,10894963190500,1699.245,1.699245
button_click:actual_audio,10895906717000,943.527,0.943527
button_click:target_1,10896724489400,817.772,0.817772
button_click:actual_audio,10897542859400,818.370,0.818370
button_click:target_1,10898424194300,881.335,0.881335
button_click:actual_audio,10899243581900,819.388,0.819388
button_click:distractor_1,10900127007600,883.426,0.883426
button_click:actual_audio,10900945737100,818.730,0.818729
button_click:distractor_1,10901701171500,755.434,0.755434
button_click:actual_audio,10902582358500,881.187,0.881187
button_click:target_1,10903463396700,881.038,0.881038
button_click:distractor_1,10904847195300,1383.799,1.383799
button_click:target_1,10905916252100,1069.057,1.069057
button_click:distractor_1,10906923632800,1007.381,1.007381
button_click:target_2,10907805625100,881.992,0.881992
button_click:distractor_2,10908497426500,691.801,0.691801
button_click:target_2,10909190097400,692.671,0.692671
button_click:distractor_1,10909945570500,755.473,0.755473
button_click:target_2,10910763809300,818.239,0.818239
button_click:target_1,10911833650800,1069.841,1.069841
button_click:distractor_1,10913156569100,1322.918,1.322918
button_click:distractor_1,10914036025300,879.456,0.879456
button_click:target_1,10915293392800,1257.368,1.257367
button_click:target_0,10916425317400,1131.925,1.131925
button_click:actual_audio,10917555529300,1130.212,1.130212
button_click:target_1,10919064177500,1508.648,1.508648
button_click:distractor_0,10921074427300,2010.250,2.010250
button_click:actual_audio,10922394978200,1320.551,1.320551
button_click:actual_audio,10923779307500,1384.329,1.384329
button_click:actual_audio,10925035327900,1256.020,1.256020
button_click:actual_audio,10926165133400,1129.805,1.129806
button_click:actual_audio,10927357176300,1192.043,1.192043
button_click:target_1,10928927901200,1570.725,1.570725
button_click:distractor_1,10930437774300,1509.873,1.509873
button_click:target_0,10933202284400,2764.510,2.764510
button_click:distractor_0,10934271548900,1069.264,1.069265
button_click:target_0,10936406968400,2135.419,2.135419
button_click:distractor_0,10937852317200,1445.349,1.445349
button_click:target_1,10938983631400,1131.314,1.131314
button_click:actual_audio,10939801561000,817.930,0.817930
button_click:distractor_1,10940681505200,879.944,0.879944
button_click:target_1,10942252317400,1570.812,1.570812
button_click:distractor_1,10944763313500,2510.996,2.510996
button_click:target_1,10947211160100,2447.847,2.447847
button_click:actual_audio,10948468751700,1257.592,1.257592
button_click:target_1,10949286071700,817.320,0.817320
button_click:continue,10950354944900,1068.873,1.068873
