Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,13551404873400,0,0.0
key_press:space_intro,13555892707300,4487.834,4.487834
screen_presented:Q1,13555902847600,10.140,0.010140
option_selected:Q1_option1,13563710664300,7807.817,7.807817
submit_clicked:Q1,13564623740200,913.076,0.913076
screen_presented:Q2,13564623997500,0.257,0.000257
option_selected:Q2_option3,13570112663300,5488.666,5.488666
submit_clicked:Q2,13571134752300,1022.089,1.022089
screen_presented:Q3,13571134999100,0.247,0.000247
option_selected:Q3_option1,13573916240900,2781.242,2.781242
submit_clicked:Q3,13575105240800,1189.000,1.189000
screen_presented:Q4,13575105486900,0.246,0.000246
option_selected:Q4_option0,13578242185500,3136.699,3.136699
submit_clicked:Q4,13579221433400,979.248,0.979248
screen_presented:Q5,13579221678500,0.245,0.000245
option_selected:Q5_option1,13581601002400,2379.324,2.379324
option_selected:Q5_option2,13583646860100,2045.858,2.045858
submit_clicked:Q5,13584370471700,723.612,0.723612
screen_presented:Q6,13584370721400,0.250,0.000250
option_selected:Q6_option1,13587907167100,3536.446,3.536446
submit_clicked:Q6,13588808275400,901.108,0.901108
screen_presented:Q7,13588808528300,0.253,0.000253
option_selected:Q7_option3,13591354525700,2545.997,2.545997
submit_clicked:Q7,13592144984600,790.459,0.790459
screen_presented:Q8,13592145235400,0.251,0.000251
option_selected:Q8_option3,13596115186500,3969.951,3.969951
submit_clicked:Q8,13596949323100,834.137,0.834137
screen_presented:Q9,13596949573100,0.250,0.000250
option_selected:Q9_option0,13598940724600,1991.151,1.991151
submit_clicked:Q9,13599949302300,1008.578,1.008578
