Event,Timestamp_ns,ms_since_last,s_since_last
screen_presented,13599971737000,0,0.0
key_press:space_intro,13604932033700,4960.297,4.960297
screen_presented:Q1,13604967611600,35.578,0.035578
option_selected:Q1_option1,13613223941700,8256.330,8.256330
submit_clicked:Q1,13614112874900,888.933,0.888933
screen_presented:Q2,13614113121100,0.246,0.000246
option_selected:Q2_option2,13624540716000,10427.595,10.427595
submit_clicked:Q2,13625531792300,991.076,0.991076
screen_presented:Q3,13625532038500,0.246,0.000246
option_selected:Q3_option1,13632464774600,6932.736,6.932736
submit_clicked:Q3,13633315617600,850.843,0.850843
screen_presented:Q4,13633315864200,0.247,0.000247
option_selected:Q4_option2,13636410306400,3094.442,3.094442
submit_clicked:Q4,13637319462600,909.156,0.909156
screen_presented:Q5,13637319715500,0.253,0.000253
option_selected:Q5_option0,13643969402900,6649.687,6.649687
submit_clicked:Q5,13645462265500,1492.863,1.492863
screen_presented:Q6,13645462507100,0.242,0.000242
option_selected:Q6_option1,13647965640200,2503.133,2.503133
submit_clicked:Q6,13648815247000,849.607,0.849607
screen_presented:Q7,13648815488800,0.242,0.000242
option_selected:Q7_option1,13652901163300,4085.675,4.085674
submit_clicked:Q7,13654211227200,1310.064,1.310064
screen_presented:Q8,13654211482200,0.255,0.000255
option_selected:Q8_option0,13658306111600,4094.629,4.094629
submit_clicked:Q8,13659174392300,868.281,0.868281
screen_presented:Q9,13659174637500,0.245,0.000245
option_selected:Q9_option0,13665446520900,6271.883,6.271883
submit_clicked:Q9,13666309506300,862.985,0.862985
screen_presented:Q10,13666309752000,0.246,0.000246
option_selected:Q10_option0,13672001795300,5692.043,5.692043
submit_clicked:Q10,13672965181200,963.386,0.963386
screen_presented:Q11,13672965425100,0.244,0.000244
option_selected:Q11_option1,13681619943400,8654.518,8.654518
submit_clicked:Q11,13682355564300,735.621,0.735621
screen_presented:Q12,13682355807800,0.243,0.000244
option_selected:Q12_option2,13685147048400,2791.241,2.791241
option_selected:Q12_option3,13687450306900,2303.258,2.303259
option_selected:Q12_option2,13688953222900,1502.916,1.502916
submit_clicked:Q12,13689802593400,849.370,0.849371
screen_presented:Q13,13689802834900,0.241,0.000241
option_selected:Q13_option1,13695392597600,5589.763,5.589763
submit_clicked:Q13,13696310135800,917.538,0.917538
screen_presented:Q14,13696310377600,0.242,0.000242
option_selected:Q14_option0,13699135361200,2824.984,2.824984
submit_clicked:Q14,13702141585500,3006.224,3.006224
screen_presented:Q15,13702141843000,0.258,0.000258
option_selected:Q15_option0,13705144437400,3002.594,3.002594
submit_clicked:Q15,13706517324900,1372.888,1.372888
screen_presented:Q16,13706517569100,0.244,0.000244
option_selected:Q16_option1,13710307651900,3790.083,3.790083
submit_clicked:Q16,13711267209600,959.558,0.959558
screen_presented:Q17,13711267465400,0.256,0.000256
option_selected:Q17_option1,13716041500600,4774.035,4.774035
submit_clicked:Q17,13717828769200,1787.269,1.787269
screen_presented:Q18,13717829019600,0.250,0.000250
option_selected:Q18_option1,13721501940300,3672.921,3.672921
submit_clicked:Q18,13722945185200,1443.245,1.443245
screen_presented:Q19,13722945422200,0.237,0.000237
option_selected:Q19_option0,13726515393200,3569.971,3.569971
submit_clicked:Q19,13730060767300,3545.374,3.545374
screen_presented:Q20,13730061009000,0.242,0.000242
option_selected:Q20_option1,13732944912200,2883.903,2.883903
submit_clicked:Q20,13734200331600,1255.419,1.255419
screen_presented:Q21,13734200574300,0.243,0.000243
option_selected:Q21_option1,13737384152900,3183.579,3.183579
submit_clicked:Q21,13738518757700,1134.605,1.134605
screen_presented:Q22,13738518990400,0.233,0.000233
option_selected:Q22_option1,13746391371400,7872.381,7.872381
option_selected:Q22_option2,13749149695400,2758.324,2.758324
option_selected:Q22_option1,13750355484300,1205.789,1.205789
submit_clicked:Q22,13751212443500,856.959,0.856959
screen_presented:Q23,13751212687400,0.244,0.000244
option_selected:Q23_option1,13763551765700,12339.078,12.339078
submit_clicked:Q23,13765111448400,1559.683,1.559683
screen_presented:Q24,13765111698100,0.250,0.000250
option_selected:Q24_option1,13769207417200,4095.719,4.095719
submit_clicked:Q24,13769932828900,725.412,0.725412
screen_presented:Q25,13769933076400,0.247,0.000247
option_selected:Q25_option1,13775935207800,6002.131,6.002131
submit_clicked:Q25,13776852377400,917.170,0.917170
screen_presented:Q26,13776852607600,0.230,0.000230
option_selected:Q26_option2,13780023355800,3170.748,3.170748
submit_clicked:Q26,13780785367900,762.012,0.762012
screen_presented:Q27,13780785607500,0.240,0.000240
option_selected:Q27_option1,13788009588600,7223.981,7.223981
submit_clicked:Q27,13788834436600,824.848,0.824848
screen_presented:Q28,13788834688000,0.251,0.000251
option_selected:Q28_option1,13792785512600,3950.825,3.950825
submit_clicked:Q28,13793455256400,669.744,0.669744
screen_presented:Q29,13793455486000,0.230,0.000230
option_selected:Q29_option1,13796384029700,2928.544,2.928544
submit_clicked:Q29,13801338790800,4954.761,4.954761
screen_presented:Q30,13801339023500,0.233,0.000233
option_selected:Q30_option1,13804341948800,3002.925,3.002925
submit_clicked:Q30,13805025938400,683.990,0.683990
screen_presented:Q31,13805026179600,0.241,0.000241
option_selected:Q31_option0,13807862057800,2835.878,2.835878
submit_clicked:Q31,13808879517200,1017.459,1.017459
screen_presented:Q32,13808879769000,0.252,0.000252
option_selected:Q32_option2,13811907192000,3027.423,3.027423
option_selected:Q32_option3,13813208404100,1301.212,1.301212
submit_clicked:Q32,13814192749300,984.345,0.984345
screen_presented:Q33,13814192997800,0.248,0.000249
option_selected:Q33_option0,13819404885300,5211.887,5.211887
submit_clicked:Q33,13820556237700,1151.352,1.151352
screen_presented:Q34,13820556483100,0.245,0.000245
option_selected:Q34_option2,13824579610900,4023.128,4.023128
option_selected:Q34_option1,13825418308500,838.698,0.838698
option_selected:Q34_option2,13827153352500,1735.044,1.735044
option_selected:Q34_option1,13828020722000,867.370,0.867370
submit_clicked:Q34,13828776874500,756.153,0.756153
