site,subject,block_type,hit_rate,fa_rate,d_prime,criterion,accuracy,auc,n_target,n_distractor,p_perm_dprime
Oberlin,2242025001,full_sentence,0.5066666666666667,0.5540540540540541,-0.1175958409701302,-0.07528964350692297,0.47651006711409394,0.4763063063063063,75,74,0.6343656343656343
Oberlin,2242025001,imagined_sentence,0.6081081081081081,0.5733333333333334,0.08823441694136061,-0.22652443130515432,0.5167785234899329,0.5173873873873874,74,75,0.7652347652347652
Oberlin,2262025001,full_sentence,0.5540540540540541,0.49333333333333335,0.15057928701384607,-0.05879792048506503,0.5302013422818792,0.5303603603603603,74,75,0.5364635364635365
Oberlin,2262025001,imagined_sentence,0.48,0.47297297297297297,0.017400150001846068,0.05819320019278639,0.5033557046979866,0.5035135135135135,75,74,1.0
Oberlin,3032025001,full_sentence,0.44,0.3918918918918919,0.12167372074566929,0.20980477940299996,0.5234899328859061,0.524054054054054,75,74,0.6263736263736264
Oberlin,3032025001,imagined_sentence,0.5333333333333333,0.5945945945945946,-0.1535794851078928,-0.1593382754580593,0.4697986577181208,0.46936936936936935,75,74,0.5154845154845155
Oberlin,3032025002,full_sentence,0.5,0.48,0.04949312519186336,0.02474656259593168,0.5100671140939598,0.51,74,75,0.8661338661338661
Oberlin,3032025002,imagined_sentence,0.3333333333333333,0.17567567567567569,0.49066131289748005,0.670034431394074,0.5771812080536913,0.5788288288288288,75,74,0.04595404595404595
Oberlin,3062025001,full_sentence,0.5866666666666667,0.4864864864864865,0.24947973732751375,-0.09131193383350163,0.5503355704697986,0.5500900900900901,75,74,0.24575424575424576
Oberlin,3062025001,imagined_sentence,0.5466666666666666,0.527027027027027,0.04880113459657785,-0.0912938424919982,0.5100671140939598,0.5098198198198198,75,74,0.8771228771228772
Oberlin,3062025002,full_sentence,0.2702702702702703,0.17333333333333334,0.3216661544958306,0.7635956226109724,0.5503355704697986,0.5484684684684684,74,75,0.16983016983016982
Oberlin,3062025002,imagined_sentence,0.3333333333333333,0.36486486486486486,-0.08400894785753837,0.3826993010165648,0.48322147651006714,0.4842342342342342,75,74,0.7132867132867133
Oberlin,3102025001,full_sentence,0.56,0.4594594594594595,0.24940163954163508,-0.024267099259347787,0.5503355704697986,0.5502702702702703,75,74,0.24275724275724275
Oberlin,3102025001,imagined_sentence,0.35135135135135137,0.38666666666666666,-0.09221317519954442,0.33023002090890347,0.48322147651006714,0.4823423423423423,74,75,0.7362637362637363
Oberlin,3102025002,full_sentence,0.5466666666666666,0.47297297297297297,0.18258768498399658,-0.024400567298288857,0.5369127516778524,0.5368468468468468,75,74,0.41358641358641357
Oberlin,3102025002,imagined_sentence,0.5,0.37333333333333335,0.31863936396437514,0.15931968198218757,0.5637583892617449,0.5633333333333334,74,75,0.15184815184815184
Oberlin,3132025001,full_sentence,0.44594594594594594,0.49333333333333335,-0.11759584097013007,0.07528964350692303,0.47651006711409394,0.47630630630630627,74,75,0.6023976023976024
Oberlin,3132025001,imagined_sentence,0.5135135135135135,0.49333333333333335,0.04991965785211323,-0.00846810590419862,0.5100671140939598,0.51009009009009,74,75,0.8821178821178821
Oberlin,3132026002,full_sentence,0.44,0.4594594594594595,-0.04853419851869557,0.12470081977081754,0.4899328859060403,0.4902702702702703,75,74,0.8631368631368631
Oberlin,3132026002,imagined_sentence,0.3333333333333333,0.36486486486486486,-0.08400894785753837,0.3826993010165648,0.48322147651006714,0.4842342342342342,75,74,0.7442557442557443
Oberlin,3172026001,full_sentence,0.38666666666666666,0.35135135135135137,0.09221317519954442,0.33023002090890347,0.5167785234899329,0.5176576576576577,75,74,0.7612387612387612
Oberlin,3172026001,imagined_sentence,0.3783783783783784,0.3466666666666667,0.08339447618357071,0.34717802619118276,0.5167785234899329,0.5158558558558559,74,75,0.7312687312687313
Oberlin,3192026001,full_sentence,0.6216216216216216,0.5466666666666666,0.18978637830911024,-0.21058759894484225,0.5369127516778524,0.5374774774774775,74,75,0.3946053946053946
Oberlin,3192026001,imagined_sentence,0.4864864864864865,0.49333333333333335,-0.01693621180839724,0.024959828926056617,0.4966442953020134,0.4965765765765765,74,75,1.0
Oberlin,3202026001,full_sentence,0.5,0.41333333333333333,0.2160518024972585,0.10802590124862925,0.5436241610738255,0.5433333333333333,74,75,0.3246753246753247
Oberlin,3202026001,imagined_sentence,0.5,0.49333333333333335,0.016491723021857998,0.008245861510928999,0.5033557046979866,0.5033333333333333,74,75,1.0
Oberlin,3202026002,full_sentence,0.527027027027027,0.4,0.3168360814465311,0.09152476552955624,0.5637583892617449,0.5635135135135135,74,75,0.12287712287712288
Oberlin,3202026002,imagined_sentence,0.4,0.47297297297297297,-0.18304953105911237,0.1584180407232656,0.46308724832214765,0.46351351351351344,75,74,0.4145854145854146
Oberlin,4142026001,full_sentence,0.41333333333333333,0.36486486486486486,0.12464302459053708,0.278373314792527,0.5234899328859061,0.5242342342342342,75,74,0.6133866133866134
Oberlin,4142026001,imagined_sentence,0.33783783783783783,0.29333333333333333,0.12332460061423689,0.4741254297485232,0.5234899328859061,0.5222522522522522,74,75,0.6283716283716284
Oberlin,4142026002,full_sentence,0.5333333333333333,0.4594594594594595,0.1829822534155826,0.008942593803678435,0.5369127516778524,0.5369369369369369,75,74,0.42657342657342656
Oberlin,4142026002,imagined_sentence,0.5135135135135135,0.4,0.283370741083077,0.10825743571128327,0.5570469798657718,0.5567567567567568,74,75,0.1888111888111888
UChicago,3292026001,full_sentence,0.5066666666666667,0.6216216216216216,-0.2889890650775395,-0.16098625556062762,0.4429530201342282,0.44252252252252255,75,74,0.1848151848151848
UChicago,3292026001,imagined_sentence,0.5,0.4533333333333333,0.11569440979028714,0.05784720489514357,0.5234899328859061,0.5233333333333333,74,75,0.6213786213786214
UChicago,4032026001,full_sentence,0.44,0.5,-0.14896791903016532,0.07448395951508266,0.4697986577181208,0.47,75,74,0.5124875124875125
UChicago,4032026001,imagined_sentence,0.3783783783783784,0.38666666666666666,-0.021357354790266125,0.2948021107042643,0.4966442953020134,0.4958558558558559,74,75,1.0
UChicago,4042026001,full_sentence,0.52,0.44594594594594594,0.18358068918385143,0.042297219400062355,0.5369127516778524,0.5370270270270271,75,74,0.3786213786213786
UChicago,4042026001,imagined_sentence,0.43243243243243246,0.5066666666666667,-0.18438572780996332,0.0757011408831238,0.46308724832214765,0.46288288288288293,74,75,0.3926073926073926
UChicago,4042026002,full_sentence,0.5066666666666667,0.40540540540540543,0.25261974103386337,0.10981814749507383,0.5503355704697986,0.5506306306306307,75,74,0.24975024975024976
UChicago,4042026002,imagined_sentence,0.4864864864864865,0.4533333333333333,0.0822664749600319,0.07456117231027119,0.5167785234899329,0.5165765765765765,74,75,0.7802197802197802
UChicago,4042026003,full_sentence,0.5135135135135135,0.5866666666666667,-0.18262386766700325,-0.12473986866375687,0.46308724832214765,0.46342342342342346,74,75,0.4165834165834166
UChicago,4042026003,imagined_sentence,0.4533333333333333,0.6081081081081081,-0.3863360495661218,-0.07747361499277373,0.4228187919463087,0.4226126126126126,75,74,0.06893106893106893
UChicago,4062026001,full_sentence,0.44594594594594594,0.4666666666666667,-0.051539031087875345,0.1083180484480504,0.4899328859060403,0.48963963963963963,74,75,0.8621378621378621
