block_type,model,n_subjects,mean_auc,median_auc,std_auc
full_sentence,single_lagged_xcorr_max,26,0.5220419918113351,0.5295916020254254,0.0656978039872065
full_sentence,trial_order_only,26,0.5215841634908467,0.5502484647705236,0.07184679655224252
full_sentence,single_pearson_raw,26,0.5205510526591076,0.5263744343891402,0.07741733672153277
full_sentence,single_mfcc_cosine,26,0.5204575611701894,0.5256839701692642,0.05467392891053205
full_sentence,single_envelope_corr,26,0.5113018130480932,0.5106192810457517,0.08507108772829913
full_sentence,single_log_spectrum_corr,26,0.5104438707590662,0.5151210317460317,0.06600360406937847
full_sentence,all_metrics,26,0.5090935646431235,0.5118451842275371,0.07067622217214377
full_sentence,true_label_baseline,26,0.5051012775337601,0.5305654761904762,0.05402572767386202
imagined_sentence,single_lagged_xcorr_max,26,0.5277766341332395,0.5259412499265441,0.0663031318245501
imagined_sentence,single_pearson_raw,26,0.5213922417148211,0.5333450545555809,0.07389333455666304
imagined_sentence,all_metrics,26,0.5201985394141627,0.5199856459330143,0.06740660091458095
imagined_sentence,trial_order_only,26,0.5187472426699559,0.5362913899813213,0.0726133547907965
imagined_sentence,single_log_spectrum_corr,26,0.5185198169996893,0.5280864661654137,0.07099620513815241
imagined_sentence,single_mfcc_cosine,26,0.5164409448480177,0.5185891793964549,0.07146716787032117
imagined_sentence,single_envelope_corr,26,0.5137220822303619,0.5227907868275514,0.07608279779173285
imagined_sentence,true_label_baseline,26,0.4983982463337538,0.4747820308346624,0.052882056686066534
