site,subject,block_type,model,n_trials,cv_auc,cv_auc_std
Oberlin,2242025001,full_sentence,true_label_baseline,149,0.45726190476190476,0.10098975189920081
Oberlin,2242025001,full_sentence,trial_order_only,149,0.4260714285714286,0.08750619511596579
Oberlin,2242025001,full_sentence,single_pearson_raw,149,0.5816071428571429,0.1360599451472379
Oberlin,2242025001,full_sentence,single_lagged_xcorr_max,149,0.3857738095238095,0.0904936934824229
Oberlin,2242025001,full_sentence,single_envelope_corr,149,0.5480952380952381,0.07187252904162343
Oberlin,2242025001,full_sentence,single_log_spectrum_corr,149,0.3701785714285714,0.09441785923678393
Oberlin,2242025001,full_sentence,single_mfcc_cosine,149,0.4866071428571429,0.08294445830352563
Oberlin,2242025001,full_sentence,all_metrics,149,0.5721428571428572,0.10983434883347497
Oberlin,2242025001,imagined_sentence,true_label_baseline,149,0.5187028657616893,0.04671262075965347
Oberlin,2242025001,imagined_sentence,trial_order_only,149,0.43425925925925934,0.049307614354151555
Oberlin,2242025001,imagined_sentence,single_pearson_raw,149,0.5498198424669012,0.11942593790683541
Oberlin,2242025001,imagined_sentence,single_lagged_xcorr_max,149,0.5836349924585218,0.08455371452886248
Oberlin,2242025001,imagined_sentence,single_envelope_corr,149,0.3871040723981901,0.046158048223504236
Oberlin,2242025001,imagined_sentence,single_log_spectrum_corr,149,0.5394126026478967,0.08409967530362573
Oberlin,2242025001,imagined_sentence,single_mfcc_cosine,149,0.489291101055807,0.1096739113134368
Oberlin,2242025001,imagined_sentence,all_metrics,149,0.5973940003351768,0.09896466918006748
Oberlin,2262025001,full_sentence,true_label_baseline,149,0.5301785714285714,0.09072834536715209
Oberlin,2262025001,full_sentence,trial_order_only,149,0.5565714285714286,0.0710950706469498
Oberlin,2262025001,full_sentence,single_pearson_raw,149,0.5071031746031747,0.08976863668214653
Oberlin,2262025001,full_sentence,single_lagged_xcorr_max,149,0.5236547619047618,0.055887216359208236
Oberlin,2262025001,full_sentence,single_envelope_corr,149,0.5473015873015873,0.09705661713637652
Oberlin,2262025001,full_sentence,single_log_spectrum_corr,149,0.515781746031746,0.02757300257772854
Oberlin,2262025001,full_sentence,single_mfcc_cosine,149,0.5444523809523809,0.07945175485290647
Oberlin,2262025001,full_sentence,all_metrics,149,0.46176190476190476,0.0841849562535399
Oberlin,2262025001,imagined_sentence,true_label_baseline,149,0.47124999999999995,0.03224443825198294
Oberlin,2262025001,imagined_sentence,trial_order_only,149,0.4404365079365079,0.07717704615860013
Oberlin,2262025001,imagined_sentence,single_pearson_raw,149,0.4328452380952381,0.09832340547139354
Oberlin,2262025001,imagined_sentence,single_lagged_xcorr_max,149,0.4373174603174602,0.0629844870061395
Oberlin,2262025001,imagined_sentence,single_envelope_corr,149,0.5238055555555555,0.07135806749713854
Oberlin,2262025001,imagined_sentence,single_log_spectrum_corr,149,0.544063492063492,0.06738528904286363
Oberlin,2262025001,imagined_sentence,single_mfcc_cosine,149,0.3963730158730158,0.04913589169700355
Oberlin,2262025001,imagined_sentence,all_metrics,149,0.4973412698412698,0.022067506343735086
Oberlin,3032025001,full_sentence,true_label_baseline,149,0.39309954751131215,0.06053241436485298
Oberlin,3032025001,full_sentence,trial_order_only,149,0.5628163231104407,0.16258257879985427
Oberlin,3032025001,full_sentence,single_pearson_raw,149,0.4977333668510139,0.11771436170786465
Oberlin,3032025001,full_sentence,single_lagged_xcorr_max,149,0.49938411261940663,0.13130729407263628
Oberlin,3032025001,full_sentence,single_envelope_corr,149,0.42328640858052624,0.06936783412918535
Oberlin,3032025001,full_sentence,single_log_spectrum_corr,149,0.5325582369700017,0.09855880812698507
Oberlin,3032025001,full_sentence,single_mfcc_cosine,149,0.5176009720127366,0.08983107956849093
Oberlin,3032025001,full_sentence,all_metrics,149,0.5048307357130887,0.09649373613188776
Oberlin,3032025001,imagined_sentence,true_label_baseline,149,0.5306278280542986,0.0679912483890153
Oberlin,3032025001,imagined_sentence,trial_order_only,149,0.5612556561085974,0.07061297643335261
Oberlin,3032025001,imagined_sentence,single_pearson_raw,149,0.47652714932126694,0.052284597956500554
Oberlin,3032025001,imagined_sentence,single_lagged_xcorr_max,149,0.5531674208144797,0.06411143581585861
Oberlin,3032025001,imagined_sentence,single_envelope_corr,149,0.5217760180995474,0.059047714982920746
Oberlin,3032025001,imagined_sentence,single_log_spectrum_corr,149,0.5965497737556561,0.048950540157887315
Oberlin,3032025001,imagined_sentence,single_mfcc_cosine,149,0.5497737556561086,0.030218656754866964
Oberlin,3032025001,imagined_sentence,all_metrics,149,0.5927601809954751,0.051193251126627884
Oberlin,3032025002,full_sentence,true_label_baseline,149,0.5104761904761904,0.03916938042415007
Oberlin,3032025002,full_sentence,trial_order_only,149,0.5635119047619048,0.09514678989652782
Oberlin,3032025002,full_sentence,single_pearson_raw,149,0.5735396825396825,0.08332555670441562
Oberlin,3032025002,full_sentence,single_lagged_xcorr_max,149,0.5415396825396825,0.10357912882644578
Oberlin,3032025002,full_sentence,single_envelope_corr,149,0.5109444444444444,0.08050420757725475
Oberlin,3032025002,full_sentence,single_log_spectrum_corr,149,0.5556428571428571,0.09282085982224356
Oberlin,3032025002,full_sentence,single_mfcc_cosine,149,0.5519603174603175,0.14002478724527276
Oberlin,3032025002,full_sentence,all_metrics,149,0.51075,0.07794439595746509
Oberlin,3032025002,imagined_sentence,true_label_baseline,149,0.6020821569734613,0.06869318653119971
Oberlin,3032025002,imagined_sentence,trial_order_only,149,0.5347261434217956,0.07074416976148458
Oberlin,3032025002,imagined_sentence,single_pearson_raw,149,0.5689017504234896,0.16822078816575595
Oberlin,3032025002,imagined_sentence,single_lagged_xcorr_max,149,0.45347967250141163,0.0928926328861383
Oberlin,3032025002,imagined_sentence,single_envelope_corr,149,0.5492941840767929,0.10393313680871459
Oberlin,3032025002,imagined_sentence,single_log_spectrum_corr,149,0.4409655561829475,0.053913163344122536
Oberlin,3032025002,imagined_sentence,single_mfcc_cosine,149,0.44382411067193683,0.0482424765288917
Oberlin,3032025002,imagined_sentence,all_metrics,149,0.4321569734613212,0.0923541744203313
Oberlin,3062025001,full_sentence,true_label_baseline,149,0.5508241758241758,0.0908996668942883
Oberlin,3062025001,full_sentence,trial_order_only,149,0.42870879120879124,0.07974093356950017
Oberlin,3062025001,full_sentence,single_pearson_raw,149,0.4271291208791209,0.049269643912399845
Oberlin,3062025001,full_sentence,single_lagged_xcorr_max,149,0.3994505494505495,0.06198061878376385
Oberlin,3062025001,full_sentence,single_envelope_corr,149,0.4115384615384616,0.08670526180240809
Oberlin,3062025001,full_sentence,single_log_spectrum_corr,149,0.5453983516483516,0.08394655478995985
Oberlin,3062025001,full_sentence,single_mfcc_cosine,149,0.42767857142857146,0.06117211833200229
Oberlin,3062025001,full_sentence,all_metrics,149,0.47857142857142854,0.07272265247963298
Oberlin,3062025001,imagined_sentence,true_label_baseline,149,0.4400412087912088,0.05963880129557798
Oberlin,3062025001,imagined_sentence,trial_order_only,149,0.4247252747252747,0.0714178061414229
Oberlin,3062025001,imagined_sentence,single_pearson_raw,149,0.4035714285714286,0.059063697887647225
Oberlin,3062025001,imagined_sentence,single_lagged_xcorr_max,149,0.3791208791208791,0.08993503329147386
Oberlin,3062025001,imagined_sentence,single_envelope_corr,149,0.4873626373626374,0.09075279274366196
Oberlin,3062025001,imagined_sentence,single_log_spectrum_corr,149,0.4489697802197803,0.09132332607433633
Oberlin,3062025001,imagined_sentence,single_mfcc_cosine,149,0.47967032967032974,0.08925781474502048
Oberlin,3062025001,imagined_sentence,all_metrics,149,0.3856456043956044,0.10415131916080969
Oberlin,3062025002,full_sentence,true_label_baseline,149,0.5668478260869565,0.037361100344990725
Oberlin,3062025002,full_sentence,trial_order_only,149,0.5530969634230504,0.07139535948186809
Oberlin,3062025002,full_sentence,single_pearson_raw,149,0.5203502415458937,0.05927213223798612
Oberlin,3062025002,full_sentence,single_lagged_xcorr_max,149,0.5901915113871634,0.1331307313416106
Oberlin,3062025002,full_sentence,single_envelope_corr,149,0.5718426501035196,0.10458376494191013
Oberlin,3062025002,full_sentence,single_log_spectrum_corr,149,0.5061680469289165,0.07959415173947994
Oberlin,3062025002,full_sentence,single_mfcc_cosine,149,0.4647256728778467,0.07405472166425799
Oberlin,3062025002,full_sentence,all_metrics,149,0.5169772256728778,0.06759002038174973
Oberlin,3062025002,imagined_sentence,true_label_baseline,149,0.42153110047846887,0.08725589136063425
