block_type,subject,intercept,w_pearson_raw,w_lagged_xcorr_max,w_envelope_corr,w_log_spectrum_corr,w_mfcc_cosine,cluster_k2,cluster_k3,cluster_k4
full_sentence,2242025001,0.12887002838439507,0.39795612418320975,-0.10667527630379386,0.30353649841777997,0.05956220361632863,0.13227195314253834,0,1,1
full_sentence,2262025001,0.09493552076456287,-0.12420188274257533,0.0416011350864083,0.08663444124632848,-0.02758072397178091,-0.12527311630854196,1,2,2
full_sentence,3032025001,-0.34824924639145644,-0.07548913782827779,0.06715153546161971,-0.023280003564081553,0.24945350902979002,0.15750410564163886,0,1,1
full_sentence,3032025002,-0.04111470468719777,0.1594738097605024,0.07309915259743174,0.10987636750028991,-0.12886199243305188,-0.1236787730830999,1,2,2
full_sentence,3062025001,0.1505579479090286,0.022023762047249214,0.03358366140797452,0.0005652597727083342,-0.26569526545857425,0.051410187699443374,1,0,3
full_sentence,3062025002,-1.3085829709463328,0.19357216159684645,0.31737236750317,0.12980389219370267,0.1398232153984646,-0.052453711986118014,1,2,0
full_sentence,3102025001,0.04074777136663796,-0.032065988261506084,-0.030577059869277664,0.08709891059526213,-0.1746753013019866,-0.1296121951550181,1,2,2
full_sentence,3102025002,0.041359895144544516,-0.049331914378272015,-0.1525831792455466,-0.1438154560711387,0.07646170010483483,-0.14484937484559718,0,2,0
full_sentence,3132025001,-0.1230391239949175,-0.1667607462669516,-0.08862942781052797,0.11927116142207739,-0.01813693126357063,-0.1210311504614229,0,2,2
full_sentence,3132026002,-0.21036659112485964,0.21619865391055101,0.02112528000219084,0.31654292954930646,0.1174037650987725,0.021729500753519388,0,1,1
full_sentence,3172026001,-0.5519382477979623,-0.029914946987893473,-0.19795100383419065,0.1737028007947977,0.15726399491769777,-0.20334632433405822,0,2,2
full_sentence,3192026001,0.3480391042568867,-0.2374718160872487,0.06902601269363393,-0.054380519130522505,-0.15535005601076005,-0.16984717735823748,1,2,2
full_sentence,3202026001,-0.17676752537580342,0.13386647110596514,0.06643286126187656,0.013010909547402706,0.06438467716821422,0.095724424202697,0,1,1
full_sentence,3202026002,-0.16001087451157525,0.39656354031692476,0.11250674535705092,-0.4916577936219383,-0.05241297288415288,0.07693610762800814,1,0,0
full_sentence,3292026001,0.27215374406316734,-0.37503824773520406,0.4048793522958924,-0.09140627022000801,-0.18184784303188126,-0.006563710146561414,1,0,3
full_sentence,4032026001,-0.12849990610958503,-0.13961493126684948,-0.09748743169745323,0.3622204661924144,-0.11120552115051746,-0.21314237118226034,0,2,2
full_sentence,4042026001,-0.06768347795839277,0.1116903901956571,-0.14379263036419998,-0.01082124117686337,0.12264545791728303,0.028242557846476897,0,1,1
full_sentence,4042026002,-0.1765883567686098,0.03929398776021974,-0.10918638270464401,0.0112521795201338,0.11405418183172121,0.10322026126201675,0,1,1
full_sentence,4042026003,0.20610955729239433,-0.14729577815772604,-0.16983555717203014,0.0008696794396266656,0.027630535563235394,-0.14299828486268903,0,2,2
full_sentence,4062026001,-0.18077538997666065,0.04457463093018473,-0.23938593881624698,0.08429448968535234,0.2509568875533704,-0.2879494632454603,0,2,2
full_sentence,4142026001,-0.45571923814690724,-0.15172627060641578,0.011834576054935087,-0.021013592507038298,-0.08020606385668706,-0.14174071156661966,1,2,2
full_sentence,4142026002,-0.014048837421408847,0.33401310706138865,0.05912576987576671,-0.013165654419331787,0.14633851378641402,-0.2462052769099822,1,2,0
full_sentence,4182026001,-0.4057919618801387,-0.05951682371748763,0.14969018022012898,0.09412149014413992,-0.3064144537853817,-0.0046899727094655485,1,0,3
full_sentence,4182026002,-0.2123556272703563,-0.17739496203140429,0.2547033475809284,-0.013017549276225374,-0.23676169746916423,0.18920499122562728,1,0,3
full_sentence,4192026001,0.2633032617807836,0.14785827051193265,-0.1554527656247028,0.03625651934578821,-0.21541238532619872,-0.007355933821342958,1,2,2
full_sentence,4192026002,0.26472444020443575,-0.20279565760458038,-0.144859734563638,0.2406267415058575,0.026773895342930405,0.10299538164204858,0,1,1
imagined_sentence,2242025001,0.39791220515874,0.3910006993670542,0.41878590731983883,-0.002022368893227411,-0.3656138608777409,0.15369534599389073,1,0,3
