block_type,tertile,metric,n,mean,median,std
full_sentence,low,d_prime,9,0.015170460748795756,0.0494931251918633,0.09356305262237256
full_sentence,med,d_prime,8,0.04240020842284403,0.13761115580219152,0.15948354039844773
full_sentence,high,d_prime,9,0.21042440579548208,0.2494797373275137,0.18546096446255844
full_sentence,low,abs_d_prime,9,0.08967377442586931,0.0922131751995444,0.03070507898647905
full_sentence,med,abs_d_prime,8,0.16369302637410935,0.16808358504594464,0.02091340356826359
full_sentence,high,abs_d_prime,9,0.2746441980349353,0.2526197410338633,0.05696283331709652
full_sentence,low,cos_ci_true,9,0.010698730028412533,0.0129467872748435,0.03241530021998203
full_sentence,med,cos_ci_true,8,0.008703865217240252,0.03362966998194175,0.07356503281791923
full_sentence,high,cos_ci_true,9,0.08103796095069132,0.0974657871796313,0.088934453101293
full_sentence,low,cos_w_true,9,-0.0009523332576086347,-0.0390753118082281,0.21968198486208002
full_sentence,med,cos_w_true,8,0.02223353795928107,0.0418826748919961,0.16178355098670383
full_sentence,high,cos_w_true,9,0.1647420641381584,0.1526143425391672,0.14472991918813072
full_sentence,low,beta_truetarget,9,0.037701874262760254,0.1372092167833799,0.14159958655077687
full_sentence,med,beta_truetarget,8,0.08088715162619681,0.18967353559694905,0.22588127114381187
full_sentence,high,beta_truetarget,9,0.3405752216029797,0.4263059855174284,0.2779025403923249
full_sentence,low,hit_rate,9,0.4509509509509509,0.4459459459459459,0.03459154743188446
full_sentence,med,hit_rate,8,0.5067792792792793,0.5266666666666666,0.04828029864486381
full_sentence,high,hit_rate,9,0.5243243243243243,0.527027027027027,0.10207457675258426
full_sentence,low,fa_rate,9,0.4452852852852852,0.4594594594594595,0.05992459196764092
full_sentence,med,fa_rate,8,0.4897297297297297,0.4831531531531531,0.07001536116773303
full_sentence,high,fa_rate,9,0.4436436436436436,0.4594594594594595,0.11717241407372773
full_sentence,low,accuracy,9,0.5026099925428784,0.5100671140939598,0.018296560993863266
full_sentence,med,accuracy,8,0.5083892617449665,0.5268456375838926,0.03196738067660681
full_sentence,high,accuracy,9,0.540641312453393,0.5503355704697986,0.03622657062338887
full_sentence,low,criterion,9,0.12966283393774977,0.1247008197708175,0.11361702184278916
full_sentence,med,criterion,8,0.004602556950772552,-0.0077289867473052005,0.12734815621000545
full_sentence,high,criterion,9,0.047306210313733325,-0.0242670992593477,0.2788572048894334
imagined_sentence,low,d_prime,9,0.03805459955218929,0.0488011345965778,0.03899914222392003
imagined_sentence,med,d_prime,8,0.0036774173822173503,0.002112734541911146,0.10950271363779696
imagined_sentence,high,d_prime,9,0.0028092271508060656,-0.1830495310591123,0.3114536658575006
imagined_sentence,low,abs_d_prime,9,0.04656428101855892,0.0488011345965778,0.0282993528990276
imagined_sentence,med,abs_d_prime,8,0.1071300563878458,0.10395379249491575,0.022967775490486207
imagined_sentence,high,abs_d_prime,9,0.29625231622438114,0.283370741083077,0.09615530596358027
imagined_sentence,low,cos_ci_true,9,0.0219973778345729,0.0208562379141752,0.029023878690786056
imagined_sentence,med,cos_ci_true,8,0.01245719385813214,0.0025719111179776516,0.04519892580153974
imagined_sentence,high,cos_ci_true,9,0.006426638843640164,-0.0803889046464481,0.14310071742102276
imagined_sentence,low,cos_w_true,9,0.09864829908562676,0.0670128484416032,0.12944583473749782
imagined_sentence,med,cos_w_true,8,0.05032520320161166,0.06042520260020565,0.17706871497352858
imagined_sentence,high,cos_w_true,9,-0.023336033510895384,-0.1146797581240101,0.22998064998549642
imagined_sentence,low,beta_truetarget,9,0.06565252665337934,0.0484785956454395,0.07253042390426927
imagined_sentence,med,beta_truetarget,8,0.047463359548825905,-0.0052028642098658,0.22383324479397318
imagined_sentence,high,beta_truetarget,9,0.00366914308827512,-0.2338128682539391,0.4522185983666535
imagined_sentence,low,hit_rate,9,0.48850850850850847,0.4864864864864865,0.07269817028579083
imagined_sentence,med,hit_rate,8,0.44132882882882885,0.42567567567567566,0.10625422214310712
imagined_sentence,high,hit_rate,9,0.465065065065065,0.4533333333333333,0.08003468683416078
imagined_sentence,low,fa_rate,9,0.4734734734734734,0.4933333333333333,0.06891445170721856
imagined_sentence,med,fa_rate,8,0.4396846846846847,0.41999999999999993,0.09978813487108698
imagined_sentence,high,fa_rate,9,0.4687087087087087,0.5066666666666667,0.12767073640443677
imagined_sentence,low,accuracy,9,0.5078299776286355,0.5100671140939598,0.0077496680428137754
imagined_sentence,med,accuracy,8,0.5008389261744967,0.5,0.021470610557163997
imagined_sentence,high,accuracy,9,0.4981357196122297,0.4630872483221476,0.05900086635302756
imagined_sentence,low,criterion,9,0.04786606227234475,0.0249598289260566,0.17695109740841472
imagined_sentence,med,criterion,8,0.15214728147319467,0.19403861290202346,0.2554959513305492
imagined_sentence,high,criterion,9,0.08886339217710164,0.0757011408831238,0.23704536705017587
