block_type,tertile,metric,n,mean,median,std
full_sentence,low,d_prime,9,-0.11777023591528539,-0.1175958409701302,0.09002146221496408
full_sentence,med,d_prime,8,0.13288727288726146,0.1238582949277301,0.03445517142756798
full_sentence,high,d_prime,9,0.26293215626896993,0.2494797373275137,0.06329395227249325
full_sentence,low,abs_d_prime,9,0.1287687081801439,0.1175958409701302,0.07343236289592706
full_sentence,med,abs_d_prime,8,0.13288727288726146,0.1238582949277301,0.03445517142756798
full_sentence,high,abs_d_prime,9,0.26293215626896993,0.2494797373275137,0.06329395227249325
full_sentence,low,cos_ci_true,9,-0.046035337512094404,-0.0659468155268205,0.057528989601705764
full_sentence,med,cos_ci_true,8,0.043943285280063686,0.036864819654835554,0.027610898887868322
full_sentence,high,cos_ci_true,9,0.10644809954646632,0.0974657871796313,0.03695130087600355
full_sentence,low,cos_w_true,9,-0.08465686041697386,-0.044303407435487,0.1515698388568623
full_sentence,med,cos_w_true,8,0.09991389679688632,0.12364561308688345,0.18679733135250706
full_sentence,high,cos_w_true,9,0.17939738344187453,0.1526143425391672,0.13356444916452037
full_sentence,low,beta_truetarget,9,-0.14674503705125644,-0.1703407321658913,0.14875951341078816
full_sentence,med,beta_truetarget,8,0.1934393543879795,0.17005470945596046,0.050909478417558475
full_sentence,high,beta_truetarget,9,0.4249757304620785,0.4263059855174284,0.07764873684991463
full_sentence,low,hit_rate,9,0.4813413413413413,0.5,0.03542282170888342
full_sentence,med,hit_rate,8,0.4709234234234234,0.45333333333333337,0.061126503713307294
full_sentence,high,hit_rate,9,0.5258058058058057,0.527027027027027,0.10190416347042293
full_sentence,low,fa_rate,9,0.5284884884884885,0.5,0.057800089618177744
full_sentence,med,fa_rate,8,0.41808558558558556,0.41216216216216217,0.0501761314215704
full_sentence,high,fa_rate,9,0.4241241241241241,0.4459459459459459,0.09914322229823291
full_sentence,low,accuracy,9,0.47651006711409394,0.4765100671140939,0.01789709172259509
full_sentence,med,accuracy,8,0.526006711409396,0.5234899328859061,0.007456538940700986
full_sentence,high,accuracy,9,0.5510812826249067,0.5503355704697986,0.012024247201041845
full_sentence,low,criterion,9,-0.012535001039173497,0.0247465625959316,0.11067046508312096
full_sentence,med,criterion,8,0.13916468692972497,0.1675130241245545,0.13917108668330436
full_sentence,high,criterion,9,0.06989326308714332,0.0422972194000623,0.2691343800123687
imagined_sentence,low,d_prime,9,-0.19270049520595575,-0.1830495310591123,0.1045966609979976
imagined_sentence,med,d_prime,8,0.03238711497326661,0.0331006422992119,0.03770896840150626
imagined_sentence,high,d_prime,9,0.2080445907169073,0.1233246006142368,0.1307595899004424
imagined_sentence,low,abs_d_prime,9,0.19270049520595575,0.1830495310591123,0.1045966609979976
imagined_sentence,med,abs_d_prime,8,0.041960506622932436,0.03507924469342195,0.026649716661612585
imagined_sentence,high,abs_d_prime,9,0.2080445907169073,0.1233246006142368,0.1307595899004424
imagined_sentence,low,cos_ci_true,9,-0.07938102045852521,-0.0803889046464481,0.05110385759202549
imagined_sentence,med,cos_ci_true,8,0.01573137094423562,0.02026990227261355,0.024378641161719006
imagined_sentence,high,cos_ci_true,9,0.10489465750464629,0.0721254329572711,0.05599262768170102
imagined_sentence,low,cos_w_true,9,-0.1118204814920455,-0.1256419112974174,0.12086815730290128
imagined_sentence,med,cos_w_true,8,0.10260273041612969,0.0770050024545144,0.13678455469430595
imagined_sentence,high,cos_w_true,9,0.14066383398720525,0.2365570137536977,0.1927595468157356
imagined_sentence,low,beta_truetarget,9,-0.278297322329128,-0.2466412145879716,0.1477875584920688
imagined_sentence,med,beta_truetarget,8,0.04817271877248036,0.0422092884993649,0.0562881163188233
imagined_sentence,high,beta_truetarget,9,0.34698845053864513,0.3423614654622027,0.18987465769476977
imagined_sentence,low,hit_rate,9,0.4166766766766766,0.4324324324324324,0.06442197320069847
imagined_sentence,med,hit_rate,8,0.5022747747747748,0.49324324324324326,0.06511575213449436
imagined_sentence,high,hit_rate,9,0.4827227227227227,0.5,0.10475405792565333
imagined_sentence,low,fa_rate,9,0.49331331331331324,0.5066666666666667,0.09460420159784119
imagined_sentence,med,fa_rate,8,0.48932432432432427,0.4933333333333333,0.05551222033576579
imagined_sentence,high,fa_rate,9,0.4047447447447447,0.4,0.11793245108100202
imagined_sentence,low,accuracy,9,0.46159582401193133,0.4630872483221476,0.02117087183680595
imagined_sentence,med,accuracy,8,0.5067114093959733,0.5067114093959733,0.007503583817113396
imagined_sentence,high,accuracy,9,0.5391498881431768,0.5234899328859061,0.021689842762489156
imagined_sentence,low,criterion,9,0.11393731245816875,0.0757011408831238,0.19712830060564387
imagined_sentence,med,criterion,8,0.010452066782490001,0.01660284521849275,0.15042402968496663
imagined_sentence,high,criterion,9,0.14874344393857067,0.1082574357112832,0.28655816901040504
