subset,subject
A_dprime_pos,2262025001
A_dprime_pos,3032025001
A_dprime_pos,3032025002
A_dprime_pos,3062025001
A_dprime_pos,3062025002
A_dprime_pos,3102025001
A_dprime_pos,3102025002
A_dprime_pos,3172026001
A_dprime_pos,3192026001
A_dprime_pos,3202026001
A_dprime_pos,3202026002
A_dprime_pos,4142026001
A_dprime_pos,4142026002
A_dprime_pos,4042026001
A_dprime_pos,4042026002
A_dprime_pos,4182026001
A_dprime_pos,4182026002
A_dprime_pos,4192026001
B_dprime_ge_0p10,2262025001
B_dprime_ge_0p10,3032025001
B_dprime_ge_0p10,3062025001
B_dprime_ge_0p10,3062025002
B_dprime_ge_0p10,3102025001
B_dprime_ge_0p10,3102025002
B_dprime_ge_0p10,3192026001
B_dprime_ge_0p10,3202026001
B_dprime_ge_0p10,3202026002
B_dprime_ge_0p10,4142026001
B_dprime_ge_0p10,4142026002
B_dprime_ge_0p10,4042026001
B_dprime_ge_0p10,4042026002
B_dprime_ge_0p10,4182026001
B_dprime_ge_0p10,4192026001
C_dprime_top_tert,3062025001
C_dprime_top_tert,3062025002
C_dprime_top_tert,3102025001
C_dprime_top_tert,3192026001
C_dprime_top_tert,3202026001
C_dprime_top_tert,3202026002
C_dprime_top_tert,4042026001
C_dprime_top_tert,4042026002
C_dprime_top_tert,4192026001
D_stably_aligned,3032025001
D_stably_aligned,3032025002
D_stably_aligned,3062025001
D_stably_aligned,3062025002
D_stably_aligned,3102025002
D_stably_aligned,3132026002
D_stably_aligned,3192026001
D_stably_aligned,3202026001
D_stably_aligned,3202026002
D_stably_aligned,4142026001
D_stably_aligned,4142026002
D_stably_aligned,4042026001
D_stably_aligned,4042026002
D_stably_aligned,4182026001
D_stably_aligned,4192026001
E_any_perm_sig,3032025001
E_any_perm_sig,3202026002
E_any_perm_sig,4192026001
