set_a,set_b,intersection,jaccard
A_dprime_pos,A_dprime_pos,18,1.0
A_dprime_pos,B_dprime_ge_0p10,15,0.8333333333333334
A_dprime_pos,C_dprime_top_tert,9,0.5
A_dprime_pos,D_stably_aligned,14,0.7368421052631579
A_dprime_pos,E_any_perm_sig,3,0.16666666666666666
B_dprime_ge_0p10,B_dprime_ge_0p10,15,1.0
B_dprime_ge_0p10,C_dprime_top_tert,9,0.6
B_dprime_ge_0p10,D_stably_aligned,13,0.7647058823529411
B_dprime_ge_0p10,E_any_perm_sig,3,0.2
C_dprime_top_tert,C_dprime_top_tert,9,1.0
C_dprime_top_tert,D_stably_aligned,8,0.5
C_dprime_top_tert,E_any_perm_sig,2,0.2
D_stably_aligned,D_stably_aligned,15,1.0
D_stably_aligned,E_any_perm_sig,3,0.2
E_any_perm_sig,E_any_perm_sig,3,1.0
