subset,metric,n,mean,median,W,p_two
A_dprime_pos,d_prime,18,0.014775869557615756,0.01694593651185195,85.0,1.0
A_dprime_pos,cos_ci_true,18,0.010889397430350094,0.01651531405283105,80.0,0.83172607421875
A_dprime_pos,cos_w_true,18,0.057373054082805436,0.0584985139083564,60.0,0.28372955322265625
A_dprime_pos,beta_truetarget,18,0.02292157993701603,0.02598942814826565,80.0,0.83172607421875
B_dprime_ge_0p10,d_prime,15,-0.006148596188006162,0.0164917230218579,55.0,0.803955078125
B_dprime_ge_0p10,cos_ci_true,15,0.0015521654005495465,0.0133470614746102,58.0,0.93408203125
B_dprime_ge_0p10,cos_w_true,15,0.04683348530877353,0.0499841793751096,45.0,0.42120361328125
B_dprime_ge_0p10,beta_truetarget,15,-0.014553506544227502,0.016038874943241,59.0,0.97796630859375
C_dprime_top_tert,d_prime,9,-0.03672476835596872,-0.0169362118083972,13.0,0.30078125
C_dprime_top_tert,cos_ci_true,9,-0.015609924675658797,-0.0219563973732919,16.0,0.49609375
C_dprime_top_tert,cos_w_true,9,0.03049134745658167,0.0499841793751096,18.0,0.65234375
C_dprime_top_tert,beta_truetarget,9,-0.05075455099114444,-0.0138866146594077,18.0,0.65234375
D_stably_aligned,d_prime,15,0.02594909649450318,0.0164917230218579,59.0,0.954698429734882
D_stably_aligned,cos_ci_true,15,0.014395384136807498,0.0196835666310519,53.0,0.7197265625
D_stably_aligned,cos_w_true,15,0.03718784192437448,-0.0047161122224132,49.0,0.5614013671875
D_stably_aligned,beta_truetarget,15,0.029130805232016062,0.0359399813532903,57.0,0.890380859375
