subset,metric,n,mean,median,W,p_two,note
A_dprime_pos,d_prime,18,0.1932767063728158,0.183281471299717,0.0,7.62939453125e-06,CIRCULAR for d' if subset is defined by d'
A_dprime_pos,cos_ci_true,18,0.07508117966175866,0.06836538759520285,0.0,7.62939453125e-06,
A_dprime_pos,cos_w_true,18,0.1372958561146109,0.14231036500028094,22.0,0.00400543212890625,
A_dprime_pos,beta_truetarget,18,0.3060836458914401,0.29931184735082755,0.0,7.62939453125e-06,
B_dprime_ge_0p10,d_prime,15,0.21679526282901893,0.1897863783091102,0.0,6.103515625e-05,CIRCULAR for d' if subset is defined by d'
B_dprime_ge_0p10,cos_ci_true,15,0.08453787634339006,0.0909275740905043,0.0,6.103515625e-05,
B_dprime_ge_0p10,cos_w_true,15,0.17738296246474838,0.1817445685643747,5.0,0.0006103515625,
B_dprime_ge_0p10,beta_truetarget,15,0.3364392259100539,0.3407764249789231,0.0,6.103515625e-05,
C_dprime_top_tert,d_prime,9,0.26293215626896993,0.2494797373275137,0.0,0.00390625,CIRCULAR for d' if subset is defined by d'
C_dprime_top_tert,cos_ci_true,9,0.10644809954646632,0.0974657871796313,0.0,0.00390625,
C_dprime_top_tert,cos_w_true,9,0.17939738344187453,0.1526143425391672,1.0,0.0078125,
C_dprime_top_tert,beta_truetarget,9,0.4249757304620785,0.4263059855174284,0.0,0.00390625,
D_stably_aligned,d_prime,15,0.19019379617019805,0.1835806891838514,1.0,0.0001220703125,
D_stably_aligned,cos_ci_true,15,0.07929713642913708,0.079322368627108,0.0,6.103515625e-05,
D_stably_aligned,cos_w_true,15,0.20069448637118917,0.1817445685643747,0.0,6.103515625e-05,
D_stably_aligned,beta_truetarget,15,0.2977121153898695,0.3016768054017388,0.0,6.103515625e-05,
