subset,quest,n_capable,n_rest,mean_capable,mean_rest
A_dprime_pos,BAIS_V,18,8,64.88888888888889,53.75
A_dprime_pos,BAIS_C,18,8,68.77777777777777,59.75
A_dprime_pos,VHQ,18,8,5.333333333333333,4.75
A_dprime_pos,TAS,18,8,51.05555555555556,52.375
A_dprime_pos,LSHS,18,8,32.388888888888886,34.75
A_dprime_pos,DES,18,8,741.6666666666666,768.75
A_dprime_pos,FSS,18,8,27.61111111111111,26.625
A_dprime_pos,SSS_mean,18,8,3.4305555555555554,3.34375
B_dprime_ge_0p10,BAIS_V,15,11,64.0,58.0
B_dprime_ge_0p10,BAIS_C,15,11,68.93333333333334,62.0
B_dprime_ge_0p10,VHQ,15,11,5.2,5.090909090909091
B_dprime_ge_0p10,TAS,15,11,49.06666666666667,54.72727272727273
B_dprime_ge_0p10,LSHS,15,11,31.933333333333334,34.72727272727273
B_dprime_ge_0p10,DES,15,11,805.3333333333334,674.5454545454545
B_dprime_ge_0p10,FSS,15,11,28.0,26.363636363636363
B_dprime_ge_0p10,SSS_mean,15,11,3.3833333333333333,3.4318181818181817
C_dprime_top_tert,BAIS_V,9,17,71.11111111111111,56.35294117647059
C_dprime_top_tert,BAIS_C,9,17,76.0,60.705882352941174
C_dprime_top_tert,VHQ,9,17,5.777777777777778,4.823529411764706
C_dprime_top_tert,TAS,9,17,52.333333333333336,51.0
C_dprime_top_tert,LSHS,9,17,36.666666666666664,31.235294117647058
C_dprime_top_tert,DES,9,17,1001.1111111111111,617.0588235294117
C_dprime_top_tert,FSS,9,17,28.555555555555557,26.647058823529413
C_dprime_top_tert,SSS_mean,9,17,3.4166666666666665,3.3970588235294117
D_stably_aligned,BAIS_V,15,11,63.93333333333333,58.09090909090909
D_stably_aligned,BAIS_C,15,11,68.66666666666667,62.36363636363637
D_stably_aligned,VHQ,15,11,5.6,4.545454545454546
D_stably_aligned,TAS,15,11,50.93333333333333,52.18181818181818
D_stably_aligned,LSHS,15,11,33.86666666666667,32.09090909090909
D_stably_aligned,DES,15,11,850.6666666666666,612.7272727272727
D_stably_aligned,FSS,15,11,27.466666666666665,27.09090909090909
D_stably_aligned,SSS_mean,15,11,3.55,3.2045454545454546
E_any_perm_sig,BAIS_V,3,23,50.666666666666664,62.869565217391305
E_any_perm_sig,BAIS_C,3,23,54.0,67.56521739130434
E_any_perm_sig,VHQ,3,23,5.333333333333333,5.130434782608695
E_any_perm_sig,TAS,3,23,45.333333333333336,52.26086956521739
E_any_perm_sig,LSHS,3,23,32.666666666666664,33.17391304347826
E_any_perm_sig,DES,3,23,536.6666666666666,777.8260869565217
E_any_perm_sig,FSS,3,23,26.333333333333332,27.434782608695652
E_any_perm_sig,SSS_mean,3,23,3.5,3.391304347826087
