subset,quest,n_capable,n_rest,mean_capable,mean_rest,U,p_two
A_dprime_pos,BAIS_V,18,8,64.88888888888889,53.75,95.0,0.21106529550999498
A_dprime_pos,BAIS_C,18,8,68.77777777777777,59.75,92.5,0.2661933502470989
A_dprime_pos,VHQ,18,8,5.333333333333333,4.75,79.0,0.7128481858746868
A_dprime_pos,TAS,18,8,51.05555555555556,52.375,68.5,0.8674075814879348
A_dprime_pos,LSHS,18,8,32.388888888888886,34.75,66.0,0.759584294946678
A_dprime_pos,DES,18,8,741.6666666666666,768.75,69.0,0.889500409521829
A_dprime_pos,FSS,18,8,27.61111111111111,26.625,88.0,0.3865666846954263
A_dprime_pos,SSS_mean,18,8,3.4305555555555554,3.34375,78.0,0.7561146596063186
B_dprime_ge_0p10,BAIS_V,15,11,64.0,58.0,96.0,0.4996469524296754
B_dprime_ge_0p10,BAIS_C,15,11,68.93333333333334,62.0,100.5,0.36341852378231
B_dprime_ge_0p10,VHQ,15,11,5.2,5.090909090909091,80.5,0.9367603832901921
B_dprime_ge_0p10,TAS,15,11,49.06666666666667,54.72727272727273,65.0,0.37679830960648386
B_dprime_ge_0p10,LSHS,15,11,31.933333333333334,34.72727272727273,79.5,0.896606063707385
B_dprime_ge_0p10,DES,15,11,805.3333333333334,674.5454545454545,93.0,0.6036374400178997
B_dprime_ge_0p10,FSS,15,11,28.0,26.363636363636363,100.0,0.37499006340782004
B_dprime_ge_0p10,SSS_mean,15,11,3.3833333333333333,3.4318181818181817,80.0,0.9159718791210506
C_dprime_top_tert,BAIS_V,9,17,71.11111111111111,56.35294117647059,103.5,0.15300470621195358
C_dprime_top_tert,BAIS_C,9,17,76.0,60.705882352941174,107.5,0.09997440462831066
C_dprime_top_tert,VHQ,9,17,5.777777777777778,4.823529411764706,88.0,0.5456907043919954
C_dprime_top_tert,TAS,9,17,52.333333333333336,51.0,80.5,0.8501225150100818
C_dprime_top_tert,LSHS,9,17,36.666666666666664,31.235294117647058,102.0,0.1771770978724957
C_dprime_top_tert,DES,9,17,1001.1111111111111,617.0588235294117,113.0,0.0522645018042958
C_dprime_top_tert,FSS,9,17,28.555555555555557,26.647058823529413,99.0,0.2331555998909075
C_dprime_top_tert,SSS_mean,9,17,3.4166666666666665,3.3970588235294117,77.0,1.0
D_stably_aligned,BAIS_V,15,11,63.93333333333333,58.09090909090909,95.5,0.5162853316983048
D_stably_aligned,BAIS_C,15,11,68.66666666666667,62.36363636363637,94.5,0.550335333510962
D_stably_aligned,VHQ,15,11,5.6,4.545454545454546,101.0,0.34104257950396955
D_stably_aligned,TAS,15,11,50.93333333333333,52.18181818181818,75.5,0.7354176792683069
D_stably_aligned,LSHS,15,11,33.86666666666667,32.09090909090909,90.0,0.715962762583256
D_stably_aligned,DES,15,11,850.6666666666666,612.7272727272727,111.0,0.1460308562275329
D_stably_aligned,FSS,15,11,27.466666666666665,27.09090909090909,92.5,0.6200576200753188
D_stably_aligned,SSS_mean,15,11,3.55,3.2045454545454546,102.5,0.30361438933063645
E_any_perm_sig,BAIS_V,3,23,50.666666666666664,62.869565217391305,,
E_any_perm_sig,BAIS_C,3,23,54.0,67.56521739130434,,
E_any_perm_sig,VHQ,3,23,5.333333333333333,5.130434782608695,,
E_any_perm_sig,TAS,3,23,45.333333333333336,52.26086956521739,,
E_any_perm_sig,LSHS,3,23,32.666666666666664,33.17391304347826,,
E_any_perm_sig,DES,3,23,536.6666666666666,777.8260869565217,,
E_any_perm_sig,FSS,3,23,26.333333333333332,27.434782608695652,,
E_any_perm_sig,SSS_mean,3,23,3.5,3.391304347826087,,
