stimulus_number,label,agglomerative_avg,spectral_kmeans
1038202,target,0,0
1055025,target,0,0
1084017,target,0,1
1152401,target,0,1
1154913,target,0,1
1204336,target,0,0
1303598,target,0,0
1325540,target,0,1
135747,target,0,1
1361028,target,0,0
1361457,target,0,1
137369,target,0,1
1377011,target,0,1
1430067,target,0,1
1474554,target,0,1
1500770,target,0,1
1512885,target,0,0
1556070,target,0,1
1558811,target,0,0
1585751,target,0,1
1604178,target,0,0
1619569,target,0,1
177749,target,0,0
1784932,target,0,1
1841210,target,0,1
1881701,target,0,0
19389,target,0,1
1950306,target,0,0
1976046,target,0,1
1989589,target,0,0
2065486,target,0,1
2070670,target,0,0
2209737,target,0,1
2216495,target,0,0
2241916,target,0,1
2253127,target,0,1
2265258,target,0,1
2276260,target,0,1
2354618,target,0,0
2363886,target,1,0
2433065,target,0,0
2455086,target,0,1
2474088,target,0,0
2487625,target,0,1
2490211,target,0,0
2501681,target,0,0
2514923,target,0,1
2530401,target,0,1
2534050,target,0,1
2649655,target,0,1
2654756,target,0,0
2669502,target,0,1
2675662,target,0,0
2690790,target,0,1
270720,target,0,1
314781,target,0,0
341881,target,0,0
389188,target,0,0
393679,target,0,1
422402,target,0,1
436049,target,0,0
469558,target,0,1
514473,target,0,1
578254,target,0,0
656999,target,0,1
681938,target,0,1
710781,target,0,0
724605,target,0,1
793673,target,0,1
80741,target,0,1
854858,target,0,1
914835,target,0,0
936885,target,0,0
953491,target,0,0
996037,target,0,0
1022427,target,1,0
1050074,target,0,1
1106952,target,0,0
1128380,target,0,1
1152436,target,0,1
116637,target,0,0
1182143,target,0,1
1192087,target,0,1
1225298,target,0,1
1300288,target,0,0
1359799,target,0,0
138781,target,0,1
1480814,target,0,0
150539,target,0,1
1535124,target,0,0
1555690,target,0,0
1588337,target,0,1
164296,target,0,1
1693893,target,0,0
1702273,target,0,0
1736013,target,0,0
173924,target,1,1
1746525,target,0,1
1760150,target,0,1
1793105,target,0,1
1806338,target,0,1
1848811,target,0,1
1882578,target,0,0
1883593,target,0,0
1905895,target,0,0
1916328,target,0,1
1929764,target,0,1
1946948,target,0,1
2025857,target,0,0
2029437,target,0,1
2030905,target,0,1
2035948,target,0,0
2066255,target,0,1
2107267,target,0,0
214879,target,0,0
2204421,target,0,1
2205405,target,0,0
2212503,target,0,1
2241357,target,0,0
2260363,target,0,1
2274164,target,0,1
2357409,target,0,1
2365445,target,0,1
237223,target,0,1
2375287,target,0,1
2417183,target,0,1
2522869,target,0,1
279298,target,0,1
307913,target,0,0
32605,target,0,0
338947,target,0,0
424719,target,0,1
435296,target,0,1
592916,target,0,1
594320,target,0,1
603509,target,0,1
616206,target,0,1
6207,target,0,0
685150,target,0,1
696985,target,0,1
732981,target,0,1
744480,target,0,1
754888,target,0,1
765496,target,0,1
776327,target,0,0
780158,target,0,1
785460,target,0,0
894078,target,0,0
955718,target,0,1
988974,target,0,1
1067883,distractor,0,1
1154680,distractor,0,0
1248677,distractor,0,1
1285990,distractor,0,1
1286055,distractor,0,1
1324224,distractor,0,1
1372543,distractor,0,1
144254,distractor,0,1
1455560,distractor,0,0
1531735,distractor,0,0
1559140,distractor,0,0
1560586,distractor,0,1
1617401,distractor,0,1
1633194,distractor,0,0
1667784,distractor,0,0
1673452,distractor,0,0
1673472,distractor,0,0
1708892,distractor,0,1
1717516,distractor,0,0
1755600,distractor,0,0
1782091,distractor,0,1
1789042,distractor,0,0
1797030,distractor,0,1
1832684,distractor,0,0
1845027,distractor,0,1
185130,distractor,0,0
1879648,distractor,0,0
1893147,distractor,0,0
1921945,distractor,0,1
1974580,distractor,0,1
1995467,distractor,0,0
2034167,distractor,0,0
2097875,distractor,0,0
2098961,distractor,0,0
2118128,distractor,0,1
2152103,distractor,0,1
2184351,distractor,0,0
2204030,distractor,0,1
2262329,distractor,0,1
2380621,distractor,0,1
2416540,distractor,0,0
2456914,distractor,0,1
2457843,distractor,1,0
2514716,distractor,0,1
254758,distractor,0,0
2557564,distractor,0,1
2578028,distractor,0,1
2594432,distractor,0,0
2634690,distractor,0,1
2645024,distractor,0,0
320025,distractor,0,0
323739,distractor,0,1
33624,distractor,0,0
351794,distractor,0,1
351826,distractor,0,1
364046,distractor,0,0
390337,distractor,0,1
417922,distractor,0,0
490292,distractor,0,1
499550,distractor,0,1
503104,distractor,0,1
552066,distractor,0,1
588063,distractor,0,0
633301,distractor,0,0
63332,distractor,0,1
690453,distractor,0,1
772560,distractor,0,0
837594,distractor,0,1
83820,distractor,0,1
847501,distractor,0,1
920816,distractor,0,0
930786,distractor,0,1
933016,distractor,0,0
966129,distractor,0,0
972144,distractor,0,1
1023966,distractor,0,0
1102783,distractor,0,1
1130295,distractor,0,1
1194259,distractor,0,0
1206056,distractor,0,0
1263190,distractor,0,1
1269675,distractor,0,1
1278798,distractor,0,1
1289865,distractor,0,1
1386370,distractor,0,1
1416385,distractor,0,1
1468650,distractor,0,1
1471313,distractor,0,1
1525213,distractor,0,1
1568904,distractor,0,1
1592129,distractor,0,1
1625672,distractor,0,0
1653861,distractor,0,0
1761229,distractor,0,1
1779454,distractor,0,1
1791871,distractor,0,1
1823357,distractor,0,1
1851855,distractor,0,0
201567,distractor,0,1
2081813,distractor,0,0
2100075,distractor,0,1
2115323,distractor,0,0
212146,distractor,1,0
2209754,distractor,0,0
2233970,distractor,0,1
2248228,distractor,0,1
2273177,distractor,1,0
230438,distractor,0,0
2304969,distractor,0,1
2306490,distractor,0,1
2318346,distractor,0,0
2389297,distractor,0,1
2442361,distractor,0,0
2455734,distractor,0,1
2485538,distractor,0,1
2514632,distractor,0,1
2519736,distractor,0,1
2536695,distractor,0,1
2540015,distractor,0,0
2583835,distractor,0,0
2608377,distractor,0,0
2685736,distractor,0,0
290031,distractor,0,0
291265,distractor,0,1
334176,distractor,0,1
383122,distractor,0,1
458777,distractor,0,1
476253,distractor,0,1
524535,distractor,0,0
52957,distractor,0,1
537598,distractor,0,1
550864,distractor,0,1
606192,distractor,0,1
612648,distractor,0,1
627157,distractor,0,1
66635,distractor,0,1
708386,distractor,0,1
715678,distractor,0,1
74527,distractor,0,1
746920,distractor,0,1
770646,distractor,0,0
805150,distractor,0,0
813995,distractor,0,1
823780,distractor,0,1
832705,distractor,0,1
83647,distractor,0,1
846716,distractor,0,0
852895,distractor,0,1
876536,distractor,0,0
888164,distractor,0,1
