stimulus_number,label,agglomerative_avg,spectral_kmeans
1038202,target,0,1
1055025,target,0,0
1084017,target,1,1
1152401,target,0,0
1154913,target,0,0
1204336,target,1,1
1303598,target,0,0
1325540,target,0,0
135747,target,0,0
1361028,target,0,0
1361457,target,0,1
137369,target,0,1
1377011,target,0,0
1430067,target,0,1
1474554,target,1,1
1500770,target,0,1
1512885,target,1,1
1556070,target,1,1
1558811,target,0,0
1585751,target,0,0
1604178,target,0,0
1619569,target,0,0
177749,target,1,1
1784932,target,1,1
1841210,target,0,0
1881701,target,0,0
19389,target,1,1
1950306,target,0,0
1976046,target,0,0
1989589,target,0,1
2065486,target,1,1
2070670,target,0,1
2209737,target,0,1
2216495,target,1,1
2241916,target,1,1
2253127,target,0,0
2265258,target,0,1
2276260,target,0,0
2354618,target,0,0
2363886,target,0,0
2433065,target,0,0
2455086,target,0,1
2474088,target,0,0
2487625,target,1,1
2490211,target,1,0
2501681,target,1,1
2514923,target,0,1
2530401,target,0,0
2534050,target,0,1
2649655,target,0,0
2654756,target,0,1
2669502,target,0,0
2675662,target,1,1
2690790,target,1,1
270720,target,0,0
314781,target,1,0
341881,target,0,1
389188,target,1,0
393679,target,0,1
422402,target,1,1
436049,target,0,0
469558,target,0,0
514473,target,0,0
578254,target,0,1
656999,target,1,1
681938,target,0,1
710781,target,0,0
724605,target,1,1
793673,target,0,0
80741,target,0,0
854858,target,0,0
914835,target,1,1
936885,target,1,0
953491,target,1,1
996037,target,0,0
1022427,target,0,0
1050074,target,0,0
1106952,target,0,0
1128380,target,0,0
1152436,target,0,0
116637,target,0,1
1182143,target,0,0
1192087,target,1,0
1225298,target,0,0
1300288,target,0,0
1359799,target,0,0
138781,target,0,0
1480814,target,0,0
150539,target,0,1
1535124,target,0,0
1555690,target,0,0
1588337,target,1,1
164296,target,0,1
1693893,target,0,1
1702273,target,0,0
1736013,target,1,1
173924,target,0,1
1746525,target,1,1
1760150,target,0,0
1793105,target,0,0
1806338,target,0,1
1848811,target,0,0
1882578,target,1,0
1883593,target,1,1
1905895,target,0,0
1916328,target,1,0
1929764,target,0,0
1946948,target,0,0
2025857,target,1,0
2029437,target,1,1
2030905,target,0,0
2035948,target,0,0
2066255,target,0,0
2107267,target,0,0
214879,target,0,1
2204421,target,0,0
2205405,target,0,0
2212503,target,1,1
2241357,target,1,1
2260363,target,0,0
2274164,target,0,0
2357409,target,0,1
2365445,target,1,1
237223,target,1,1
2375287,target,0,1
2417183,target,0,1
2522869,target,0,1
279298,target,1,1
307913,target,1,1
32605,target,0,1
338947,target,0,0
424719,target,1,1
435296,target,0,1
592916,target,1,1
594320,target,1,1
603509,target,0,0
616206,target,0,0
6207,target,1,1
685150,target,0,0
696985,target,0,1
732981,target,0,1
744480,target,0,1
754888,target,0,0
765496,target,0,0
776327,target,0,0
780158,target,0,0
785460,target,1,1
894078,target,0,1
955718,target,0,1
988974,target,1,1
1067883,distractor,0,0
1154680,distractor,0,1
1248677,distractor,0,0
1285990,distractor,0,0
1286055,distractor,1,0
1324224,distractor,0,1
1372543,distractor,0,1
144254,distractor,0,0
1455560,distractor,0,0
1531735,distractor,0,1
1559140,distractor,1,1
1560586,distractor,1,1
1617401,distractor,1,1
1633194,distractor,0,1
1667784,distractor,1,1
1673452,distractor,1,0
1673472,distractor,0,0
1708892,distractor,0,1
1717516,distractor,0,0
1755600,distractor,0,1
1782091,distractor,0,0
1789042,distractor,1,1
1797030,distractor,0,1
1832684,distractor,0,0
1845027,distractor,0,0
185130,distractor,1,1
1879648,distractor,1,1
1893147,distractor,0,1
1921945,distractor,1,1
1974580,distractor,0,1
1995467,distractor,0,0
2034167,distractor,1,0
2097875,distractor,0,0
2098961,distractor,1,0
2118128,distractor,0,0
2152103,distractor,0,1
2184351,distractor,0,0
2204030,distractor,0,1
2262329,distractor,0,0
2380621,distractor,0,0
2416540,distractor,1,0
2456914,distractor,0,0
2457843,distractor,1,1
2514716,distractor,0,1
254758,distractor,0,0
2557564,distractor,0,1
2578028,distractor,0,0
2594432,distractor,0,0
2634690,distractor,1,1
2645024,distractor,1,1
320025,distractor,1,1
323739,distractor,0,0
33624,distractor,0,1
351794,distractor,0,0
351826,distractor,1,1
364046,distractor,1,0
390337,distractor,0,1
417922,distractor,1,1
490292,distractor,0,0
499550,distractor,1,1
503104,distractor,0,0
552066,distractor,0,0
588063,distractor,1,1
633301,distractor,0,0
63332,distractor,0,0
690453,distractor,0,0
772560,distractor,1,0
837594,distractor,0,0
83820,distractor,0,1
847501,distractor,1,1
920816,distractor,0,1
930786,distractor,0,1
933016,distractor,1,1
966129,distractor,0,0
972144,distractor,1,1
1023966,distractor,0,0
1102783,distractor,1,1
1130295,distractor,0,0
1194259,distractor,0,0
1206056,distractor,0,1
1263190,distractor,1,0
1269675,distractor,0,1
1278798,distractor,0,1
1289865,distractor,0,1
1386370,distractor,1,1
1416385,distractor,0,0
1468650,distractor,0,0
1471313,distractor,0,0
1525213,distractor,1,0
1568904,distractor,1,1
1592129,distractor,0,0
1625672,distractor,1,1
1653861,distractor,0,0
1761229,distractor,1,0
1779454,distractor,0,1
1791871,distractor,0,0
1823357,distractor,0,1
1851855,distractor,1,0
201567,distractor,1,1
2081813,distractor,1,1
2100075,distractor,0,0
2115323,distractor,1,1
212146,distractor,1,1
2209754,distractor,0,1
2233970,distractor,0,1
2248228,distractor,0,0
2273177,distractor,0,1
230438,distractor,1,0
2304969,distractor,0,1
2306490,distractor,0,0
2318346,distractor,1,1
2389297,distractor,0,1
2442361,distractor,0,0
2455734,distractor,0,0
2485538,distractor,0,1
2514632,distractor,1,0
2519736,distractor,1,1
2536695,distractor,0,1
2540015,distractor,0,0
2583835,distractor,0,0
2608377,distractor,0,0
2685736,distractor,0,1
290031,distractor,1,1
291265,distractor,0,0
334176,distractor,1,1
383122,distractor,1,1
458777,distractor,0,0
476253,distractor,0,0
524535,distractor,1,1
52957,distractor,0,1
537598,distractor,0,1
550864,distractor,1,0
606192,distractor,0,1
612648,distractor,0,0
627157,distractor,0,0
66635,distractor,0,1
708386,distractor,0,0
715678,distractor,0,0
74527,distractor,0,0
746920,distractor,0,0
770646,distractor,0,0
805150,distractor,1,0
813995,distractor,1,1
823780,distractor,0,0
832705,distractor,1,1
83647,distractor,1,1
846716,distractor,0,0
852895,distractor,0,1
876536,distractor,1,0
888164,distractor,0,0
