metric,method,size_0,size_1,silhouette,ari_vs_labels
pearson_raw,agglomerative_avg,287,13,0.0025681685182790672,0.004825864779114214
pearson_raw,spectral_kmeans,156,144,0.0032714308519797377,0.08298240307732874
lagged_xcorr_max,agglomerative_avg,256,44,0.0006333193116280541,-0.0014990539343763382
lagged_xcorr_max,spectral_kmeans,166,134,0.0009346877283048623,0.022367527802070495
envelope_corr,agglomerative_avg,294,6,0.15125795275860668,-0.000262276128590239
envelope_corr,spectral_kmeans,118,182,0.08696614681343133,-0.00320249375785115
log_spectrum_corr,agglomerative_avg,298,2,0.010586058928182212,-8.859945080233047e-05
log_spectrum_corr,spectral_kmeans,145,155,0.004630590304261536,0.00026010342989026886
mfcc_cosine,agglomerative_avg,203,97,0.05529311071155208,-0.0007513630754841112
mfcc_cosine,spectral_kmeans,154,146,0.08561499514304403,-0.003174936495304411
