sample_idx,time_sec,wall_c,wall_energy,tt_mean_product,dd_mean_product,td_mean_product,tt_sign_agree,dd_sign_agree,tt_var_across,dd_var_across
0,0.0,841.089527027027,707431.5924745479,-1251.5036657388205,-36934.46148260938,-2902.404095741852,0.5266666666666666,0.5066666666666667,5775624.961339222,5574088.742157223
1,0.000125,632.089527027027,399537.1701772507,-34004.31529464626,-37530.82331382652,1262.9148997086031,0.5133333333333333,0.5066666666666667,5430722.314256416,5738345.647515465
2,0.00025,454.08952702702703,206197.29855562912,-33359.86109272958,-36458.54532301691,338.01635517406964,0.52,0.5133333333333333,5354644.954793239,5476112.820853486
3,0.000375,406.08952702702703,164908.7039610345,-31283.474334400773,-29924.31219837214,701.5810262251252,0.5266666666666666,0.5533333333333333,4710948.891809686,5089635.207967582
4,0.0005,454.08952702702703,206197.29855562912,42638.704446269185,63189.972692854666,87577.62144694586,0.5666666666666667,0.5733333333333334,5305231.3728353195,5269888.741400678
5,0.000625,535.089527027027,286320.80193400744,-23550.439347007337,-28678.11476624202,7668.169205309206,0.5133333333333333,0.5066666666666667,5052748.677691659,5172019.423215632
6,0.00075,664.089527027027,441014.8999069804,31736.53236736477,-16920.509228513016,31061.572683132028,0.5333333333333333,0.52,4920183.461846655,4780534.208096819
7,0.000875,857.089527027027,734602.4573394128,-27034.75310585006,-30763.769386926466,-5437.346247198311,0.5066666666666667,0.5066666666666667,5367564.8210811345,5121446.635912892
8,0.001,1017.089527027027,1034471.1059880614,-29005.10822281605,-25990.913137999683,6944.47627084975,0.54,0.52,4976298.0197926955,5633288.052965768
9,0.001125,1115.089527027027,1243424.653285359,14919.339506218337,-4687.5420523233915,-39874.15992472083,0.5533333333333333,0.5133333333333333,5017446.076599695,5633818.173109818
10,0.00125,1130.089527027027,1277102.3390961697,-39368.44129558345,-38869.32788632183,96.97712024914361,0.52,0.5333333333333333,6015893.041288885,5832311.943254627
11,0.001375,1066.089527027027,1136546.8796367103,-22269.15024400835,-10723.949526626584,15698.687356900811,0.5066666666666667,0.54,4653659.920025596,5830895.731687729
12,0.0015,905.089527027027,819187.0519340074,-35940.86022976932,-14854.053809080136,-1960.5208894505624,0.5266666666666666,0.52,5419134.13183118,5316186.91018189
13,0.001625,647.089527027027,418724.85598806146,173686.45077911872,23137.36445995064,-107131.34093263376,0.6266666666666667,0.56,4263941.163853821,5047258.962597549
14,0.00175,358.08952702702703,128228.10936643992,-27564.566834793826,-30501.226709195053,3837.4788131170026,0.5066666666666667,0.5066666666666667,5612452.68309837,4799400.905536961
15,0.001875,36.08952702702703,1302.4539610345146,-28153.745347521257,-35151.37248478607,-3474.8180917478517,0.5,0.5133333333333333,4654711.111561542,5902089.753114356
