stimulus_number,label,pearson_r_to_template
1038202,target,0.07343105763445165
1055025,target,0.07112526330376517
1084017,target,0.0725828209147111
1152401,target,0.07835523669177412
1154913,target,0.07106515929831803
1204336,target,0.07868709082222342
1303598,target,0.08614345750857663
1325540,target,0.07484989836327957
135747,target,0.07346900476009843
1361028,target,0.07143254072819587
1361457,target,0.07139706783583843
137369,target,0.07270205465370808
1377011,target,0.08489319613487116
1430067,target,0.07348547796669563
1474554,target,0.07200361429377884
1500770,target,0.07776518583420647
1512885,target,0.07499034724712814
1556070,target,0.09426709214095476
1558811,target,0.07089403121680758
1585751,target,0.07146224485232353
1604178,target,0.07039176309671868
1619569,target,0.07521171918564294
177749,target,0.07275911173735672
1784932,target,0.07083848106491897
1841210,target,0.0711713804922841
1881701,target,0.07962221932522162
19389,target,0.0799396457624729
1950306,target,0.07056780795061929
1976046,target,0.07299999507938715
1989589,target,0.07059586681405546
2065486,target,0.07188085987251625
2070670,target,0.09246895607195721
2209737,target,0.07020929753961352
2216495,target,0.07625649782747913
2241916,target,0.08550083518321777
2253127,target,0.07316556626888748
2265258,target,0.0709200906082787
2276260,target,0.08098338031177787
2354618,target,0.07690848353152588
2363886,target,0.08347353078968642
2433065,target,0.07594011866765149
2455086,target,0.0702883420742445
2474088,target,0.07517799128477273
2487625,target,0.07436022072816192
2490211,target,0.07034667719514177
2501681,target,0.07198372622271959
2514923,target,0.08147774956898188
2530401,target,0.07103413369664147
2534050,target,0.07435535101388041
2649655,target,0.07523822316487205
2654756,target,0.07415245502709941
2669502,target,0.07093784958270852
2675662,target,0.07710476347974649
2690790,target,0.07223315046527368
270720,target,0.07327492317005835
314781,target,0.07375951704946124
341881,target,0.07148858683166809
389188,target,0.07511555795713032
393679,target,0.07015505172907677
422402,target,0.07269423391296667
436049,target,0.07276170567764481
469558,target,0.07261336819539965
514473,target,0.07588909109903119
578254,target,0.07429993477317626
656999,target,0.0715307320952149
681938,target,0.07026354088351891
710781,target,0.07086000053517577
724605,target,0.07051751009534608
793673,target,0.07100653230335102
80741,target,0.07480902895199129
854858,target,0.07517212334236258
914835,target,0.083170969691115
936885,target,0.07120391021751447
953491,target,0.0728459154468453
996037,target,0.07280755331338763
1022427,target,0.07738017016672016
1050074,target,0.0707872874953279
1106952,target,0.07235886299539956
1128380,target,0.07340349914207624
1152436,target,0.07330680340804441
116637,target,0.08374563200819277
1182143,target,0.07503715840371886
1192087,target,0.07106387356086542
1225298,target,0.0766319068393311
1300288,target,0.07103274492796591
1359799,target,0.07281976557862159
138781,target,0.07438942041704885
1480814,target,0.07095315285286927
150539,target,0.0759471616366551
1535124,target,0.08945766840391929
1555690,target,0.07428090912258309
1588337,target,0.07170440091203337
164296,target,0.0729258448400304
1693893,target,0.07147854009863666
1702273,target,0.07859717367850416
1736013,target,0.07369863959764839
173924,target,0.08523260312195687
1746525,target,0.07585054171620376
1760150,target,0.07584760908237702
1793105,target,0.0709273119176838
1806338,target,0.07463773370182387
1848811,target,0.07247452043136882
1882578,target,0.07124582252575809
1883593,target,0.07353040738022029
1905895,target,0.07068916999232869
1916328,target,0.07681845099216399
1929764,target,0.07093400180922474
1946948,target,0.07316993354310228
2025857,target,0.07163095870964684
2029437,target,0.08135331442053353
2030905,target,0.09276331457081352
2035948,target,0.08046322157196847
2066255,target,0.07176932620708643
2107267,target,0.07014725927203411
214879,target,0.0713689901415199
2204421,target,0.08916131598587812
2205405,target,0.07091811746503886
2212503,target,0.07053385674697901
