stimulus_number,label,projection_coeff
1038202,target,0.0734335693428496
1055025,target,0.07112074248967369
1084017,target,0.07258387511146532
1152401,target,0.07828394300011285
1154913,target,0.07105758108880321
1204336,target,0.07868435377741946
1303598,target,0.08614512309067959
1325540,target,0.07485231562479226
135747,target,0.07346807012287965
1361028,target,0.07140910223328122
1361457,target,0.0713846533657771
137369,target,0.07264398228502603
1377011,target,0.08488146791708845
1430067,target,0.07348156873249474
1474554,target,0.07200614163294129
1500770,target,0.07775095347629762
1512885,target,0.07490598720797137
1556070,target,0.09426853033591671
1558811,target,0.07089098997952728
1585751,target,0.07142459585206769
1604178,target,0.07039419393513409
1619569,target,0.07521114362054354
177749,target,0.07276090425931935
1784932,target,0.07083595373416234
1841210,target,0.07116117844598027
1881701,target,0.07962103523835917
19389,target,0.079932712322789
1950306,target,0.07057037233843393
1976046,target,0.07300122543291522
1989589,target,0.07053168331207847
2065486,target,0.07188286532051395
2070670,target,0.09247042153335916
2209737,target,0.07021212268207021
2216495,target,0.0762243604364603
2241916,target,0.08550290800217138
2253127,target,0.07313545224142493
2265258,target,0.07089103154564516
2276260,target,0.08098669219662559
2354618,target,0.0769084852321964
2363886,target,0.08347656150201607
2433065,target,0.07594302678935996
2455086,target,0.0702684111881315
2474088,target,0.07517171971977436
2487625,target,0.07434796739665876
2490211,target,0.07034931522725804
2501681,target,0.07198484167099692
2514923,target,0.08147791349433484
2530401,target,0.07103257095685363
2534050,target,0.07435759217230424
2649655,target,0.07523936369949946
2654756,target,0.07415266582707655
2669502,target,0.0709280846707986
2675662,target,0.07710770471413776
2690790,target,0.07221985865479687
270720,target,0.0732649043481492
314781,target,0.0737621959048065
341881,target,0.0714913700215898
389188,target,0.0750494223794615
393679,target,0.07014489071681132
422402,target,0.0726933390644302
436049,target,0.07274627433480883
469558,target,0.07261514064211962
514473,target,0.07588931487101147
578254,target,0.07428885756038635
656999,target,0.07151895430014146
681938,target,0.07026016888487419
710781,target,0.07083070821162125
724605,target,0.07051840060225019
793673,target,0.07100037921168428
80741,target,0.07481137409536301
854858,target,0.07516999228901358
914835,target,0.08316430716565833
936885,target,0.0712019425737552
953491,target,0.07282597680547097
996037,target,0.07275113896073408
1022427,target,0.07735665459680885
1050074,target,0.07078480597770286
1106952,target,0.07235283160238785
1128380,target,0.07339743309293212
1152436,target,0.07330946648826357
116637,target,0.08374133658112805
1182143,target,0.07503395777031291
1192087,target,0.07106567815700737
1225298,target,0.07663497498038498
1300288,target,0.0710352523917422
1359799,target,0.07280019700909197
138781,target,0.07438940346118673
1480814,target,0.07095203395182942
150539,target,0.07594841955303859
1535124,target,0.08946089809490552
1555690,target,0.0742811668927728
1588337,target,0.07170226880646016
164296,target,0.07292136926210939
1693893,target,0.07147954356300142
